col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,division
,Judge Of The Superior Court - Democrat,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Carolyn H Nichols,Maria Mclaughlin,Geoff Moulton,Debbie Kunselman,Bill Caye,Stella Tsai,Deborah Cianfrani,Shanese Johnson,Vikki Kristiansson,Mark B Cohen,Zac Shaffer,Rania Major,Daniel R Sulman,Crystal B Powell,Deborah Canty,Henry Mcgregor Sias,Wendi Barish,Vincent Furlong,Lucretia C Clemons,Danyl S Patterson,Brian Mclaughlin,Jennifer Schultz,John Macoretta,Lawrence J Bozzelli,Vincent Melchiorre,David Conroy,Leon Goodman,Terri M Booker,Mark J Moore,Leonard Deutchman,Jon Marshall,Bill Rice,Matthew C Monroe,Betsy Wahl,Dawn M Tancredi,Christian Dicicco,All
Carolyn H Nichols,22,487,360,271,100,376,291,289,229,177,190,180,174,183,170,159,161,146,159,154,128,141,125,118,115,125,117,74,57,35,42,29,3,1,1,0,All
Maria Mclaughlin,,7,359,270,106,343,274,258,220,159,182,170,166,169,164,152,152,139,157,143,132,133,122,114,114,119,107,70,50,36,34,32,1,1,0,0,All
Geoff Moulton,,,1,223,73,274,223,191,171,110,149,141,137,126,117,134,97,124,106,109,104,100,105,106,89,86,78,49,40,29,17,25,1,1,0,0,All
Debbie Kunselman,,,,3,47,215,168,155,124,64,133,91,124,109,111,86,108,54,87,88,51,108,56,57,89,71,58,38,28,25,17,12,0,0,0,0,All
Bill Caye,,,,,0,59,62,55,40,44,37,48,34,35,49,29,42,34,39,17,40,43,32,28,28,19,43,30,20,23,13,23,1,0,0,0,All
Stella Tsai,,,,,,1,248,201,188,80,142,131,137,114,101,138,112,94,112,111,101,94,96,96,96,103,56,31,25,22,20,12,1,0,0,0,All
Deborah Cianfrani,,,,,,,2,205,139,74,95,137,92,119,79,98,66,90,59,91,93,70,89,87,75,82,41,40,22,10,15,17,0,0,0,0,All
Shanese Johnson,,,,,,,,4,103,75,88,109,97,126,82,61,66,70,70,101,57,62,61,52,76,80,48,42,25,9,19,19,1,1,0,0,All
Vikki Kristiansson,,,,,,,,,1,59,65,111,52,59,87,114,77,87,78,44,77,86,95,81,11,34,44,21,12,21,18,5,2,1,0,0,All
Mark B Cohen,,,,,,,,,,6,59,64,52,52,59,46,41,69,42,36,52,45,36,40,25,23,48,29,23,12,15,19,2,0,0,0,All
Zac Shaffer,,,,,,,,,,,4,30,119,76,68,47,66,28,73,92,25,45,16,24,106,85,66,17,18,19,14,8,0,0,0,0,All
Rania Major,,,,,,,,,,,,1,36,42,62,84,49,82,41,23,90,56,81,78,16,8,32,22,15,10,11,17,2,0,0,0,All
Daniel R Sulman,,,,,,,,,,,,,0,59,43,43,55,31,50,81,25,43,23,22,91,81,51,10,13,16,11,6,0,0,0,0,All
Crystal B Powell,,,,,,,,,,,,,,0,72,17,47,31,67,91,19,48,15,9,59,71,43,47,23,3,22,17,1,0,0,0,All
Deborah Canty,,,,,,,,,,,,,,,2,43,96,35,81,38,31,90,17,25,25,24,51,40,17,16,15,6,0,0,0,0,All
Henry Mcgregor Sias,,,,,,,,,,,,,,,,3,50,83,53,18,82,47,87,82,13,10,24,14,15,10,6,2,0,0,0,0,All
Wendi Barish,,,,,,,,,,,,,,,,,1,30,80,31,26,89,21,27,32,22,56,31,15,28,17,6,0,1,0,0,All
Vincent Furlong,,,,,,,,,,,,,,,,,,1,23,21,82,30,77,78,11,16,32,12,16,16,10,8,0,1,0,0,All
Lucretia C Clemons,,,,,,,,,,,,,,,,,,,0,46,27,66,18,14,33,31,57,38,26,13,16,9,0,0,0,0,All
Danyl S Patterson,,,,,,,,,,,,,,,,,,,,1,9,16,15,13,72,96,29,14,13,3,15,10,2,0,1,0,All
Brian Mclaughlin,,,,,,,,,,,,,,,,,,,,,1,30,80,81,11,6,24,16,13,12,9,16,1,0,0,0,All
Jennifer Schultz,,,,,,,,,,,,,,,,,,,,,,0,25,20,18,13,42,31,25,26,14,8,1,1,1,0,All
John Macoretta,,,,,,,,,,,,,,,,,,,,,,,2,86,11,11,15,9,12,16,9,12,1,1,0,0,All
Lawrence J Bozzelli,,,,,,,,,,,,,,,,,,,,,,,,1,10,10,18,10,8,17,3,12,0,0,0,0,All
Vincent Melchiorre,,,,,,,,,,,,,,,,,,,,,,,,,0,68,34,9,13,12,4,4,0,0,0,0,All
David Conroy,,,,,,,,,,,,,,,,,,,,,,,,,,0,25,7,9,7,12,6,0,0,0,0,All
Leon Goodman,,,,,,,,,,,,,,,,,,,,,,,,,,,1,23,21,22,18,12,0,1,0,0,All
Terri M Booker,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,18,2,11,16,0,0,0,0,All
Mark J Moore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,13,11,1,0,0,0,All
Leonard Deutchman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,3,2,1,1,0,All
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,1,0,1,0,All
Bill Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,0,0,All
Matthew C Monroe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,All
Betsy Wahl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,All
Dawn M Tancredi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,All
Christian Dicicco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,688,589,404,306,121,424,333,320,256,226,221,207,199,198,188,187,184,176,174,169,160,160,157,140,136,134,134,82,64,51,50,38,4,1,1,0,All
,Judge Of The Superior Court - Democrat,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Carolyn H Nichols,Maria Mclaughlin,Debbie Kunselman,Geoff Moulton,Bill Caye,Stella Tsai,Vikki Kristiansson,Deborah Canty,Shanese Johnson,Deborah Cianfrani,Wendi Barish,Henry Mcgregor Sias,Jennifer Schultz,Lucretia C Clemons,Rania Major,Mark B Cohen,Daniel R Sulman,Zac Shaffer,Crystal B Powell,John Macoretta,Danyl S Patterson,Lawrence J Bozzelli,Brian Mclaughlin,Vincent Furlong,Terri M Booker,Vincent Melchiorre,Leon Goodman,Leonard Deutchman,Mark J Moore,David Conroy,Jon Marshall,Bill Rice,Dawn M Tancredi,Matthew C Monroe,Betsy Wahl,Christian Dicicco,1
Carolyn H Nichols,1,107,79,75,26,84,58,56,54,51,50,47,47,43,41,30,33,32,28,24,22,24,21,21,18,18,19,14,15,14,6,2,1,1,0,0,1
Maria Mclaughlin,,0,82,78,29,83,59,56,57,56,49,46,45,44,43,32,36,33,29,27,25,27,24,23,20,20,20,15,14,14,7,4,0,0,0,0,1
Debbie Kunselman,,,0,57,20,63,44,46,38,40,38,34,40,31,35,18,27,27,25,18,18,17,16,14,16,17,14,10,12,10,6,5,0,0,0,0,1
Geoff Moulton,,,,0,14,62,43,37,35,37,31,37,28,27,24,20,31,28,18,18,20,19,16,19,13,14,15,11,14,11,4,3,0,0,0,0,1
Bill Caye,,,,,0,19,14,14,13,15,19,9,14,14,12,8,6,10,9,7,4,8,6,8,11,9,9,10,4,6,5,4,0,0,0,0,1
Stella Tsai,,,,,,0,49,42,41,48,41,39,37,37,32,20,27,28,21,16,17,17,18,16,14,17,16,9,12,12,5,2,0,0,0,0,1
Vikki Kristiansson,,,,,,,0,31,25,31,30,30,30,26,26,14,15,18,9,18,10,16,13,14,10,3,9,9,4,5,3,1,0,0,0,0,1
Deborah Canty,,,,,,,,0,27,27,36,20,36,31,23,14,16,19,17,6,10,10,9,8,10,7,10,6,10,5,2,1,0,0,0,0,1
Shanese Johnson,,,,,,,,,0,37,24,21,22,20,29,13,15,14,22,12,13,9,11,13,12,11,9,5,6,7,2,0,0,0,0,0,1
Deborah Cianfrani,,,,,,,,,,0,24,23,24,16,29,15,12,13,18,12,12,14,13,14,13,12,6,2,4,7,1,1,0,0,0,0,1
Wendi Barish,,,,,,,,,,,1,22,32,26,21,6,18,12,13,7,7,8,7,11,9,7,13,10,6,6,3,0,0,0,0,0,1
Henry Mcgregor Sias,,,,,,,,,,,,1,17,18,18,14,18,16,1,16,7,13,13,13,3,6,7,5,6,1,2,0,0,0,0,0,1
Jennifer Schultz,,,,,,,,,,,,,0,25,23,12,10,13,14,7,5,4,6,4,9,7,9,10,10,4,5,1,1,1,0,0,1
Lucretia C Clemons,,,,,,,,,,,,,,0,13,11,12,17,16,5,12,4,7,4,11,5,12,5,10,8,5,1,0,0,0,0,1
Rania Major,,,,,,,,,,,,,,,0,10,7,6,15,13,5,11,12,8,7,4,3,4,4,1,3,2,0,0,0,0,1
Mark B Cohen,,,,,,,,,,,,,,,,3,12,11,6,10,7,10,7,6,6,8,4,3,7,3,1,2,0,0,0,0,1
