col_1,col_2,col_3,col_4,col_5,col_6,col_7,division
,District Attorney - Republican,Judge Of The Superior Court - Republican,,,,,All
,Beth Grossman,Emil Giordano,Craig Stedman,Wade A Kagarise,Paula A Patrick,Mary Murray,All
Beth Grossman,44,568,519,417,367,206,All
Emil Giordano,,16,468,387,272,165,All
Craig Stedman,,,2,390,267,171,All
Wade A Kagarise,,,,3,201,109,All
Paula A Patrick,,,,,6,150,All
Mary Murray,,,,,,3,All
Total,769,617,550,449,392,229,All
,District Attorney - Republican,Judge Of The Superior Court - Republican,,,,,1
,Beth Grossman,Emil Giordano,Craig Stedman,Mary Murray,Paula A Patrick,Wade A Kagarise,1
Beth Grossman,0,1,0,0,0,0,1
Emil Giordano,,0,0,0,0,0,1
Craig Stedman,,,0,0,0,0,1
Mary Murray,,,,0,0,0,1
Paula A Patrick,,,,,0,0,1
Wade A Kagarise,,,,,,0,1
Total,1,1,0,0,0,0,1
,District Attorney - Republican,Judge Of The Superior Court - Republican,,,,,2
,Beth Grossman,Craig Stedman,Emil Giordano,Wade A Kagarise,Mary Murray,Paula A Patrick,2
Beth Grossman,0,2,2,2,1,1,2
Craig Stedman,,0,2,2,1,1,2
Emil Giordano,,,0,2,1,1,2
Wade A Kagarise,,,,0,1,1,2
Mary Murray,,,,,0,0,2
Paula A Patrick,,,,,,0,2
Total,2,2,2,2,1,1,2
,District Attorney - Republican,Judge Of The Superior Court - Republican,,,,,3
,Beth Grossman,Craig Stedman,Emil Giordano,Paula A Patrick,Mary Murray,Wade A Kagarise,3
Beth Grossman,0,5,5,5,4,4,3
Craig Stedman,,0,4,2,2,3,3
Emil Giordano,,,0,2,2,4,3
Paula A Patrick,,,,0,3,1,3
Mary Murray,,,,,0,2,3
Wade A Kagarise,,,,,,0,3
Total,8,5,5,5,4,4,3
,District Attorney - Republican,Judge Of The Superior Court - Republican,,,,,4
,Beth Grossman,Emil Giordano,Craig Stedman,Wade A Kagarise,Paula A Patrick,Mary Murray,4
Beth Grossman,6,28,26,25,21,13,4
Emil Giordano,,1,20,19,10,8,4
Craig Stedman,,,0,20,12,11,4
Wade A Kagarise,,,,0,11,7,4
Paula A Patrick,,,,,1,9,4
Mary Murray,,,,,,0,4
Total,51,30,27,27,23,14,4
,District Attorney - Republican,Judge Of The Superior Court - Republican,,,,,5
,Beth Grossman,Emil Giordano,Craig Stedman,Wade A Kagarise,Mary Murray,Paula A Patrick,5
Beth Grossman,1,13,11,10,9,9,5
Emil Giordano,,0,10,9,6,8,5
Craig Stedman,,,0,8,5,7,5
Wade A Kagarise,,,,0,5,7,5
Mary Murray,,,,,0,5,5
