col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,division
,Judge Of The Municipal Court - Democrat,,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Matt Wolf,Marissa Brumbach,George Twardy,Jon Marshall,Sherman Toppin,Bill Rice,Betsy Wahl,Christian Dicicco,Crystal B Powell,Mark B Cohen,Stella Tsai,Deborah Cianfrani,Vikki Kristiansson,Brian Mclaughlin,Shanese Johnson,Vincent Furlong,Jennifer Schultz,Lucretia C Clemons,Deborah Canty,Daniel R Sulman,Rania Major,Lawrence J Bozzelli,Wendi Barish,John Macoretta,Zac Shaffer,Leon Goodman,Vincent Melchiorre,Henry Mcgregor Sias,David Conroy,Danyl S Patterson,Crystal B Powell,Terri M Booker,Leonard Deutchman,Mark J Moore,Bill Rice,Jon Marshall,Dawn M Tancredi,Christian Dicicco,Matthew C Monroe,Betsy Wahl,All
Matt Wolf,7,121,50,32,21,18,2,0,0,160,191,142,110,112,105,107,76,84,59,92,88,94,62,90,72,63,73,69,61,53,47,33,29,21,26,22,0,0,1,1,All
Marissa Brumbach,,5,19,24,21,10,0,0,0,99,163,134,112,85,86,76,81,75,68,67,79,72,79,63,63,47,49,63,49,36,43,27,26,20,15,11,3,0,0,0,All
George Twardy,,,0,4,8,4,0,0,0,44,59,24,45,24,40,35,15,32,25,31,20,24,15,27,37,23,31,21,33,27,27,10,9,8,6,5,0,2,1,0,All
Jon Marshall,,,,0,3,7,0,0,0,39,36,29,25,29,25,24,30,17,28,17,20,20,24,20,14,29,19,18,13,14,13,13,11,14,11,12,0,0,1,0,All
Sherman Toppin,,,,,5,0,0,0,0,32,29,19,23,11,23,14,22,23,27,17,14,6,25,7,21,28,14,7,10,19,19,13,3,14,5,0,1,0,0,0,All
Bill Rice,,,,,,1,0,0,0,26,18,15,9,24,7,19,18,8,11,12,12,9,13,7,10,9,13,8,2,7,8,12,9,7,15,8,1,1,1,0,All
Betsy Wahl,,,,,,,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,All
Christian Dicicco,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All
Crystal B Powell,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All
Mark B Cohen,,,,,,,,,,30,107,96,78,75,63,84,75,47,68,51,62,54,60,54,51,61,48,44,32,36,39,38,24,25,28,19,1,0,0,0,All
Stella Tsai,,,,,,,,,,,1,148,139,87,104,81,78,87,68,93,99,85,74,73,77,50,67,66,57,55,55,31,24,19,16,9,2,1,1,1,All
Deborah Cianfrani,,,,,,,,,,,,3,95,87,76,79,72,49,53,45,84,80,60,64,38,38,42,62,26,27,35,24,18,10,8,8,1,0,1,0,All
Vikki Kristiansson,,,,,,,,,,,,,4,67,56,81,62,45,66,43,81,80,63,72,37,34,25,63,31,18,29,17,20,10,10,8,1,0,1,0,All
Brian Mclaughlin,,,,,,,,,,,,,,7,32,87,42,25,35,31,51,78,28,61,28,37,32,53,23,22,12,16,25,15,25,14,2,1,1,0,All
Shanese Johnson,,,,,,,,,,,,,,,1,40,37,62,48,47,48,33,35,31,41,24,49,24,38,43,42,29,6,9,15,8,1,1,0,0,All
Vincent Furlong,,,,,,,,,,,,,,,,1,30,26,34,32,55,71,30,69,36,41,38,56,25,18,14,19,15,15,24,13,1,0,1,0,All
Jennifer Schultz,,,,,,,,,,,,,,,,,3,46,64,34,43,30,69,22,30,43,23,21,12,15,30,28,25,17,13,9,3,1,0,0,All
Lucretia C Clemons,,,,,,,,,,,,,,,,,,1,43,55,23,11,48,13,50,38,45,21,53,50,55,26,13,20,9,9,0,2,0,0,All
