col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,division
,District Attorney - Democrat,,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,,All
,Rich Negrin,Joe Khan,Lawrence S Krasner,Michael W Untermeyer,Tariq Karim El Shabazz,Teresa Carr Deni,John O Neill,Marissa Brumbach,Matt Wolf,George Twardy,Jon Marshall,Sherman Toppin,Bill Rice,Betsy Wahl,Christian Dicicco,Crystal B Powell,All
Rich Negrin,157,0,0,0,0,0,0,92,95,17,4,7,3,0,0,0,All
Joe Khan,,21,0,0,0,0,0,36,28,12,5,3,4,0,0,0,All
Lawrence S Krasner,,,30,0,0,0,0,25,21,6,11,11,4,0,0,0,All
Michael W Untermeyer,,,,12,0,0,0,19,16,13,3,3,0,0,0,0,All
Tariq Karim El Shabazz,,,,,5,0,0,7,11,1,6,3,1,0,0,0,All
Teresa Carr Deni,,,,,,3,0,6,2,0,2,0,1,0,0,0,All
John O Neill,,,,,,,1,0,5,2,1,0,0,0,0,0,All
Marissa Brumbach,,,,,,,,7,85,23,10,13,5,0,0,0,All
Matt Wolf,,,,,,,,,9,19,5,3,4,0,0,0,All
George Twardy,,,,,,,,,,2,3,3,0,0,0,0,All
Jon Marshall,,,,,,,,,,,0,6,0,0,0,0,All
Sherman Toppin,,,,,,,,,,,,0,1,0,0,0,All
Bill Rice,,,,,,,,,,,,,1,0,0,0,All
Betsy Wahl,,,,,,,,,,,,,,0,0,0,All
Christian Dicicco,,,,,,,,,,,,,,,0,0,All
Crystal B Powell,,,,,,,,,,,,,,,,0,All
Total,295,80,80,46,24,10,6,194,191,57,32,29,14,0,0,0,All
,District Attorney - Democrat,,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,,1
,Rich Negrin,Joe Khan,Lawrence S Krasner,Michael W Untermeyer,John O Neill,Tariq Karim El Shabazz,Teresa Carr Deni,Matt Wolf,Marissa Brumbach,George Twardy,Jon Marshall,Betsy Wahl,Bill Rice,Christian Dicicco,Crystal B Powell,Sherman Toppin,1
Rich Negrin,8,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,1
Joe Khan,,1,0,0,0,0,0,2,2,2,0,0,0,0,0,0,1
Lawrence S Krasner,,,3,0,0,0,0,2,0,0,0,0,0,0,0,0,1
Michael W Untermeyer,,,,3,0,0,0,2,0,0,0,0,0,0,0,0,1
John O Neill,,,,,0,0,0,1,0,0,0,0,0,0,0,0,1
Tariq Karim El Shabazz,,,,,,0,0,0,0,0,0,0,0,0,0,0,1
