col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,division
,Judge Of The Superior Court - Democrat,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,,All
,Carolyn H Nichols,Maria Mclaughlin,Geoff Moulton,Debbie Kunselman,Bill Caye,Marissa Brumbach,Matt Wolf,Sherman Toppin,George Twardy,Jon Marshall,Bill Rice,Crystal B Powell,Betsy Wahl,Christian Dicicco,All
Carolyn H Nichols,48,487,360,271,100,342,239,197,123,51,24,8,0,0,All
Maria Mclaughlin,,17,359,270,106,325,202,176,119,50,24,5,0,0,All
Geoff Moulton,,,3,223,73,269,147,127,93,31,19,6,0,0,All
Debbie Kunselman,,,,4,47,214,101,102,58,27,16,7,0,0,All
Bill Caye,,,,,2,54,47,45,22,29,14,1,0,0,All
Marissa Brumbach,,,,,,2,114,94,62,15,7,3,0,0,All
Matt Wolf,,,,,,,11,29,25,13,7,1,0,0,All
Sherman Toppin,,,,,,,,7,21,13,6,2,0,0,All
George Twardy,,,,,,,,,4,7,0,0,0,0,All
Jon Marshall,,,,,,,,,,0,8,1,0,0,All
Bill Rice,,,,,,,,,,,0,0,0,0,All
Crystal B Powell,,,,,,,,,,,,0,0,0,All
Betsy Wahl,,,,,,,,,,,,,0,0,All
Christian Dicicco,,,,,,,,,,,,,,0,All
Total,688,589,404,306,121,399,299,225,146,69,33,8,0,0,All
,Judge Of The Superior Court - Democrat,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,,1
,Carolyn H Nichols,Maria Mclaughlin,Debbie Kunselman,Geoff Moulton,Bill Caye,Marissa Brumbach,Matt Wolf,George Twardy,Sherman Toppin,Bill Rice,Jon Marshall,Betsy Wahl,Christian Dicicco,Crystal B Powell,1
Carolyn H Nichols,6,107,79,75,26,78,58,30,23,5,5,0,0,0,1
Maria Mclaughlin,,1,82,78,29,76,57,30,27,6,4,0,0,0,1
Debbie Kunselman,,,0,57,20,58,42,20,19,5,3,0,0,0,1
Geoff Moulton,,,,1,14,55,40,22,15,4,3,0,0,0,1
Bill Caye,,,,,1,16,18,8,9,4,3,0,0,0,1
Marissa Brumbach,,,,,,0,37,17,13,2,1,0,0,0,1
Matt Wolf,,,,,,,2,10,3,2,4,0,0,0,1
George Twardy,,,,,,,,0,3,0,0,0,0,0,1
Sherman Toppin,,,,,,,,,0,2,1,0,0,0,1
Bill Rice,,,,,,,,,,0,0,0,0,0,1
Jon Marshall,,,,,,,,,,,0,0,0,0,1
Betsy Wahl,,,,,,,,,,,,0,0,0,1
Christian Dicicco,,,,,,,,,,,,,0,0,1
Crystal B Powell,,,,,,,,,,,,,,0,1
Total,129,126,87,82,32,86,68,31,29,7,7,0,0,0,1
,Judge Of The Superior Court - Democrat,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,,2
,Carolyn H Nichols,Maria Mclaughlin,Geoff Moulton,Debbie Kunselman,Bill Caye,Marissa Brumbach,Sherman Toppin,Matt Wolf,George Twardy,Jon Marshall,Bill Rice,Betsy Wahl,Christian Dicicco,Crystal B Powell,2
Carolyn H Nichols,4,47,42,22,18,34,29,19,12,5,0,0,0,0,2
Maria Mclaughlin,,2,42,22,18,31,22,16,10,6,1,0,0,0,2
Geoff Moulton,,,0,22,17,29,23,11,9,4,1,0,0,0,2
Debbie Kunselman,,,,1,3,18,12,6,3,3,0,0,0,0,2
Bill Caye,,,,,0,8,11,3,6,6,1,0,0,0,2
Marissa Brumbach,,,,,,0,20,7,2,1,0,0,0,0,2
Sherman Toppin,,,,,,,4,1,3,2,1,0,0,0,2
Matt Wolf,,,,,,,,1,3,1,1,0,0,0,2
George Twardy,,,,,,,,,0,1,0,0,0,0,2
Jon Marshall,,,,,,,,,,0,0,0,0,0,2
Bill Rice,,,,,,,,,,,0,0,0,0,2
