col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,division
,Justice Of The Supreme Court - Democrat,District Attorney - Democrat,,,,,,,All
,Dwayne Woodruff,Lawrence S Krasner,Tariq Karim El Shabazz,Joe Khan,Rich Negrin,Michael W Untermeyer,John O Neill,Teresa Carr Deni,All
Dwayne Woodruff,68,990,519,518,191,118,25,22,All
Lawrence S Krasner,,247,0,0,0,0,0,0,All
Tariq Karim El Shabazz,,,174,0,0,0,0,0,All
Joe Khan,,,,118,0,0,0,0,All
Rich Negrin,,,,,36,0,0,0,All
Michael W Untermeyer,,,,,,41,0,0,All
John O Neill,,,,,,,7,0,All
Teresa Carr Deni,,,,,,,,6,All
Total,"2,451","1,237",693,636,227,159,32,28,All
,Justice Of The Supreme Court - Democrat,District Attorney - Democrat,,,,,,,1
,Dwayne Woodruff,Lawrence S Krasner,Tariq Karim El Shabazz,Joe Khan,Michael W Untermeyer,Rich Negrin,John O Neill,Teresa Carr Deni,1
Dwayne Woodruff,3,21,17,16,5,5,2,0,1
Lawrence S Krasner,,6,0,0,0,0,0,0,1
Tariq Karim El Shabazz,,,6,0,0,0,0,0,1
Joe Khan,,,,3,0,0,0,0,1
Michael W Untermeyer,,,,,1,0,0,0,1
Rich Negrin,,,,,,1,0,0,1
John O Neill,,,,,,,0,0,1
Teresa Carr Deni,,,,,,,,0,1
Total,69,27,23,19,6,6,2,0,1
,Justice Of The Supreme Court - Democrat,District Attorney - Democrat,,,,,,,2
,Dwayne Woodruff,Lawrence S Krasner,Tariq Karim El Shabazz,Joe Khan,Rich Negrin,Michael W Untermeyer,John O Neill,Teresa Carr Deni,2
Dwayne Woodruff,3,35,32,22,6,2,1,0,2
Lawrence S Krasner,,7,0,0,0,0,0,0,2
Tariq Karim El Shabazz,,,5,0,0,0,0,0,2
Joe Khan,,,,3,0,0,0,0,2
Rich Negrin,,,,,1,0,0,0,2
Michael W Untermeyer,,,,,,3,0,0,2
John O Neill,,,,,,,0,0,2
Teresa Carr Deni,,,,,,,,1,2
Total,101,42,37,25,7,5,1,1,2
,Justice Of The Supreme Court - Democrat,District Attorney - Democrat,,,,,,,3
,Dwayne Woodruff,Tariq Karim El Shabazz,Joe Khan,Lawrence S Krasner,Rich Negrin,Michael W Untermeyer,John O Neill,Teresa Carr Deni,3
Dwayne Woodruff,1,26,14,10,8,4,0,0,3
Tariq Karim El Shabazz,,7,0,0,0,0,0,0,3
Joe Khan,,,4,0,0,0,0,0,3
Lawrence S Krasner,,,,3,0,0,0,0,3
Rich Negrin,,,,,1,0,0,0,3
Michael W Untermeyer,,,,,,2,0,0,3
John O Neill,,,,,,,0,0,3
Teresa Carr Deni,,,,,,,,0,3
Total,63,33,18,13,9,6,0,0,3
