col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,division
,City Controller - Democrat,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Rebecca Rhynhart,Alan L Butkovitz,Bobbie T Curry,Stella Tsai,Shanese Johnson,Deborah Cianfrani,Vikki Kristiansson,Rania Major,Leon Goodman,Lucretia C Clemons,Zac Shaffer,Mark B Cohen,Daniel R Sulman,John Macoretta,Deborah Canty,Crystal B Powell,Vincent Furlong,Brian Mclaughlin,Danyl S Patterson,Vincent Melchiorre,David Conroy,Henry Mcgregor Sias,Jennifer Schultz,Wendi Barish,Lawrence J Bozzelli,Terri M Booker,Mark J Moore,Jon Marshall,Leonard Deutchman,Bill Rice,Dawn M Tancredi,Matthew C Monroe,Betsy Wahl,Christian Dicicco,All
Rebecca Rhynhart,52,0,0,351,254,259,255,245,174,145,115,149,128,188,137,95,158,163,89,95,83,144,135,153,140,78,53,40,36,29,3,2,0,1,All
Alan L Butkovitz,,47,0,238,279,254,149,123,163,212,193,152,159,82,116,169,90,83,163,140,164,81,80,51,66,63,63,38,21,25,0,3,2,2,All
Bobbie T Curry,,,3,14,13,12,9,11,3,2,0,6,3,11,4,1,11,9,0,1,0,9,3,1,8,1,1,2,0,0,1,0,0,0,All
Stella Tsai,,,,3,312,377,251,232,125,213,194,90,217,171,110,101,159,159,164,166,158,174,110,135,160,55,36,32,24,15,1,3,2,0,All
Shanese Johnson,,,,,15,333,189,210,137,240,193,149,168,105,126,164,129,87,155,144,149,85,104,84,85,91,70,48,22,37,1,3,1,0,All
Deborah Cianfrani,,,,,,5,241,250,119,189,168,111,157,183,94,134,173,169,123,135,141,172,111,87,160,67,50,39,21,13,2,2,0,0,All
Vikki Kristiansson,,,,,,,0,236,173,106,110,124,66,176,121,100,174,152,70,42,76,146,101,99,145,43,24,33,24,10,1,1,0,2,All
Rania Major,,,,,,,,2,89,83,70,133,56,177,89,90,189,166,51,34,23,153,81,70,166,50,46,29,16,21,0,1,1,0,All
Leon Goodman,,,,,,,,,10,149,143,113,112,60,115,112,72,56,107,96,108,54,95,114,44,57,57,43,48,24,4,3,0,2,All
Lucretia C Clemons,,,,,,,,,,5,199,72,170,33,82,169,26,29,199,159,187,40,75,104,15,63,66,36,17,27,2,2,1,0,All
Zac Shaffer,,,,,,,,,,,6,82,196,34,82,104,42,26,184,189,189,26,58,90,25,21,19,27,30,10,3,3,1,1,All
Mark B Cohen,,,,,,,,,,,,7,65,85,99,92,91,86,63,42,48,62,70,57,60,45,36,30,20,21,1,1,1,2,All
Daniel R Sulman,,,,,,,,,,,,,1,43,69,65,35,35,148,181,153,26,58,98,27,22,18,17,28,8,3,2,2,0,All
