col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,division
,Judge Of The Municipal Court - Democrat,,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Marissa Brumbach,Matt Wolf,George Twardy,Jon Marshall,Sherman Toppin,Bill Rice,Betsy Wahl,Christian Dicicco,Crystal B Powell,Vikki Kristiansson,Brian Mclaughlin,Stella Tsai,David Conroy,Vincent Furlong,Zac Shaffer,Mark B Cohen,Deborah Cianfrani,Crystal B Powell,Vincent Melchiorre,Wendi Barish,Deborah Canty,Jennifer Schultz,Daniel R Sulman,Rania Major,Lawrence J Bozzelli,John Macoretta,Lucretia C Clemons,Leon Goodman,Shanese Johnson,Henry Mcgregor Sias,Leonard Deutchman,Terri M Booker,Bill Rice,Mark J Moore,Danyl S Patterson,Jon Marshall,Betsy Wahl,Christian Dicicco,Dawn M Tancredi,Matthew C Monroe,All
Marissa Brumbach,12,240,204,72,50,28,0,0,0,412,282,399,258,307,263,239,281,216,235,241,208,202,178,178,152,139,188,108,130,121,73,67,34,46,48,47,0,1,0,0,All
Matt Wolf,,17,69,63,26,27,0,0,0,216,264,213,139,211,146,214,205,112,123,129,128,148,105,146,157,149,70,108,91,118,57,62,56,41,28,40,0,1,0,0,All
George Twardy,,,1,14,15,5,0,0,0,195,121,180,175,180,160,88,86,117,147,107,60,51,118,48,57,54,101,50,48,43,33,14,21,19,27,13,0,0,0,0,All
Jon Marshall,,,,2,12,10,0,0,0,58,99,54,67,68,62,69,68,50,44,54,66,68,45,43,48,45,40,43,33,26,26,23,30,27,15,34,0,0,1,0,All
Sherman Toppin,,,,,0,4,0,0,0,58,36,45,39,31,43,59,43,47,26,30,56,38,35,39,18,27,41,38,32,16,19,17,12,15,22,10,0,0,1,0,All
Bill Rice,,,,,,0,1,0,0,20,41,20,34,35,25,38,38,34,26,15,29,21,13,15,12,15,14,21,23,5,11,23,28,13,12,10,0,0,0,0,All
Betsy Wahl,,,,,,,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,All
Christian Dicicco,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All
Crystal B Powell,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All
Vikki Kristiansson,,,,,,,,,,2,194,361,214,256,217,158,211,178,159,209,176,162,157,165,125,140,168,89,105,107,56,50,29,31,36,24,0,0,0,0,All
