col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,division
,Justice Of The Supreme Court - Democrat,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Dwayne Woodruff,Vikki Kristiansson,Stella Tsai,Wendi Barish,Jennifer Schultz,Lucretia C Clemons,Henry Mcgregor Sias,Deborah Canty,Deborah Cianfrani,Zac Shaffer,Lawrence J Bozzelli,John Macoretta,David Conroy,Vincent Furlong,Daniel R Sulman,Rania Major,Mark B Cohen,Leon Goodman,Brian Mclaughlin,Vincent Melchiorre,Shanese Johnson,Crystal B Powell,Leonard Deutchman,Mark J Moore,Terri M Booker,Danyl S Patterson,Jon Marshall,Bill Rice,Matthew C Monroe,Dawn M Tancredi,Christian Dicicco,Betsy Wahl,All
Dwayne Woodruff,205,"1,251","1,213",866,838,801,760,734,670,629,611,578,435,519,465,487,435,433,400,357,407,252,223,208,196,152,141,67,3,2,0,0,All
Vikki Kristiansson,,13,938,647,614,609,556,579,424,466,398,450,253,385,329,384,228,267,252,207,257,146,142,108,91,80,74,17,2,0,0,0,All
Stella Tsai,,,6,656,668,661,598,584,471,383,370,323,160,249,374,379,238,292,256,138,307,145,151,126,112,97,86,27,1,0,0,0,All
Wendi Barish,,,,6,598,521,365,518,310,281,244,159,117,129,231,230,135,223,125,83,213,154,113,125,120,60,76,14,1,0,0,0,All
Jennifer Schultz,,,,,1,492,348,536,339,239,207,153,104,110,194,255,163,213,140,76,228,171,128,155,131,39,78,18,1,0,0,0,All
Lucretia C Clemons,,,,,,2,434,412,197,327,183,124,154,83,269,127,113,241,93,88,150,148,103,149,115,103,86,24,0,0,1,0,All
Henry Mcgregor Sias,,,,,,,12,251,210,286,236,230,70,186,264,155,163,215,185,58,103,47,74,105,53,62,32,10,2,1,0,0,All
Deborah Canty,,,,,,,,2,288,181,220,149,111,129,156,252,152,174,128,80,207,144,129,100,96,44,68,15,3,0,0,0,All
