col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,division
,Judge Of The Municipal Court - Democrat,,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Marissa Brumbach,Matt Wolf,George Twardy,Jon Marshall,Sherman Toppin,Bill Rice,Betsy Wahl,Christian Dicicco,Crystal B Powell,Vincent Furlong,Deborah Cianfrani,Stella Tsai,Vikki Kristiansson,Brian Mclaughlin,Mark B Cohen,Jennifer Schultz,John Macoretta,Shanese Johnson,Zac Shaffer,Deborah Canty,Rania Major,Vincent Melchiorre,Daniel R Sulman,David Conroy,Lawrence J Bozzelli,Crystal B Powell,Henry Mcgregor Sias,Wendi Barish,Leon Goodman,Lucretia C Clemons,Jon Marshall,Leonard Deutchman,Mark J Moore,Terri M Booker,Danyl S Patterson,Bill Rice,Betsy Wahl,Christian Dicicco,Dawn M Tancredi,Matthew C Monroe,All
Marissa Brumbach,11,125,109,60,27,17,0,0,0,200,223,237,184,123,108,136,111,127,122,116,115,119,124,114,101,104,96,104,48,78,39,36,36,37,33,15,0,0,0,1,All
Matt Wolf,,10,32,41,13,11,0,0,0,154,142,139,120,140,108,75,105,63,58,64,83,58,58,48,87,39,81,42,41,39,33,29,26,20,20,18,0,0,0,1,All
George Twardy,,,0,14,14,1,0,0,0,117,102,102,70,52,51,45,55,75,78,39,34,84,85,75,50,55,34,30,32,24,18,15,16,10,16,11,0,0,0,0,All
Jon Marshall,,,,4,11,13,0,0,0,70,58,49,46,53,66,62,36,25,39,56,36,41,37,29,33,25,22,39,39,16,64,23,25,21,11,14,0,0,1,0,All
Sherman Toppin,,,,,1,2,1,0,0,25,25,26,34,19,38,33,16,21,21,40,25,12,13,20,12,33,16,19,19,17,6,10,9,12,16,10,0,0,1,0,All
Bill Rice,,,,,,0,0,0,0,18,21,12,17,19,22,17,15,12,12,21,14,8,7,14,10,17,4,13,10,13,14,9,8,14,10,16,0,0,0,0,All
Betsy Wahl,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All
Christian Dicicco,,,,,,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,All
Crystal B Powell,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All
Vincent Furlong,,,,,,,,,,22,184,155,125,125,110,75,106,92,97,63,89,107,91,98,98,68,89,36,36,29,42,22,26,17,21,18,0,0,1,0,All
Deborah Cianfrani,,,,,,,,,,,2,205,134,112,98,93,107,127,92,89,103,107,93,75,90,92,85,70,30,39,24,20,16,30,21,15,0,0,0,0,All
Stella Tsai,,,,,,,,,,,,2,157,95,71,93,91,131,112,83,103,98,113,91,84,91,88,75,37,60,27,17,18,27,24,7,0,0,0,0,All
Vikki Kristiansson,,,,,,,,,,,,,1,107,84,100,107,61,52,95,106,44,57,48,96,46,86,73,45,54,25,29,23,25,19,13,0,0,0,0,All
Brian Mclaughlin,,,,,,,,,,,,,,8,94,63,104,35,35,51,67,54,34,38,104,21,79,37,35,28,34,33,35,14,11,14,0,0,0,1,All
Mark B Cohen,,,,,,,,,,,,,,,4,88,69,51,49,81,69,44,37,35,65,45,43,39,48,26,35,29,24,26,20,24,0,0,0,1,All
Jennifer Schultz,,,,,,,,,,,,,,,,0,51,49,45,107,57,36,46,37,48,49,34,92,40,41,42,31,34,28,12,16,0,0,0,1,All
John Macoretta,,,,,,,,,,,,,,,,,2,42,28,42,78,34,30,25,97,16,81,35,30,20,27,25,25,10,6,12,0,0,0,0,All
Shanese Johnson,,,,,,,,,,,,,,,,,,4,73,49,58,65,75,65,30,79,34,38,20,32,12,7,7,21,16,8,0,0,0,0,All
Zac Shaffer,,,,,,,,,,,,,,,,,,,2,46,25,99,108,93,21,68,28,34,39,40,20,16,18,11,21,11,0,0,0,0,All
Deborah Canty,,,,,,,,,,,,,,,,,,,,0,61,29,37,35,35,63,25,85,38,45,30,24,23,31,18,19,0,0,0,1,All
Rania Major,,,,,,,,,,,,,,,,,,,,,3,20,26,19,76,32,67,41,25,21,10,14,8,16,12,11,0,0,0,0,All
