col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,division
,Judge Of The Superior Court - Democrat,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Carolyn H Nichols,Maria Mclaughlin,Geoff Moulton,Debbie Kunselman,Bill Caye,Vikki Kristiansson,Stella Tsai,Lucretia C Clemons,Shanese Johnson,Zac Shaffer,Deborah Canty,Leon Goodman,Mark B Cohen,Crystal B Powell,Deborah Cianfrani,Danyl S Patterson,Jennifer Schultz,Rania Major,David Conroy,Henry Mcgregor Sias,Wendi Barish,John Macoretta,Vincent Melchiorre,Vincent Furlong,Terri M Booker,Brian Mclaughlin,Lawrence J Bozzelli,Daniel R Sulman,Mark J Moore,Leonard Deutchman,Bill Rice,Jon Marshall,Dawn M Tancredi,Matthew C Monroe,Christian Dicicco,Betsy Wahl,All
Carolyn H Nichols,45,"1,123",880,536,263,779,745,617,604,495,515,430,433,500,476,398,353,386,351,383,331,300,282,294,244,243,230,223,194,127,80,70,4,4,1,0,All
Maria Mclaughlin,,22,875,540,248,763,693,526,552,484,465,340,384,408,397,350,317,362,347,316,288,280,262,292,178,237,212,224,127,121,75,62,3,4,0,0,All
Geoff Moulton,,,2,421,175,603,579,418,401,390,338,259,274,305,292,283,233,266,282,277,213,243,217,225,116,173,181,188,94,98,53,47,3,3,0,0,All
Debbie Kunselman,,,,7,128,354,361,285,246,219,297,190,170,176,214,146,258,176,131,184,241,133,123,114,104,101,99,160,81,77,43,41,2,4,0,0,All
Bill Caye,,,,,1,134,123,83,132,94,140,132,127,93,112,56,96,116,59,62,80,91,66,98,64,71,66,69,43,65,39,35,1,1,0,0,All
Vikki Kristiansson,,,,,,14,559,391,341,418,355,264,280,273,267,306,217,268,305,261,213,285,181,206,85,164,165,116,65,136,22,25,4,2,1,0,All
Stella Tsai,,,,,,,3,373,364,275,255,150,173,223,289,192,223,244,185,283,218,198,192,190,73,144,174,151,68,44,31,26,3,3,0,0,All
Lucretia C Clemons,,,,,,,,8,315,324,251,229,106,368,186,280,235,114,254,185,233,58,211,69,137,57,42,136,147,28,37,35,0,0,1,0,All
Shanese Johnson,,,,,,,,,8,238,241,162,171,308,238,223,140,202,194,86,129,95,189,118,114,75,89,93,61,30,51,36,1,1,0,0,All
Zac Shaffer,,,,,,,,,,5,248,288,211,235,90,319,145,88,334,114,120,143,236,92,81,58,48,137,54,123,15,31,0,3,0,0,All
Deborah Canty,,,,,,,,,,,11,275,256,217,150,226,221,136,180,102,200,155,98,93,111,70,57,102,97,152,40,35,2,4,0,0,All
Leon Goodman,,,,,,,,,,,,4,228,202,149,203,175,87,181,124,142,160,89,89,152,60,47,86,130,136,34,32,1,3,0,0,All
Mark B Cohen,,,,,,,,,,,,,19,126,156,177,113,160,157,96,66,183,53,142,88,100,78,62,55,121,46,25,0,1,0,0,All
Crystal B Powell,,,,,,,,,,,,,,1,172,250,157,100,215,71,142,36,161,64,162,37,26,54,120,18,40,34,1,1,0,0,All
Deborah Cianfrani,,,,,,,,,,,,,,,1,64,186,239,67,202,162,149,50,168,120,144,129,73,80,19,22,17,3,1,0,0,All
Danyl S Patterson,,,,,,,,,,,,,,,,10,44,70,304,30,40,114,187,59,59,44,14,59,64,93,24,21,0,2,0,0,All
Jennifer Schultz,,,,,,,,,,,,,,,,,4,116,36,158,254,44,63,58,152,47,47,69,90,52,27,27,2,1,0,0,All
Rania Major,,,,,,,,,,,,,,,,,,4,61,155,103,147,62,183,67,165,142,48,37,34,33,19,1,0,1,0,All
David Conroy,,,,,,,,,,,,,,,,,,,1,22,28,106,164,60,33,50,23,73,32,95,18,19,1,1,1,0,All
Henry Mcgregor Sias,,,,,,,,,,,,,,,,,,,,4,162,165,40,142,63,115,138,89,76,36,13,11,1,0,0,0,All
Wendi Barish,,,,,,,,,,,,,,,,,,,,,1,48,57,46,106,31,41,83,89,49,18,21,2,3,0,0,All
John Macoretta,,,,,,,,,,,,,,,,,,,,,,1,28,144,27,124,141,40,32,115,12,19,2,2,0,0,All
Vincent Melchiorre,,,,,,,,,,,,,,,,,,,,,,,2,60,32,53,28,87,37,31,20,20,0,1,0,0,All
Vincent Furlong,,,,,,,,,,,,,,,,,,,,,,,,1,39,152,138,50,25,27,26,24,1,0,1,0,All
Terri M Booker,,,,,,,,,,,,,,,,,,,,,,,,,4,30,22,25,85,14,30,24,0,0,1,0,All
Brian Mclaughlin,,,,,,,,,,,,,,,,,,,,,,,,,,3,119,35,26,23,14,16,0,1,0,0,All
Lawrence J Bozzelli,,,,,,,,,,,,,,,,,,,,,,,,,,,3,34,26,27,8,20,1,1,0,0,All
Daniel R Sulman,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16,45,14,13,2,3,0,0,All
Mark J Moore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,18,22,25,0,0,1,0,All
Leonard Deutchman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,15,1,2,0,0,All
Bill Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,0,0,0,0,All
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1,0,0,All
Dawn M Tancredi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,0,All
Matthew C Monroe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,All
Christian Dicicco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,All
Betsy Wahl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"1,611","1,350",965,640,305,946,826,717,702,665,656,585,573,553,520,506,465,448,439,439,401,400,352,349,311,293,270,264,223,203,93,90,5,5,2,0,All
