col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,division
,Judge Of The Commonwealth Court - Democrat,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Ellen Ceisler,Timothy Barry,Joe Cosgrove,Todd Eagen,Irene M Clark,Bryan Barbin,Vikki Kristiansson,Stella Tsai,Shanese Johnson,Mark B Cohen,Deborah Cianfrani,Deborah Canty,Zac Shaffer,Leon Goodman,Lucretia C Clemons,Vincent Furlong,Rania Major,Jennifer Schultz,Daniel R Sulman,John Macoretta,Danyl S Patterson,Wendi Barish,David Conroy,Henry Mcgregor Sias,Crystal B Powell,Brian Mclaughlin,Lawrence J Bozzelli,Vincent Melchiorre,Leonard Deutchman,Terri M Booker,Mark J Moore,Bill Rice,Jon Marshall,Matthew C Monroe,Christian Dicicco,Dawn M Tancredi,Betsy Wahl,All
Ellen Ceisler,30,183,210,372,174,14,682,554,578,462,502,492,456,383,487,372,337,446,432,222,328,390,319,242,310,179,158,270,138,214,154,88,81,4,2,2,0,All
Timothy Barry,,18,153,27,22,5,260,288,211,204,237,154,95,141,75,202,249,106,75,202,67,89,61,161,81,188,175,47,63,56,41,44,32,1,1,1,0,All
Joe Cosgrove,,,13,29,11,2,275,269,160,169,214,167,130,153,138,163,208,138,98,193,69,128,84,179,76,174,167,59,67,49,60,30,29,1,0,1,0,All
Todd Eagen,,,,0,8,1,337,165,204,146,224,115,290,107,143,204,65,127,257,66,178,118,183,95,60,42,43,178,49,23,19,12,14,3,0,0,0,All
Irene M Clark,,,,,0,3,110,105,138,91,83,132,33,67,88,44,107,106,39,50,45,83,35,37,98,35,28,24,28,82,42,31,25,0,1,0,0,All
Bryan Barbin,,,,,,0,11,14,9,3,8,16,6,11,10,8,9,12,7,9,3,9,8,8,5,4,6,8,7,7,5,5,5,0,0,0,0,All
Vikki Kristiansson,,,,,,,13,474,431,407,490,418,470,305,285,396,320,311,329,354,324,248,350,274,154,178,210,191,182,77,53,29,35,4,0,1,0,All
Stella Tsai,,,,,,,,8,299,239,361,280,207,183,311,238,348,318,219,225,75,294,94,286,134,196,204,83,67,98,82,42,33,3,1,1,0,All
Shanese Johnson,,,,,,,,,15,235,436,282,228,173,228,321,312,213,235,131,207,174,183,103,216,117,121,198,41,144,74,56,41,2,1,1,0,All
