col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Judge Of The Commonwealth Court - Democrat,,,,,,All
,Stella Tsai,Deborah Cianfrani,Vikki Kristiansson,Vincent Furlong,Rania Major,Brian Mclaughlin,Zac Shaffer,Lawrence J Bozzelli,Mark B Cohen,Henry Mcgregor Sias,John Macoretta,Daniel R Sulman,Jennifer Schultz,Lucretia C Clemons,Vincent Melchiorre,Deborah Canty,Shanese Johnson,Leon Goodman,Wendi Barish,David Conroy,Leonard Deutchman,Jon Marshall,Crystal B Powell,Terri M Booker,Danyl S Patterson,Mark J Moore,Bill Rice,Christian Dicicco,Matthew C Monroe,Betsy Wahl,Dawn M Tancredi,Ellen Ceisler,Joe Cosgrove,Timothy Barry,Todd Eagen,Irene M Clark,Bryan Barbin,All
Stella Tsai,5,136,154,119,113,79,77,79,44,84,68,60,41,54,53,39,48,31,37,39,33,21,14,12,10,6,8,0,1,0,0,101,112,83,44,14,2,All
Deborah Cianfrani,,6,128,101,90,82,58,73,44,63,67,61,46,49,63,31,40,20,37,41,14,24,12,12,7,10,7,0,1,0,0,79,114,72,40,15,3,All
Vikki Kristiansson,,,5,115,97,68,77,62,35,73,60,56,31,52,50,35,38,24,34,42,27,27,21,11,12,2,6,1,1,0,0,80,109,60,48,13,1,All
Vincent Furlong,,,,2,84,70,58,61,33,72,60,41,17,36,42,21,32,28,14,34,30,13,11,6,7,6,8,0,0,0,0,60,91,68,35,3,2,All
Rania Major,,,,,5,71,40,64,49,76,61,25,40,16,17,32,46,24,30,10,34,13,15,10,7,8,7,0,1,0,0,79,74,76,10,12,2,All
Brian Mclaughlin,,,,,,3,22,70,42,63,68,19,26,13,20,21,30,21,17,10,17,11,6,9,9,9,13,0,0,0,0,50,75,70,14,4,3,All
Zac Shaffer,,,,,,,1,14,26,32,13,53,25,41,60,30,12,30,22,43,37,22,11,7,13,5,8,0,0,0,0,58,59,23,48,4,1,All
Lawrence J Bozzelli,,,,,,,,1,31,60,66,16,20,10,14,16,29,22,22,7,12,8,4,1,5,3,6,0,0,0,0,47,59,64,10,8,1,All
