col_1,col_2,col_3,col_4,division
,Justice Of The Supreme Court - Republican,Judge Of The Commonwealth Court - Republican,,All
,Sallie Mundy,Paul Lalley,Christine Fizzano Cannon,All
Sallie Mundy,69,510,490,All
Paul Lalley,,8,447,All
Christine Fizzano Cannon,,,15,All
Total,640,536,523,All
,Justice Of The Supreme Court - Republican,Judge Of The Commonwealth Court - Republican,,1
,Sallie Mundy,Christine Fizzano Cannon,Paul Lalley,1
Sallie Mundy,2,18,19,1
Christine Fizzano Cannon,,3,17,1
Paul Lalley,,,0,1
Total,23,22,20,1
,Justice Of The Supreme Court - Republican,Judge Of The Commonwealth Court - Republican,,2
,Sallie Mundy,Christine Fizzano Cannon,Paul Lalley,2
Sallie Mundy,3,18,17,2
Christine Fizzano Cannon,,0,15,2
Paul Lalley,,,0,2
Total,23,18,17,2
,Justice Of The Supreme Court - Republican,Judge Of The Commonwealth Court - Republican,,3
,Sallie Mundy,Paul Lalley,Christine Fizzano Cannon,3
Sallie Mundy,3,35,32,3
Paul Lalley,,0,32,3
Christine Fizzano Cannon,,,1,3
Total,40,37,35,3
,Justice Of The Supreme Court - Republican,Judge Of The Commonwealth Court - Republican,,4
,Sallie Mundy,Paul Lalley,Christine Fizzano Cannon,4
Sallie Mundy,3,30,24,4
Paul Lalley,,2,23,4
Christine Fizzano Cannon,,,0,4
Total,34,32,24,4
,Justice Of The Supreme Court - Republican,Judge Of The Commonwealth Court - Republican,,5
,Sallie Mundy,Paul Lalley,Christine Fizzano Cannon,5
Sallie Mundy,4,22,19,5
Paul Lalley,,0,16,5
Christine Fizzano Cannon,,,1,5
Total,29,22,20,5
,Justice Of The Supreme Court - Republican,Judge Of The Commonwealth Court - Republican,,6
,Sallie Mundy,Paul Lalley,Christine Fizzano Cannon,6
Sallie Mundy,3,12,12,6
Paul Lalley,,1,10,6
Christine Fizzano Cannon,,,0,6
Total,17,13,12,6
,Justice Of The Supreme Court - Republican,Judge Of The Commonwealth Court - Republican,,7
,Sallie Mundy,Paul Lalley,Christine Fizzano Cannon,7
Sallie Mundy,5,14,12,7
Paul Lalley,,1,10,7
Christine Fizzano Cannon,,,2,7
Total,22,16,15,7
,Justice Of The Supreme Court - Republican,Judge Of The Commonwealth Court - Republican,,8
,Sallie Mundy,Christine Fizzano Cannon,Paul Lalley,8
Sallie Mundy,5,31,31,8
Christine Fizzano Cannon,,0,30,8
Paul Lalley,,,0,8
Total,38,32,32,8
,Justice Of The Supreme Court - Republican,Judge Of The Commonwealth Court - Republican,,9
,Sallie Mundy,Paul Lalley,Christine Fizzano Cannon,9
Sallie Mundy,3,33,27,9
Paul Lalley,,1,27,9
Christine Fizzano Cannon,,,0,9
Total,37,35,28,9
,Justice Of The Supreme Court - Republican,Judge Of The Commonwealth Court - Republican,,10
,Sallie Mundy,Paul Lalley,Christine Fizzano Cannon,10
Sallie Mundy,5,27,18,10
Paul Lalley,,1,18,10
Christine Fizzano Cannon,,,1,10
Total,32,28,19,10
,Justice Of The Supreme Court - Republican,Judge Of The Commonwealth Court - Republican,,11
,Sallie Mundy,Christine Fizzano Cannon,Paul Lalley,11
