col_1,col_2,col_3,col_4,col_5,col_6,col_7,division
,Justice Of The Supreme Court - Republican,Judge Of The Superior Court - Republican,,,,,All
,Sallie Mundy,Paula A Patrick,Craig Stedman,Emil Giordano,Wade A Kagarise,Mary Murray,All
Sallie Mundy,2,42,39,39,30,15,All
Paula A Patrick,,3,33,35,23,13,All
Craig Stedman,,,1,37,26,12,All
Emil Giordano,,,,0,27,14,All
Wade A Kagarise,,,,,0,4,All
Mary Murray,,,,,,0,All
Total,54,46,41,40,31,15,All
,Judge Of The Superior Court - Republican,,,,,Justice Of The Supreme Court - Republican,1
,Craig Stedman,Wade A Kagarise,Emil Giordano,Paula A Patrick,Mary Murray,Sallie Mundy,1
Craig Stedman,0,3,2,2,0,3,1
Wade A Kagarise,,0,2,2,0,3,1
Emil Giordano,,,0,1,0,2,1
Paula A Patrick,,,,0,0,2,1
Mary Murray,,,,,0,0,1
Sallie Mundy,,,,,,0,1
Total,3,3,2,2,0,3,1
,Justice Of The Supreme Court - Republican,Judge Of The Superior Court - Republican,,,,,2
,Sallie Mundy,Emil Giordano,Paula A Patrick,Craig Stedman,Mary Murray,Wade A Kagarise,2
Sallie Mundy,0,2,2,1,1,1,2
Emil Giordano,,0,2,1,1,0,2
Paula A Patrick,,,0,1,1,0,2
Craig Stedman,,,,0,1,0,2
Mary Murray,,,,,0,0,2
Wade A Kagarise,,,,,,0,2
Total,3,2,2,1,1,1,2
,Judge Of The Superior Court - Republican,,,,,Justice Of The Supreme Court - Republican,3
,Paula A Patrick,Craig Stedman,Emil Giordano,Wade A Kagarise,Mary Murray,Sallie Mundy,3
Paula A Patrick,1,1,1,1,0,1,3
Craig Stedman,,0,1,1,0,1,3
Emil Giordano,,,0,1,0,1,3
Wade A Kagarise,,,,0,0,1,3
Mary Murray,,,,,0,0,3
Sallie Mundy,,,,,,1,3
Total,2,1,1,1,0,2,3
,Judge Of The Superior Court - Republican,,,,,Justice Of The Supreme Court - Republican,5
,Craig Stedman,Emil Giordano,Wade A Kagarise,Mary Murray,Paula A Patrick,Sallie Mundy,5
Craig Stedman,0,1,1,0,0,1,5
Emil Giordano,,0,1,0,0,1,5
Wade A Kagarise,,,0,0,0,1,5
Mary Murray,,,,0,0,0,5
Paula A Patrick,,,,,0,0,5
Sallie Mundy,,,,,,0,5
Total,1,1,1,0,0,1,5
,Justice Of The Supreme Court - Republican,Judge Of The Superior Court - Republican,,,,,7
,Sallie Mundy,Craig Stedman,Emil Giordano,Paula A Patrick,Mary Murray,Wade A Kagarise,7
Sallie Mundy,1,1,1,1,0,0,7
Craig Stedman,,0,1,1,0,0,7
Emil Giordano,,,0,1,0,0,7
Paula A Patrick,,,,0,0,0,7
Mary Murray,,,,,0,0,7
Wade A Kagarise,,,,,,0,7
Total,2,1,1,1,0,0,7
,Judge Of The Superior Court - Republican,,,,,Justice Of The Supreme Court - Republican,9
,Paula A Patrick,Mary Murray,Craig Stedman,Emil Giordano,Wade A Kagarise,Sallie Mundy,9
Paula A Patrick,0,1,0,0,0,2,9
Mary Murray,,0,0,0,0,1,9
Craig Stedman,,,0,0,0,0,9
Emil Giordano,,,,0,0,0,9
Wade A Kagarise,,,,,0,0,9
Sallie Mundy,,,,,,0,9
Total,2,1,0,0,0,2,9
,Judge Of The Superior Court - Republican,,,,,Justice Of The Supreme Court - Republican,10
,Paula A Patrick,Craig Stedman,Emil Giordano,Mary Murray,Wade A Kagarise,Sallie Mundy,10
Paula A Patrick,1,2,2,2,0,2,10
Craig Stedman,,0,2,2,0,2,10
Emil Giordano,,,0,2,0,2,10
Mary Murray,,,,0,0,2,10
Wade A Kagarise,,,,,0,0,10
Sallie Mundy,,,,,,0,10
Total,3,2,2,2,0,2,10
,Judge Of The Superior Court - Republican,,,,,Justice Of The Supreme Court - Republican,11
,Paula A Patrick,Craig Stedman,Emil Giordano,Mary Murray,Wade A Kagarise,Sallie Mundy,11
Paula A Patrick,0,0,0,0,0,1,11
Craig Stedman,,0,0,0,0,0,11
Emil Giordano,,,0,0,0,0,11
Mary Murray,,,,0,0,0,11
Wade A Kagarise,,,,,0,0,11
Sallie Mundy,,,,,,0,11
Total,1,0,0,0,0,1,11
,Judge Of The Superior Court - Republican,,,,,Justice Of The Supreme Court - Republican,13
,Paula A Patrick,Craig Stedman,Emil Giordano,Mary Murray,Wade A Kagarise,Sallie Mundy,13
Paula A Patrick,0,1,1,1,0,2,13
Craig Stedman,,0,1,1,0,1,13
Emil Giordano,,,0,1,0,1,13
Mary Murray,,,,0,0,1,13
Wade A Kagarise,,,,,0,0,13
Sallie Mundy,,,,,,0,13
Total,2,1,1,1,0,2,13
,Judge Of The Superior Court - Republican,,,,,Justice Of The Supreme Court - Republican,14
,Craig Stedman,Emil Giordano,Mary Murray,Paula A Patrick,Wade A Kagarise,Sallie Mundy,14
Craig Stedman,0,0,0,0,0,1,14
Emil Giordano,,0,0,0,0,0,14
Mary Murray,,,0,0,0,0,14
Paula A Patrick,,,,0,0,0,14
Wade A Kagarise,,,,,0,0,14
Sallie Mundy,,,,,,0,14
Total,1,0,0,0,0,1,14
,Justice Of The Supreme Court - Republican,Judge Of The Superior Court - Republican,,,,,16
,Sallie Mundy,Emil Giordano,Paula A Patrick,Craig Stedman,Wade A Kagarise,Mary Murray,16
Sallie Mundy,0,7,7,6,5,3,16
Emil Giordano,,0,6,6,5,3,16
Paula A Patrick,,,0,5,4,3,16
Craig Stedman,,,,0,4,2,16
Wade A Kagarise,,,,,0,1,16
Mary Murray,,,,,,0,16
Total,8,7,7,6,5,3,16
,Judge Of The Superior Court - Republican,,,,,Justice Of The Supreme Court - Republican,17
,Craig Stedman,Emil Giordano,Paula A Patrick,Wade A Kagarise,Mary Murray,Sallie Mundy,17
Craig Stedman,1,4,4,3,1,4,17
Emil Giordano,,0,5,4,2,5,17
Paula A Patrick,,,0,4,2,5,17
Wade A Kagarise,,,,0,1,4,17
Mary Murray,,,,,0,2,17
Sallie Mundy,,,,,,0,17
Total,5,5,5,4,2,5,17
,Judge Of The Superior Court - Republican,,,,,Justice Of The Supreme Court - Republican,18
,Paula A Patrick,Craig Stedman,Emil Giordano,Wade A Kagarise,Mary Murray,Sallie Mundy,18
Paula A Patrick,1,5,5,4,1,5,18
Craig Stedman,,0,5,4,1,5,18
Emil Giordano,,,0,4,1,5,18
Wade A Kagarise,,,,0,0,5,18
Mary Murray,,,,,0,1,18
Sallie Mundy,,,,,,0,18
Total,6,5,5,5,1,6,18
,Justice Of The Supreme Court - Republican,Judge Of The Superior Court - Republican,,,,,19
,Sallie Mundy,Wade A Kagarise,Craig Stedman,Emil Giordano,Paula A Patrick,Mary Murray,19
