col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,division
,City Controller - Democrat,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Rebecca Rhynhart,Alan L Butkovitz,Bobbie T Curry,Stella Tsai,Deborah Cianfrani,Vikki Kristiansson,Shanese Johnson,Zac Shaffer,Lucretia C Clemons,Deborah Canty,Jennifer Schultz,Daniel R Sulman,Wendi Barish,Crystal B Powell,John Macoretta,Rania Major,Vincent Furlong,Mark B Cohen,David Conroy,Leon Goodman,Vincent Melchiorre,Brian Mclaughlin,Henry Mcgregor Sias,Danyl S Patterson,Lawrence J Bozzelli,Terri M Booker,Leonard Deutchman,Mark J Moore,Jon Marshall,Bill Rice,Christian Dicicco,Matthew C Monroe,Dawn M Tancredi,Betsy Wahl,All
Rebecca Rhynhart,138,0,0,656,480,598,380,271,373,402,397,237,391,212,302,320,277,246,157,232,147,250,245,121,213,144,153,118,82,48,0,1,1,0,All
Alan L Butkovitz,,70,0,405,360,214,338,302,177,153,149,280,126,251,139,107,148,157,250,163,239,131,112,223,103,63,46,76,34,29,3,0,1,0,All
Bobbie T Curry,,,2,18,7,13,11,9,10,8,5,5,7,5,9,10,9,9,5,8,1,5,7,4,4,4,2,3,5,1,0,0,0,0,All
Stella Tsai,,,,6,672,591,532,427,337,361,376,422,382,299,289,299,265,192,283,190,271,212,267,242,211,114,117,88,55,25,1,0,1,0,All
Deborah Cianfrani,,,,,2,394,541,329,171,246,261,318,249,311,229,295,239,191,235,131,273,172,174,230,168,130,75,68,32,23,2,1,1,0,All
Vikki Kristiansson,,,,,,15,287,249,331,354,341,206,346,151,310,278,264,195,142,195,76,202,257,86,204,98,126,79,37,21,1,1,1,0,All
Shanese Johnson,,,,,,,10,318,176,224,180,294,177,308,145,221,151,143,225,103,249,89,86,248,94,115,45,52,39,35,3,1,0,0,All
Zac Shaffer,,,,,,,,5,172,157,149,364,171,254,139,60,101,115,278,151,280,71,95,264,62,41,79,47,27,13,2,1,0,0,All
Lucretia C Clemons,,,,,,,,,15,241,277,139,276,170,120,128,96,105,102,168,71,90,154,78,64,106,71,108,57,30,1,0,0,0,All
Deborah Canty,,,,,,,,,,4,313,115,304,160,116,172,119,157,113,190,72,103,97,80,95,114,89,73,51,35,2,0,0,0,All
Jennifer Schultz,,,,,,,,,,,5,132,327,131,120,173,107,131,70,169,65,110,151,43,99,99,81,89,53,21,1,2,0,0,All
Daniel R Sulman,,,,,,,,,,,,5,157,203,125,55,113,81,234,120,262,68,88,225,78,26,74,40,27,13,1,0,0,0,All
Wendi Barish,,,,,,,,,,,,,3,127,129,151,121,95,66,174,51,86,135,40,83,94,111,74,41,18,0,1,0,0,All
Crystal B Powell,,,,,,,,,,,,,,3,55,109,44,101,217,111,193,49,42,233,22,112,17,69,40,30,1,0,0,0,All
John Macoretta,,,,,,,,,,,,,,,10,141,200,122,58,105,53,168,167,47,180,30,92,44,34,16,0,1,1,0,All
Rania Major,,,,,,,,,,,,,,,,7,181,151,32,83,46,148,126,45,137,63,30,34,34,23,1,2,1,0,All
Vincent Furlong,,,,,,,,,,,,,,,,,4,157,67,103,70,179,154,35,174,30,79,37,29,26,0,2,0,0,All
Mark B Cohen,,,,,,,,,,,,,,,,,,10,73,131,65,113,91,79,89,59,38,50,29,28,2,2,1,0,All
David Conroy,,,,,,,,,,,,,,,,,,,1,109,216,58,41,252,49,38,61,48,37,26,2,1,0,0,All
Leon Goodman,,,,,,,,,,,,,,,,,,,,0,66,99,105,78,83,75,86,97,46,29,0,0,2,0,All
Vincent Melchiorre,,,,,,,,,,,,,,,,,,,,,0,53,33,223,38,37,40,37,24,24,1,1,0,0,All
Brian Mclaughlin,,,,,,,,,,,,,,,,,,,,,,4,142,28,162,31,44,48,40,27,0,0,0,0,All
Henry Mcgregor Sias,,,,,,,,,,,,,,,,,,,,,,,1,18,151,37,34,69,27,14,0,1,0,0,All
Danyl S Patterson,,,,,,,,,,,,,,,,,,,,,,,,5,20,42,25,36,32,20,1,0,0,0,All
Lawrence J Bozzelli,,,,,,,,,,,,,,,,,,,,,,,,,0,12,54,30,36,14,0,0,0,0,All
Terri M Booker,,,,,,,,,,,,,,,,,,,,,,,,,,2,17,47,26,30,1,2,0,0,All
Leonard Deutchman,,,,,,,,,,,,,,,,,,,,,,,,,,,0,34,20,12,0,0,0,0,All
Mark J Moore,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,50,26,1,0,0,0,All
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,29,0,0,2,0,All
Bill Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,2,0,0,All
Christian Dicicco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,All
Matthew C Monroe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,All
