col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,division
,Judge Of The Municipal Court - Democrat,,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Matt Wolf,Marissa Brumbach,Sherman Toppin,George Twardy,Jon Marshall,Bill Rice,Betsy Wahl,Christian Dicicco,Crystal B Powell,Stella Tsai,Shanese Johnson,Deborah Cianfrani,Vikki Kristiansson,Rania Major,Leon Goodman,Lucretia C Clemons,Zac Shaffer,Mark B Cohen,Daniel R Sulman,John Macoretta,Deborah Canty,Crystal B Powell,Vincent Furlong,Brian Mclaughlin,Danyl S Patterson,Vincent Melchiorre,David Conroy,Henry Mcgregor Sias,Jennifer Schultz,Wendi Barish,Lawrence J Bozzelli,Terri M Booker,Mark J Moore,Jon Marshall,Leonard Deutchman,Bill Rice,Dawn M Tancredi,Matthew C Monroe,Betsy Wahl,Christian Dicicco,All
Matt Wolf,28,289,97,53,31,22,1,0,0,433,318,358,227,209,149,196,205,117,197,187,76,109,172,174,158,175,174,152,80,85,149,61,39,42,25,20,3,4,1,0,All
Marissa Brumbach,,14,79,50,21,14,0,0,0,378,327,351,233,220,91,188,167,118,165,165,123,119,156,158,133,135,130,152,119,106,149,61,40,27,27,16,1,4,1,0,All
Sherman Toppin,,,8,50,34,10,2,0,0,116,150,105,179,104,239,167,147,109,100,41,125,131,53,33,119,93,107,42,91,116,22,55,57,31,33,25,2,1,0,1,All
George Twardy,,,,5,12,6,0,0,0,84,92,83,84,79,77,58,54,89,49,65,69,66,68,53,47,28,51,46,42,31,51,23,23,23,17,10,1,1,1,2,All
Jon Marshall,,,,,0,12,2,0,0,50,55,49,32,47,61,30,41,43,44,26,48,30,22,28,14,30,8,22,49,44,24,26,33,20,25,16,1,1,1,0,All
Bill Rice,,,,,,2,0,0,0,25,39,22,15,28,28,24,16,28,13,13,24,29,16,13,16,12,8,6,19,16,8,19,24,16,7,17,1,0,1,1,All
Betsy Wahl,,,,,,,0,0,0,1,0,0,0,0,4,0,4,0,4,1,3,0,0,0,0,3,0,0,3,5,0,0,0,0,3,0,2,1,0,0,All
Christian Dicicco,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,All
Crystal B Powell,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,All
