col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,division
,Judge Of The Superior Court - Democrat,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Maria Mclaughlin,Carolyn H Nichols,Geoff Moulton,Debbie Kunselman,Bill Caye,Stella Tsai,Vikki Kristiansson,Lucretia C Clemons,Henry Mcgregor Sias,Wendi Barish,Deborah Canty,Daniel R Sulman,Leon Goodman,Zac Shaffer,Jennifer Schultz,John Macoretta,Mark B Cohen,Rania Major,Deborah Cianfrani,Shanese Johnson,Vincent Furlong,Brian Mclaughlin,Leonard Deutchman,Lawrence J Bozzelli,Crystal B Powell,Mark J Moore,David Conroy,Terri M Booker,Vincent Melchiorre,Danyl S Patterson,Jon Marshall,Bill Rice,Matthew C Monroe,Dawn M Tancredi,Christian Dicicco,Betsy Wahl,All
Maria Mclaughlin,25,"2,902","2,541","2,122",309,"2,474","2,362","1,888","1,833","1,831","1,807","1,795","1,663","1,494",764,625,563,465,485,406,397,377,330,359,244,222,203,181,166,146,111,79,4,3,1,0,All
Carolyn H Nichols,,34,"2,454","2,116",312,"2,464","2,253","1,865","1,774","1,831","1,808","1,786","1,622","1,490",755,541,584,513,503,418,381,340,317,341,260,231,185,199,158,170,111,76,3,3,2,0,All
Geoff Moulton,,,12,"2,014",237,"2,197","2,126","1,706","1,727","1,653","1,608","1,651","1,547","1,398",637,553,440,363,384,306,334,302,281,314,170,187,168,134,133,119,97,64,3,3,1,0,All
Debbie Kunselman,,,,0,156,"1,886","1,789","1,480","1,437","1,569","1,506","1,442","1,336","1,251",588,366,350,317,326,266,233,207,230,226,169,161,132,120,100,82,84,44,4,2,0,0,All
Bill Caye,,,,,0,208,160,134,82,106,151,113,103,83,121,106,126,125,112,110,100,104,83,78,67,58,41,54,56,50,33,42,1,0,0,0,All
Stella Tsai,,,,,,18,"2,195","1,703","1,743","1,751","1,674","1,728","1,489","1,423",647,457,379,377,421,309,295,253,238,264,169,146,138,122,107,82,61,43,4,3,0,0,All
Vikki Kristiansson,,,,,,,5,"1,673","1,770","1,706","1,634","1,629","1,557","1,418",585,499,338,329,360,243,276,230,236,252,141,128,149,83,78,74,49,36,3,3,1,0,All
Lucretia C Clemons,,,,,,,,16,"1,415","1,428","1,331","1,335","1,308","1,214",473,355,271,200,195,204,145,117,168,131,177,164,140,120,74,129,61,39,0,0,1,0,All
Henry Mcgregor Sias,,,,,,,,,2,"1,374","1,285","1,430","1,374","1,285",310,373,189,161,170,88,182,158,105,165,53,91,70,41,63,43,29,18,3,2,0,0,All
Wendi Barish,,,,,,,,,,0,"1,548","1,412","1,327","1,286",536,221,215,205,246,182,126,100,135,134,140,107,99,100,60,31,45,25,3,2,0,0,All
Deborah Canty,,,,,,,,,,,6,"1,351","1,378","1,186",437,229,247,242,264,244,137,124,166,146,167,120,105,114,58,82,50,32,3,3,1,0,All
