col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,,All
,Vikki Kristiansson,Stella Tsai,Lucretia C Clemons,Jennifer Schultz,Henry Mcgregor Sias,Deborah Canty,Leon Goodman,John Macoretta,Daniel R Sulman,Zac Shaffer,Wendi Barish,Deborah Cianfrani,Rania Major,Lawrence J Bozzelli,Shanese Johnson,Mark B Cohen,Brian Mclaughlin,Vincent Furlong,David Conroy,Crystal B Powell,Leonard Deutchman,Mark J Moore,Terri M Booker,Vincent Melchiorre,Jon Marshall,Danyl S Patterson,Bill Rice,Dawn M Tancredi,Christian Dicicco,Matthew C Monroe,Betsy Wahl,Marissa Brumbach,Matt Wolf,George Twardy,Sherman Toppin,Jon Marshall,Bill Rice,Betsy Wahl,Christian Dicicco,Crystal B Powell,All
Vikki Kristiansson,21,"1,712","1,425","1,362","1,365","1,262","1,195","1,175","1,068",673,549,376,337,296,285,231,237,226,155,148,146,109,109,89,72,75,27,2,3,1,0,"1,694","1,338",332,161,155,37,2,0,0,All
Stella Tsai,,12,"1,352","1,375","1,320","1,239","1,102","1,082","1,089",652,552,390,330,305,275,218,240,220,122,115,126,110,115,106,71,62,27,2,2,0,0,"1,693","1,342",251,139,158,29,2,0,0,All
Lucretia C Clemons,,,6,"1,163","1,156","1,066","1,088",926,935,542,454,189,135,150,181,138,102,99,156,152,104,140,91,83,76,78,33,0,1,0,0,"1,355","1,034",267,159,122,38,1,0,0,All
Jennifer Schultz,,,,2,"1,055","1,182",975,917,908,434,519,265,216,160,217,153,116,95,79,115,129,123,110,66,79,27,21,1,2,2,0,"1,379","1,093",163,127,135,21,2,1,0,All
Henry Mcgregor Sias,,,,,11,923,"1,041","1,058",971,441,279,165,143,193,97,159,153,156,60,39,69,79,33,76,38,39,16,3,0,1,0,"1,268","1,063",243,96,75,17,0,0,0,All
Deborah Canty,,,,,,4,927,862,849,394,449,243,201,175,208,124,114,111,97,126,131,106,110,44,75,48,31,3,2,2,0,"1,254","1,023",171,124,142,29,2,1,0,All
Leon Goodman,,,,,,,3,966,911,415,238,144,104,140,127,139,133,126,125,82,117,109,54,72,44,33,29,1,1,2,0,"1,114","1,008",207,110,109,38,0,1,0,All
John Macoretta,,,,,,,,3,836,258,149,156,139,211,88,120,163,161,45,23,68,47,24,39,34,12,12,4,0,1,0,"1,044","1,010",200,42,69,17,0,0,0,All
Daniel R Sulman,,,,,,,,,0,368,210,81,73,97,80,124,79,72,73,36,74,40,28,65,30,39,22,2,0,1,0,"1,052",927,132,68,69,13,1,0,0,All
Zac Shaffer,,,,,,,,,,33,328,177,183,170,167,224,169,130,148,105,95,96,68,111,71,77,35,0,1,1,0,720,487,192,145,138,31,1,0,0,All
Wendi Barish,,,,,,,,,,,0,235,167,151,168,111,103,94,86,110,117,104,97,51,64,28,12,1,1,1,0,610,315,136,110,128,16,2,1,0,All
Deborah Cianfrani,,,,,,,,,,,,1,286,152,236,141,146,128,43,128,35,39,100,40,19,21,16,1,1,0,0,378,293,83,113,84,23,2,0,0,All
Rania Major,,,,,,,,,,,,,5,154,214,141,138,128,30,82,38,14,73,51,21,33,19,0,1,0,0,364,253,80,101,79,23,0,0,0,All
Lawrence J Bozzelli,,,,,,,,,,,,,,4,77,97,180,154,67,21,104,48,22,49,42,11,19,0,0,0,0,308,269,95,43,90,14,0,0,0,All
Shanese Johnson,,,,,,,,,,,,,,,6,114,76,88,32,121,24,22,90,38,20,43,20,0,2,1,0,306,198,68,109,60,32,1,0,0,All
Mark B Cohen,,,,,,,,,,,,,,,,10,105,92,34,47,43,20,46,44,16,45,23,1,0,0,0,273,201,87,75,50,22,0,0,0,All
Brian Mclaughlin,,,,,,,,,,,,,,,,,3,166,59,24,52,52,32,57,36,20,29,1,0,0,0,238,243,80,34,66,23,0,0,0,All
Vincent Furlong,,,,,,,,,,,,,,,,,,4,56,30,45,28,24,47,19,22,19,0,1,0,0,233,202,77,41,55,17,0,0,0,All
David Conroy,,,,,,,,,,,,,,,,,,,4,42,57,50,23,41,27,24,22,2,1,0,0,145,116,68,40,56,15,0,0,0,All
Crystal B Powell,,,,,,,,,,,,,,,,,,,,0,9,36,86,25,20,43,22,0,0,0,0,147,89,25,102,35,22,2,0,0,All
Leonard Deutchman,,,,,,,,,,,,,,,,,,,,,1,51,10,22,40,4,6,1,0,1,0,157,106,55,25,68,6,0,1,0,All
Mark J Moore,,,,,,,,,,,,,,,,,,,,,,0,37,20,54,15,20,0,0,0,0,124,84,40,38,59,21,0,1,0,All
Terri M Booker,,,,,,,,,,,,,,,,,,,,,,,0,17,20,22,30,1,0,0,0,121,79,21,58,38,21,1,1,0,All
Vincent Melchiorre,,,,,,,,,,,,,,,,,,,,,,,,2,16,20,14,0,1,1,0,110,79,40,50,33,15,0,0,0,All
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,,,,0,10,18,0,0,0,0,89,51,32,9,60,19,0,1,0,All
Danyl S Patterson,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,1,2,0,0,80,25,44,51,16,12,0,0,0,All
Bill Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,33,43,17,11,18,22,0,1,0,All
Dawn M Tancredi,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,3,4,0,0,1,0,0,0,0,All
Christian Dicicco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,1,2,0,0,0,0,0,All
Matthew C Monroe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,0,0,0,0,All
Betsy Wahl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,All
Marissa Brumbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"1,303",214,133,158,22,2,0,0,All
Matt Wolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,84,63,59,23,1,0,0,All
George Twardy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,16,35,3,0,0,0,All
Sherman Toppin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,15,9,0,0,0,All
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,0,0,0,All
Bill Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,All
Betsy Wahl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,All
Christian Dicicco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,All
Crystal B Powell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"2,140","2,044","1,679","1,604","1,573","1,474","1,432","1,316","1,211","1,060",745,558,515,459,456,440,403,362,256,248,238,211,202,195,144,130,79,5,3,2,0,"2,108","1,714",468,304,298,83,3,1,0,All
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,,1
,Vikki Kristiansson,Lucretia C Clemons,Stella Tsai,Deborah Canty,Henry Mcgregor Sias,Leon Goodman,Jennifer Schultz,John Macoretta,Zac Shaffer,Daniel R Sulman,Wendi Barish,Deborah Cianfrani,Lawrence J Bozzelli,Mark B Cohen,Rania Major,Shanese Johnson,Vincent Furlong,Brian Mclaughlin,David Conroy,Mark J Moore,Leonard Deutchman,Terri M Booker,Crystal B Powell,Vincent Melchiorre,Bill Rice,Danyl S Patterson,Jon Marshall,Dawn M Tancredi,Betsy Wahl,Christian Dicicco,Matthew C Monroe,Marissa Brumbach,Matt Wolf,George Twardy,Jon Marshall,Sherman Toppin,Bill Rice,Betsy Wahl,Christian Dicicco,Crystal B Powell,1
Vikki Kristiansson,3,109,104,80,90,82,81,78,58,68,38,27,27,21,21,16,16,16,18,13,14,7,3,4,2,1,2,0,0,0,0,116,86,33,19,7,2,0,0,0,1
Lucretia C Clemons,,0,92,80,83,85,76,72,45,56,34,14,23,9,10,12,10,6,19,17,13,9,9,4,4,4,2,0,0,0,0,102,64,35,17,11,1,0,0,0,1
Stella Tsai,,,1,76,76,69,75,68,46,61,33,24,25,9,17,11,11,15,13,13,9,9,3,3,0,1,1,0,0,0,0,104,78,21,14,5,0,0,0,0,1
Deborah Canty,,,,0,60,58,67,55,36,51,33,22,19,10,14,12,9,7,12,15,10,12,11,5,7,3,4,0,0,0,0,85,62,19,23,7,2,0,0,0,1
Henry Mcgregor Sias,,,,,0,70,59,73,31,49,19,14,20,8,8,6,10,12,8,11,6,2,2,2,2,1,1,0,0,0,0,80,62,22,10,3,2,0,0,0,1
Leon Goodman,,,,,,0,58,64,40,58,22,13,12,11,3,8,5,7,13,13,15,9,6,6,4,3,3,0,0,0,0,78,58,19,17,4,3,0,0,0,1
Jennifer Schultz,,,,,,,0,56,35,52,36,18,20,10,14,10,7,5,6,12,8,10,4,4,2,4,1,0,0,0,0,85,61,18,12,6,1,0,0,0,1
John Macoretta,,,,,,,,0,23,50,12,21,24,9,13,11,17,15,4,10,6,4,0,3,2,1,1,0,0,0,0,67,69,20,5,4,2,0,0,0,1
Zac Shaffer,,,,,,,,,2,33,22,18,16,20,10,12,12,11,16,10,11,9,6,10,5,5,5,0,0,0,0,65,35,20,13,7,3,0,0,0,1
Daniel R Sulman,,,,,,,,,,0,12,12,7,11,4,5,6,2,10,3,9,3,3,3,2,2,1,0,0,0,0,65,59,10,11,3,0,0,0,0,1
Wendi Barish,,,,,,,,,,,0,17,16,7,10,5,2,4,13,10,12,8,5,2,1,0,1,0,0,0,0,40,20,13,13,4,1,0,0,0,1
Deborah Cianfrani,,,,,,,,,,,,0,14,14,25,13,15,10,3,10,4,10,10,4,4,0,3,0,0,0,0,29,27,9,8,9,2,0,0,0,1
