col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,District Attorney - Democrat,,,,,,,All
,Vincent Furlong,Brian Mclaughlin,Vincent Melchiorre,Vikki Kristiansson,Zac Shaffer,Stella Tsai,Mark B Cohen,David Conroy,Deborah Cianfrani,Wendi Barish,Deborah Canty,Jennifer Schultz,Rania Major,Lawrence J Bozzelli,Daniel R Sulman,Leon Goodman,John Macoretta,Lucretia C Clemons,Shanese Johnson,Henry Mcgregor Sias,Crystal B Powell,Terri M Booker,Leonard Deutchman,Bill Rice,Jon Marshall,Mark J Moore,Danyl S Patterson,Christian Dicicco,Dawn M Tancredi,Matthew C Monroe,Betsy Wahl,John O Neill,Rich Negrin,Joe Khan,Michael W Untermeyer,Lawrence S Krasner,Tariq Karim El Shabazz,Teresa Carr Deni,All
Vincent Furlong,6,275,277,250,225,234,215,219,196,144,116,101,123,137,130,127,146,106,95,100,55,42,44,44,31,35,24,0,1,0,0,187,159,106,82,55,19,12,All
Brian Mclaughlin,,5,195,190,132,196,193,139,215,87,121,119,112,165,87,99,141,54,77,102,40,40,53,51,46,34,28,0,0,0,0,120,158,100,80,56,14,14,All
Vincent Melchiorre,,,4,141,313,141,140,291,117,115,77,60,54,84,115,70,66,95,48,26,26,25,46,39,20,18,24,0,1,0,0,223,99,54,61,46,15,13,All
Vikki Kristiansson,,,,2,170,287,141,148,194,189,158,143,149,125,119,92,128,128,120,113,80,53,36,17,13,28,27,0,0,2,0,97,109,103,62,85,14,15,All
Zac Shaffer,,,,,0,141,142,274,82,142,100,79,59,67,130,113,53,103,40,38,55,28,30,28,31,27,36,1,1,1,0,201,61,65,47,69,21,9,All
Stella Tsai,,,,,,0,126,116,211,169,152,146,158,124,111,88,118,123,125,113,64,45,34,21,16,29,27,1,0,1,0,68,119,93,48,83,26,20,All
Mark B Cohen,,,,,,,5,110,161,105,107,111,118,100,88,120,93,67,81,61,64,50,47,41,33,36,32,1,2,1,0,62,82,121,79,64,13,19,All
David Conroy,,,,,,,,0,67,94,73,52,32,55,91,71,56,95,36,22,40,25,40,34,24,25,32,0,1,1,0,202,71,43,46,48,15,6,All
Deborah Cianfrani,,,,,,,,,0,117,136,148,156,135,59,59,115,54,102,83,64,59,31,30,21,22,22,0,1,1,0,71,105,79,63,56,15,23,All
Wendi Barish,,,,,,,,,,0,139,136,76,50,108,86,42,115,65,35,62,42,32,17,23,28,17,1,1,0,0,66,55,77,31,74,12,16,All
Deborah Canty,,,,,,,,,,,0,166,77,57,65,71,48,71,76,30,84,56,36,37,28,26,28,1,0,1,0,56,53,64,31,64,16,18,All
Jennifer Schultz,,,,,,,,,,,,0,83,58,76,64,49,71,67,36,71,56,44,29,25,28,14,0,0,0,0,39,58,69,41,57,12,13,All
Rania Major,,,,,,,,,,,,,0,89,48,48,76,47,99,75,49,31,19,16,11,14,19,0,0,1,0,31,58,58,38,56,15,10,All
Lawrence J Bozzelli,,,,,,,,,,,,,,0,40,61,125,30,46,88,15,17,37,21,23,19,13,0,0,0,0,42,71,50,45,33,7,4,All
Daniel R Sulman,,,,,,,,,,,,,,,0,76,40,65,19,37,20,13,33,18,17,13,13,0,0,1,0,77,29,59,24,34,12,6,All
Leon Goodman,,,,,,,,,,,,,,,,0,58,53,42,46,40,26,41,23,26,38,26,0,1,2,0,41,48,50,25,56,18,5,All
John Macoretta,,,,,,,,,,,,,,,,,0,19,45,95,9,16,33,19,20,15,9,0,0,1,0,43,61,42,45,25,10,2,All
Lucretia C Clemons,,,,,,,,,,,,,,,,,,1,57,25,52,33,17,13,17,33,21,1,0,0,0,47,36,43,11,62,11,10,All
Shanese Johnson,,,,,,,,,,,,,,,,,,,0,41,63,44,7,18,9,12,23,1,0,0,0,20,48,39,26,46,22,10,All
Henry Mcgregor Sias,,,,,,,,,,,,,,,,,,,,0,9,9,24,13,11,15,7,0,0,1,0,24,49,38,28,26,9,1,All
Crystal B Powell,,,,,,,,,,,,,,,,,,,,,0,50,11,20,15,15,31,1,0,1,0,18,22,30,13,45,12,12,All
Terri M Booker,,,,,,,,,,,,,,,,,,,,,,0,7,27,19,12,16,0,0,0,0,20,16,29,10,27,10,7,All
Leonard Deutchman,,,,,,,,,,,,,,,,,,,,,,,1,14,17,12,10,0,0,0,0,20,25,16,17,19,4,2,All
