col_1,col_2,division
,Justice Of The Supreme Court - Republican,All
,Sallie Mundy,All
Sallie Mundy,13,All
Total,13,All
,Justice Of The Supreme Court - Republican,1
,Sallie Mundy,1
Sallie Mundy,1,1
Total,1,1
,Justice Of The Supreme Court - Republican,4
,Sallie Mundy,4
Sallie Mundy,4,4
Total,4,4
,Justice Of The Supreme Court - Republican,6
,Sallie Mundy,6
Sallie Mundy,1,6
Total,1,6
,Justice Of The Supreme Court - Republican,8
,Sallie Mundy,8
Sallie Mundy,1,8
Total,1,8
,Justice Of The Supreme Court - Republican,10
,Sallie Mundy,10
Sallie Mundy,4,10
Total,4,10
,Justice Of The Supreme Court - Republican,15
,Sallie Mundy,15
Sallie Mundy,2,15
Total,2,15
