col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,division
,Judge Of The Superior Court - Democrat,,,,,District Attorney - Democrat,,,,,,,All
,Maria Mclaughlin,Carolyn H Nichols,Geoff Moulton,Debbie Kunselman,Bill Caye,Lawrence S Krasner,Joe Khan,John O Neill,Rich Negrin,Michael W Untermeyer,Tariq Karim El Shabazz,Teresa Carr Deni,All
Maria Mclaughlin,24,"1,606","1,245","1,156",314,"1,148",350,249,219,83,28,21,All
Carolyn H Nichols,,11,"1,213","1,128",312,"1,133",295,95,194,68,27,25,All
Geoff Moulton,,,2,987,215,858,221,57,122,49,15,18,All
Debbie Kunselman,,,,3,187,836,196,54,102,33,16,19,All
Bill Caye,,,,,1,202,64,21,39,18,12,5,All
Lawrence S Krasner,,,,,,207,0,0,0,0,0,0,All
Joe Khan,,,,,,,67,0,0,0,0,0,All
John O Neill,,,,,,,,101,0,0,0,0,All
Rich Negrin,,,,,,,,,52,0,0,0,All
Michael W Untermeyer,,,,,,,,,,19,0,0,All
Tariq Karim El Shabazz,,,,,,,,,,,5,0,All
Teresa Carr Deni,,,,,,,,,,,,4,All
Total,"2,136","1,862","1,352","1,268",365,"1,558",452,369,317,129,39,34,All
,Judge Of The Superior Court - Democrat,,,,,District Attorney - Democrat,,,,,,,1
,Maria Mclaughlin,Carolyn H Nichols,Geoff Moulton,Debbie Kunselman,Bill Caye,Lawrence S Krasner,Joe Khan,John O Neill,Rich Negrin,Michael W Untermeyer,Tariq Karim El Shabazz,Teresa Carr Deni,1
Maria Mclaughlin,1,64,46,43,10,52,20,8,7,0,1,0,1
Carolyn H Nichols,,0,46,43,11,50,11,2,11,1,1,0,1
Geoff Moulton,,,0,36,6,36,9,0,3,1,0,0,1
Debbie Kunselman,,,,0,6,36,9,1,1,1,0,0,1
Bill Caye,,,,,0,6,3,1,0,1,0,0,1
Lawrence S Krasner,,,,,,12,0,0,0,0,0,0,1
Joe Khan,,,,,,,3,0,0,0,0,0,1
John O Neill,,,,,,,,8,0,0,0,0,1
Rich Negrin,,,,,,,,,4,0,0,0,1
Michael W Untermeyer,,,,,,,,,,1,0,0,1
Tariq Karim El Shabazz,,,,,,,,,,,0,0,1
Teresa Carr Deni,,,,,,,,,,,,0,1
Total,89,76,49,48,11,73,24,17,15,2,1,0,1
,Judge Of The Superior Court - Democrat,,,,,District Attorney - Democrat,,,,,,,2
,Maria Mclaughlin,Carolyn H Nichols,Geoff Moulton,Debbie Kunselman,Bill Caye,Lawrence S Krasner,Joe Khan,John O Neill,Rich Negrin,Michael W Untermeyer,Tariq Karim El Shabazz,Teresa Carr Deni,2
