col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,division
,Justice Of The Supreme Court - Democrat,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Dwayne Woodruff,Vikki Kristiansson,Stella Tsai,Deborah Cianfrani,Deborah Canty,Shanese Johnson,Lucretia C Clemons,Zac Shaffer,Jennifer Schultz,Vincent Furlong,Leon Goodman,Rania Major,Wendi Barish,Crystal B Powell,Henry Mcgregor Sias,Mark B Cohen,John Macoretta,Daniel R Sulman,Brian Mclaughlin,Lawrence J Bozzelli,David Conroy,Danyl S Patterson,Terri M Booker,Leonard Deutchman,Vincent Melchiorre,Mark J Moore,Jon Marshall,Bill Rice,Dawn M Tancredi,Matthew C Monroe,Betsy Wahl,Christian Dicicco,All
Dwayne Woodruff,105,521,543,381,340,335,331,289,308,296,250,276,280,253,275,238,214,206,210,189,147,121,121,103,109,106,69,59,3,3,1,0,All
Vikki Kristiansson,,4,388,263,235,204,223,211,202,197,165,180,195,137,203,143,179,136,124,139,128,87,44,87,69,43,28,14,1,0,1,0,All
Stella Tsai,,,7,265,211,198,222,170,226,205,114,185,201,116,207,96,146,152,128,137,82,46,61,63,75,56,37,18,2,1,1,0,All
Deborah Cianfrani,,,,1,129,196,95,103,117,175,81,177,100,126,123,100,108,71,112,111,54,45,51,21,64,35,22,20,2,1,0,0,All
Deborah Canty,,,,,9,127,167,128,189,84,137,107,177,110,83,119,88,76,61,60,90,71,65,89,34,55,41,28,1,3,0,1,All
Shanese Johnson,,,,,,4,111,89,110,129,84,145,90,138,61,90,57,72,65,51,47,55,58,19,53,32,24,31,2,1,1,0,All
Lucretia C Clemons,,,,,,,4,137,187,48,116,75,192,123,118,66,47,101,41,45,68,46,69,47,34,72,39,28,0,0,1,0,All
Zac Shaffer,,,,,,,,3,91,108,133,34,93,106,88,103,78,123,35,32,117,81,15,65,74,29,21,14,1,2,0,0,All
Jennifer Schultz,,,,,,,,,1,52,81,101,212,97,113,67,45,86,43,46,33,31,67,58,40,59,35,19,0,1,0,0,All
Vincent Furlong,,,,,,,,,,3,68,122,44,90,121,81,124,71,121,118,55,37,27,26,55,22,16,19,1,0,1,0,All
Leon Goodman,,,,,,,,,,,7,44,71,79,57,116,81,60,48,47,95,68,47,77,36,65,23,27,1,1,0,0,All
Rania Major,,,,,,,,,,,,5,86,85,109,83,106,33,108,104,10,24,51,20,23,14,21,19,2,0,0,1,All
