col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,division
,Judge Of The Superior Court - Democrat,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Maria Mclaughlin,Carolyn H Nichols,Geoff Moulton,Debbie Kunselman,Bill Caye,Stella Tsai,Vikki Kristiansson,Deborah Cianfrani,Vincent Furlong,Jennifer Schultz,Brian Mclaughlin,Deborah Canty,Lawrence J Bozzelli,Henry Mcgregor Sias,Wendi Barish,Mark B Cohen,John Macoretta,Rania Major,Shanese Johnson,Zac Shaffer,Lucretia C Clemons,Vincent Melchiorre,Daniel R Sulman,Leon Goodman,David Conroy,Crystal B Powell,Mark J Moore,Leonard Deutchman,Terri M Booker,Danyl S Patterson,Jon Marshall,Bill Rice,Dawn M Tancredi,Betsy Wahl,Christian Dicicco,Matthew C Monroe,All
Maria Mclaughlin,9,427,324,246,112,267,266,225,195,190,164,166,151,138,142,129,134,133,129,124,120,107,108,98,98,68,56,47,46,47,38,27,0,0,0,0,All
Carolyn H Nichols,,14,320,244,113,276,255,219,174,188,149,160,147,139,147,133,135,132,134,121,117,103,105,90,85,72,60,50,47,44,36,22,0,0,0,0,All
Geoff Moulton,,,4,206,86,212,207,166,143,149,117,129,125,117,106,101,115,103,106,102,98,84,94,70,76,50,48,41,35,37,29,17,0,0,0,0,All
Debbie Kunselman,,,,3,47,185,154,129,90,141,70,122,81,78,119,54,58,68,88,85,90,68,75,66,50,51,41,43,32,34,28,14,1,0,0,0,All
Bill Caye,,,,,3,58,63,58,54,57,45,48,48,38,40,47,54,46,32,39,20,41,35,29,34,26,20,19,17,15,13,16,1,0,0,0,All
Stella Tsai,,,,,,2,208,159,116,132,74,117,90,101,107,59,80,102,97,83,88,56,80,52,51,43,25,27,27,27,18,6,0,0,0,0,All
Vikki Kristiansson,,,,,,,2,158,123,121,91,114,106,98,98,64,91,112,89,74,82,53,73,51,58,43,26,35,28,19,16,8,0,0,0,0,All
Deborah Cianfrani,,,,,,,,1,117,88,91,68,89,73,69,65,89,99,94,59,38,72,49,35,42,40,19,16,32,22,8,7,0,0,0,0,All
Vincent Furlong,,,,,,,,,7,52,85,45,87,67,30,60,78,65,60,58,19,63,53,28,48,14,13,15,6,16,8,11,0,0,0,0,All
Jennifer Schultz,,,,,,,,,,1,57,125,55,59,115,54,39,62,57,55,82,37,58,51,38,51,36,28,34,15,18,12,0,0,0,0,All
Brian Mclaughlin,,,,,,,,,,,0,42,95,63,32,57,91,63,35,26,23,38,29,28,30,9,22,19,8,10,19,10,0,0,0,0,All
Deborah Canty,,,,,,,,,,,,0,54,39,100,46,34,54,46,44,62,27,42,46,37,36,26,34,25,19,17,6,1,0,0,0,All
Lawrence J Bozzelli,,,,,,,,,,,,,1,76,41,54,95,72,32,30,28,33,26,47,28,8,16,28,8,9,17,6,0,0,0,0,All
Henry Mcgregor Sias,,,,,,,,,,,,,,5,53,40,75,67,29,38,49,18,27,26,8,13,24,14,8,9,11,6,0,0,0,0,All
Wendi Barish,,,,,,,,,,,,,,,0,29,29,42,46,41,70,15,36,45,27,31,21,29,25,12,14,5,1,0,0,0,All
Mark B Cohen,,,,,,,,,,,,,,,,4,59,45,38,37,19,36,30,35,24,16,16,13,14,16,9,14,0,0,0,0,All
John Macoretta,,,,,,,,,,,,,,,,,0,63,37,20,20,31,21,32,14,7,20,15,8,12,8,7,0,0,0,0,All
Rania Major,,,,,,,,,,,,,,,,,,2,53,27,18,20,27,20,14,26,6,15,13,6,9,6,0,0,0,0,All
Shanese Johnson,,,,,,,,,,,,,,,,,,,1,43,35,41,41,18,24,31,10,7,21,19,7,5,0,0,0,0,All
Zac Shaffer,,,,,,,,,,,,,,,,,,,,0,45,62,61,37,48,21,19,13,9,26,7,8,1,0,0,0,All
Lucretia C Clemons,,,,,,,,,,,,,,,,,,,,,1,24,33,45,26,30,32,17,25,20,10,9,0,0,0,0,All
Vincent Melchiorre,,,,,,,,,,,,,,,,,,,,,,1,42,17,48,18,20,16,10,24,9,12,0,0,0,0,All
Daniel R Sulman,,,,,,,,,,,,,,,,,,,,,,,1,25,42,16,7,16,9,21,15,9,0,0,0,0,All
Leon Goodman,,,,,,,,,,,,,,,,,,,,,,,,0,24,15,23,28,20,16,16,10,1,0,0,0,All
David Conroy,,,,,,,,,,,,,,,,,,,,,,,,,4,20,15,20,7,19,14,12,0,0,0,0,All
Crystal B Powell,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,4,26,15,9,10,0,0,0,0,All
Mark J Moore,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,18,11,13,7,0,0,0,0,All
Leonard Deutchman,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,7,16,8,1,0,0,0,All
Terri M Booker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,7,5,0,0,0,0,All
Danyl S Patterson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,6,0,0,0,0,All
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,0,0,0,0,All
Bill Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,All
Dawn M Tancredi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,All
Betsy Wahl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,All
