col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,division
,Judge Of The Municipal Court - Democrat,,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Marissa Brumbach,Matt Wolf,George Twardy,Sherman Toppin,Jon Marshall,Bill Rice,Christian Dicicco,Crystal B Powell,Betsy Wahl,Vikki Kristiansson,Stella Tsai,Jennifer Schultz,Lucretia C Clemons,Deborah Canty,Wendi Barish,Daniel R Sulman,Zac Shaffer,Deborah Cianfrani,Brian Mclaughlin,David Conroy,Mark B Cohen,Henry Mcgregor Sias,Vincent Furlong,Rania Major,Shanese Johnson,John Macoretta,Vincent Melchiorre,Lawrence J Bozzelli,Mark J Moore,Leon Goodman,Crystal B Powell,Leonard Deutchman,Terri M Booker,Jon Marshall,Danyl S Patterson,Bill Rice,Dawn M Tancredi,Matthew C Monroe,Betsy Wahl,Christian Dicicco,All
Marissa Brumbach,33,874,562,305,314,80,0,1,0,"1,772","1,695","1,420","1,346","1,099","1,140",896,864,838,677,620,606,808,618,747,675,556,526,557,485,501,457,301,304,167,161,88,3,1,0,0,All
Matt Wolf,,32,157,90,117,33,0,0,0,797,779,753,497,492,493,375,318,488,534,317,454,492,438,411,343,455,229,413,312,314,154,220,132,103,55,82,2,0,1,0,All
George Twardy,,,13,68,53,22,0,0,0,550,554,348,572,272,296,509,516,242,300,503,252,256,302,167,200,211,340,207,169,171,164,116,76,78,115,44,2,2,0,0,All
Sherman Toppin,,,,7,37,24,0,0,0,289,276,351,294,262,202,156,165,194,125,114,239,110,135,202,205,120,132,86,163,179,187,68,135,44,101,42,3,0,0,0,All
Jon Marshall,,,,,6,21,1,0,0,266,271,320,212,302,246,150,152,175,215,148,174,134,174,137,117,142,106,154,142,163,108,118,88,117,40,50,2,1,0,0,All
Bill Rice,,,,,,2,0,0,0,68,81,92,76,74,57,39,44,74,66,56,60,31,63,53,62,38,55,37,56,38,59,22,61,28,35,68,0,0,0,0,All
Christian Dicicco,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,All
Crystal B Powell,,,,,,,,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,All
Betsy Wahl,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All
Vikki Kristiansson,,,,,,,,,,20,"1,556","1,126","1,080",893,957,711,685,709,547,506,465,766,555,655,523,507,378,467,344,398,360,249,198,105,130,50,3,0,0,0,All
Stella Tsai,,,,,,,,,,,15,"1,089","1,048",937,"1,000",746,656,764,518,466,443,713,485,630,515,499,355,491,307,392,376,231,232,122,120,58,1,1,0,0,All
Jennifer Schultz,,,,,,,,,,,,39,877,943,983,507,468,662,454,371,506,488,364,551,504,358,264,316,505,326,391,240,272,141,78,90,6,2,0,0,All
Lucretia C Clemons,,,,,,,,,,,,,5,685,761,777,775,341,267,641,270,495,261,331,436,219,417,248,427,362,379,199,224,131,169,71,2,0,0,0,All
Deborah Canty,,,,,,,,,,,,,,8,851,353,366,544,315,259,332,303,275,412,416,227,164,291,251,355,369,204,244,143,89,60,3,2,0,0,All
Wendi Barish,,,,,,,,,,,,,,,9,418,431,511,256,283,236,411,213,352,337,225,203,256,229,325,293,201,192,100,61,37,3,1,0,0,All
Daniel R Sulman,,,,,,,,,,,,,,,,6,829,180,290,527,288,387,256,168,143,220,422,206,178,262,140,158,61,76,104,41,2,1,0,0,All
Zac Shaffer,,,,,,,,,,,,,,,,,5,156,241,550,289,340,217,158,138,175,412,175,171,285,153,136,58,81,128,44,2,1,0,0,All
Deborah Cianfrani,,,,,,,,,,,,,,,,,,7,413,158,373,255,342,544,430,336,189,323,152,141,295,78,214,46,42,53,3,0,0,0,All
Brian Mclaughlin,,,,,,,,,,,,,,,,,,,19,368,413,335,524,280,208,415,298,383,199,219,84,159,90,112,60,84,1,1,0,0,All
David Conroy,,,,,,,,,,,,,,,,,,,,15,236,170,328,101,120,172,428,198,194,191,143,174,81,103,125,67,1,0,0,0,All
Mark B Cohen,,,,,,,,,,,,,,,,,,,,,25,235,342,313,242,283,247,242,175,225,165,109,135,67,88,80,1,0,0,0,All
Henry Mcgregor Sias,,,,,,,,,,,,,,,,,,,,,,5,305,297,218,352,141,314,196,236,60,131,61,47,47,38,0,0,0,0,All
Vincent Furlong,,,,,,,,,,,,,,,,,,,,,,,5,280,235,362,309,331,147,191,93,136,74,66,47,73,1,1,0,0,All
Rania Major,,,,,,,,,,,,,,,,,,,,,,,,2,470,241,113,255,152,132,228,65,139,36,58,44,4,0,0,0,All
Shanese Johnson,,,,,,,,,,,,,,,,,,,,,,,,,12,150,115,138,186,152,284,50,189,40,81,50,2,0,0,0,All
John Macoretta,,,,,,,,,,,,,,,,,,,,,,,,,,17,147,373,171,177,58,150,58,71,30,62,1,1,0,0,All
Vincent Melchiorre,,,,,,,,,,,,,,,,,,,,,,,,,,,11,134,128,115,110,86,63,48,98,54,2,1,0,0,All
