col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,division
,Judge Of The Commonwealth Court - Democrat,,,,,,District Attorney - Democrat,,,,,,,All
,Ellen Ceisler,Timothy Barry,Joe Cosgrove,Todd Eagen,Irene M Clark,Bryan Barbin,Lawrence S Krasner,Joe Khan,Rich Negrin,Tariq Karim El Shabazz,Michael W Untermeyer,John O Neill,Teresa Carr Deni,All
Ellen Ceisler,7,115,119,176,89,7,383,103,60,95,71,19,22,All
Timothy Barry,,12,126,15,11,3,106,67,105,46,50,5,9,All
Joe Cosgrove,,,8,19,4,6,111,62,83,23,57,15,5,All
Todd Eagen,,,,2,7,1,111,27,16,22,48,5,2,All
Irene M Clark,,,,,0,3,63,22,7,17,6,2,12,All
Bryan Barbin,,,,,,0,8,3,2,5,3,2,0,All
Lawrence S Krasner,,,,,,,172,0,0,0,0,0,0,All
Joe Khan,,,,,,,,67,0,0,0,0,0,All
Rich Negrin,,,,,,,,,43,0,0,0,0,All
Tariq Karim El Shabazz,,,,,,,,,,63,0,0,0,All
Michael W Untermeyer,,,,,,,,,,,54,0,0,All
John O Neill,,,,,,,,,,,,15,0,All
Teresa Carr Deni,,,,,,,,,,,,,4,All
Total,766,406,372,237,131,23,649,251,216,207,203,50,34,All
,Judge Of The Commonwealth Court - Democrat,,,,,,District Attorney - Democrat,,,,,,,1
,Ellen Ceisler,Timothy Barry,Joe Cosgrove,Todd Eagen,Irene M Clark,Bryan Barbin,Lawrence S Krasner,Joe Khan,Michael W Untermeyer,Tariq Karim El Shabazz,Rich Negrin,John O Neill,Teresa Carr Deni,1
Ellen Ceisler,0,11,8,9,7,1,24,9,2,6,2,1,1,1
Timothy Barry,,1,4,0,0,1,9,4,2,1,4,0,0,1
Joe Cosgrove,,,0,0,0,0,5,3,3,1,3,0,0,1
Todd Eagen,,,,0,0,0,5,1,1,2,0,0,0,1
