col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,District Attorney - Democrat,,,,,,,All
,Vikki Kristiansson,Stella Tsai,Shanese Johnson,Deborah Cianfrani,Vincent Furlong,Lucretia C Clemons,Zac Shaffer,Daniel R Sulman,Rania Major,David Conroy,Vincent Melchiorre,Deborah Canty,Danyl S Patterson,Wendi Barish,Crystal B Powell,Jennifer Schultz,Henry Mcgregor Sias,Leon Goodman,John Macoretta,Mark B Cohen,Lawrence J Bozzelli,Brian Mclaughlin,Terri M Booker,Mark J Moore,Leonard Deutchman,Jon Marshall,Bill Rice,Matthew C Monroe,Dawn M Tancredi,Christian Dicicco,Betsy Wahl,Lawrence S Krasner,Rich Negrin,Tariq Karim El Shabazz,Joe Khan,Michael W Untermeyer,Teresa Carr Deni,John O Neill,All
Vikki Kristiansson,2,396,255,286,352,206,197,172,181,136,123,148,110,159,112,141,163,106,140,82,131,113,51,50,28,25,11,1,2,0,0,240,196,54,85,38,8,11,All
Stella Tsai,,4,336,382,210,243,229,261,174,187,187,147,147,156,109,148,169,100,145,68,132,118,57,47,29,23,14,1,1,0,0,241,209,56,64,30,9,9,All
Shanese Johnson,,,1,331,155,190,203,206,138,177,174,111,160,92,146,98,56,64,66,79,47,51,60,35,17,25,21,1,0,1,0,175,163,63,47,24,9,8,All
Deborah Cianfrani,,,,3,181,167,179,188,177,164,172,99,130,93,112,97,110,50,108,62,104,97,59,23,15,14,10,2,1,0,0,149,186,53,50,20,7,5,All
Vincent Furlong,,,,,1,57,95,97,120,90,90,46,55,28,49,38,108,56,118,53,108,105,24,16,18,18,13,1,0,1,0,104,137,43,58,31,1,4,All
Lucretia C Clemons,,,,,,0,182,147,85,133,123,124,150,145,152,118,75,90,36,63,31,34,60,61,18,23,20,1,1,1,0,203,81,34,32,21,6,5,All
Zac Shaffer,,,,,,,0,232,38,202,206,51,172,81,74,54,45,69,26,48,25,22,13,33,24,17,6,3,1,0,0,127,127,36,27,17,3,4,All
Daniel R Sulman,,,,,,,,0,31,182,193,61,144,65,56,53,51,64,34,31,34,30,16,15,21,15,8,2,0,0,0,112,131,33,29,9,1,5,All
