col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Judge Of The Commonwealth Court - Democrat,,,,,,All
,Stella Tsai,Vikki Kristiansson,Deborah Cianfrani,Vincent Furlong,Lucretia C Clemons,Zac Shaffer,Daniel R Sulman,David Conroy,Shanese Johnson,Vincent Melchiorre,Mark B Cohen,Leon Goodman,Deborah Canty,Rania Major,Crystal B Powell,John Macoretta,Brian Mclaughlin,Jennifer Schultz,Danyl S Patterson,Lawrence J Bozzelli,Henry Mcgregor Sias,Wendi Barish,Terri M Booker,Mark J Moore,Leonard Deutchman,Jon Marshall,Bill Rice,Matthew C Monroe,Dawn M Tancredi,Christian Dicicco,Betsy Wahl,Joe Cosgrove,Ellen Ceisler,Timothy Barry,Todd Eagen,Irene M Clark,Bryan Barbin,All
Stella Tsai,30,"1,352","1,357","1,161",828,761,841,739,397,688,291,236,303,399,179,268,244,202,87,234,238,179,135,87,74,54,45,3,3,2,1,"1,298","1,085",383,65,105,13,All
Vikki Kristiansson,,10,"1,348","1,167",819,889,810,865,381,699,345,336,346,392,197,340,244,180,170,243,231,142,93,81,111,44,30,2,1,3,1,"1,296","1,093",316,109,95,14,All
Deborah Cianfrani,,,8,"1,179",850,770,816,756,406,707,294,223,276,385,192,249,237,207,75,230,246,175,122,94,71,49,36,3,1,3,2,"1,269","1,078",334,51,102,16,All
Vincent Furlong,,,,6,759,766,756,726,287,706,262,210,208,324,128,237,216,120,91,202,218,84,75,69,40,46,40,2,2,0,1,"1,180",971,296,69,48,7,All
Lucretia C Clemons,,,,,9,735,684,756,309,674,186,266,232,170,267,49,68,141,121,38,53,144,143,139,39,63,49,2,1,1,1,854,995,104,48,105,7,All
Zac Shaffer,,,,,,1,716,786,153,723,186,269,225,105,130,98,71,71,142,44,36,70,57,55,91,35,18,1,1,2,1,828,856,84,106,41,5,All
Daniel R Sulman,,,,,,,5,676,166,652,148,150,179,117,92,78,69,115,48,52,45,93,67,59,53,39,31,2,1,1,1,825,910,100,62,54,11,All
David Conroy,,,,,,,,2,159,619,183,265,209,80,178,93,65,57,181,22,20,43,50,54,72,31,23,0,1,2,1,802,811,82,113,40,6,All
Shanese Johnson,,,,,,,,,31,98,300,278,337,384,308,157,158,209,159,150,121,173,185,106,53,66,56,3,3,2,0,390,524,279,87,138,12,All
Vincent Melchiorre,,,,,,,,,,2,95,109,107,68,59,42,46,59,40,30,24,61,37,41,43,32,22,0,2,1,1,710,734,61,40,28,8,All
Mark B Cohen,,,,,,,,,,,26,272,324,244,199,180,154,143,161,117,86,102,114,85,99,41,52,2,1,0,0,306,414,216,83,83,12,All
Leon Goodman,,,,,,,,,,,,20,307,192,250,146,129,141,218,69,102,138,128,124,120,74,50,2,2,1,0,307,433,171,138,74,14,All
Deborah Canty,,,,,,,,,,,,,16,252,263,133,108,216,194,80,75,163,148,100,125,60,37,3,4,0,0,255,493,151,145,122,13,All
Rania Major,,,,,,,,,,,,,,10,192,246,265,168,91,258,223,125,115,73,56,60,40,3,0,1,1,332,366,311,81,90,8,All
Crystal B Powell,,,,,,,,,,,,,,,7,42,83,128,189,26,36,127,172,104,31,68,54,0,0,1,1,174,362,112,119,106,14,All
John Macoretta,,,,,,,,,,,,,,,,10,195,62,83,206,203,50,31,34,79,25,16,2,1,1,0,245,188,225,41,31,7,All
Brian Mclaughlin,,,,,,,,,,,,,,,,,3,65,52,213,186,60,42,41,41,33,14,1,0,0,0,241,193,226,45,33,9,All
Jennifer Schultz,,,,,,,,,,,,,,,,,,4,40,56,79,165,109,61,55,40,30,1,4,0,1,157,298,104,51,75,11,All
Danyl S Patterson,,,,,,,,,,,,,,,,,,,6,19,17,35,65,49,69,40,24,0,0,0,0,113,194,69,102,40,9,All
Lawrence J Bozzelli,,,,,,,,,,,,,,,,,,,,2,204,54,25,30,35,26,10,1,1,0,0,212,150,198,24,26,11,All
Henry Mcgregor Sias,,,,,,,,,,,,,,,,,,,,,3,61,37,37,37,19,11,0,3,0,0,202,148,194,23,23,4,All
Wendi Barish,,,,,,,,,,,,,,,,,,,,,,0,103,77,45,34,29,0,1,0,0,118,263,91,44,73,15,All
