col_1,col_2,division
,Justice Of The Supreme Court - Democrat,All
,Dwayne Woodruff,All
Dwayne Woodruff,"1,181",All
Total,"1,181",All
,Justice Of The Supreme Court - Democrat,1
,Dwayne Woodruff,1
Dwayne Woodruff,44,1
Total,44,1
,Justice Of The Supreme Court - Democrat,2
,Dwayne Woodruff,2
Dwayne Woodruff,50,2
Total,50,2
,Justice Of The Supreme Court - Democrat,3
,Dwayne Woodruff,3
Dwayne Woodruff,39,3
Total,39,3
,Justice Of The Supreme Court - Democrat,4
,Dwayne Woodruff,4
Dwayne Woodruff,48,4
Total,48,4
,Justice Of The Supreme Court - Democrat,5
,Dwayne Woodruff,5
Dwayne Woodruff,32,5
Total,32,5
,Justice Of The Supreme Court - Democrat,6
,Dwayne Woodruff,6
Dwayne Woodruff,73,6
Total,73,6
,Justice Of The Supreme Court - Democrat,7
,Dwayne Woodruff,7
Dwayne Woodruff,33,7
Total,33,7
,Justice Of The Supreme Court - Democrat,8
,Dwayne Woodruff,8
Dwayne Woodruff,52,8
Total,52,8
,Justice Of The Supreme Court - Democrat,9
,Dwayne Woodruff,9
Dwayne Woodruff,37,9
Total,37,9
,Justice Of The Supreme Court - Democrat,10
,Dwayne Woodruff,10
Dwayne Woodruff,45,10
Total,45,10
,Justice Of The Supreme Court - Democrat,11
,Dwayne Woodruff,11
Dwayne Woodruff,44,11
Total,44,11
,Justice Of The Supreme Court - Democrat,12
,Dwayne Woodruff,12
Dwayne Woodruff,44,12
Total,44,12
,Justice Of The Supreme Court - Democrat,13
,Dwayne Woodruff,13
Dwayne Woodruff,31,13
Total,31,13
,Justice Of The Supreme Court - Democrat,14
,Dwayne Woodruff,14
Dwayne Woodruff,38,14
Total,38,14
,Justice Of The Supreme Court - Democrat,15
,Dwayne Woodruff,15
Dwayne Woodruff,47,15
Total,47,15
,Justice Of The Supreme Court - Democrat,16
,Dwayne Woodruff,16
Dwayne Woodruff,39,16
Total,39,16
,Justice Of The Supreme Court - Democrat,17
,Dwayne Woodruff,17
Dwayne Woodruff,60,17
Total,60,17
,Justice Of The Supreme Court - Democrat,18
,Dwayne Woodruff,18
Dwayne Woodruff,57,18
Total,57,18
,Justice Of The Supreme Court - Democrat,19
,Dwayne Woodruff,19
Dwayne Woodruff,34,19
Total,34,19
,Justice Of The Supreme Court - Democrat,20
,Dwayne Woodruff,20
Dwayne Woodruff,22,20
Total,22,20
,Justice Of The Supreme Court - Democrat,21
,Dwayne Woodruff,21
Dwayne Woodruff,48,21
Total,48,21
,Justice Of The Supreme Court - Democrat,22
,Dwayne Woodruff,22
Dwayne Woodruff,44,22
Total,44,22
,Justice Of The Supreme Court - Democrat,23
,Dwayne Woodruff,23
Dwayne Woodruff,50,23
Total,50,23
,Justice Of The Supreme Court - Democrat,24
,Dwayne Woodruff,24
Dwayne Woodruff,15,24
Total,15,24
,Justice Of The Supreme Court - Democrat,25
,Dwayne Woodruff,25
Dwayne Woodruff,40,25
Total,40,25
,Justice Of The Supreme Court - Democrat,26
,Dwayne Woodruff,26
Dwayne Woodruff,35,26
Total,35,26
,Justice Of The Supreme Court - Democrat,27
,Dwayne Woodruff,27
Dwayne Woodruff,39,27
Total,39,27
,Justice Of The Supreme Court - Democrat,28
,Dwayne Woodruff,28
Dwayne Woodruff,41,28
Total,41,28
