col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,District Attorney - Democrat,,,,,,,All
,Vikki Kristiansson,Mark B Cohen,Lucretia C Clemons,Crystal B Powell,Vincent Furlong,Shanese Johnson,Deborah Canty,John Macoretta,Zac Shaffer,Leon Goodman,Stella Tsai,Deborah Cianfrani,David Conroy,Vincent Melchiorre,Rania Major,Danyl S Patterson,Jennifer Schultz,Terri M Booker,Brian Mclaughlin,Wendi Barish,Lawrence J Bozzelli,Daniel R Sulman,Mark J Moore,Henry Mcgregor Sias,Leonard Deutchman,Jon Marshall,Bill Rice,Dawn M Tancredi,Christian Dicicco,Matthew C Monroe,Betsy Wahl,Lawrence S Krasner,Rich Negrin,Joe Khan,Tariq Karim El Shabazz,Michael W Untermeyer,John O Neill,Teresa Carr Deni,All
Vikki Kristiansson,6,794,731,670,815,425,479,863,750,417,488,440,637,484,389,258,248,136,219,200,225,122,70,206,125,57,39,3,3,2,0,488,378,259,233,115,31,18,All
Mark B Cohen,,8,572,594,648,441,493,627,551,432,291,295,474,461,288,286,197,215,165,131,142,128,124,98,122,78,97,3,4,2,2,478,325,219,222,109,16,13,All
Lucretia C Clemons,,,3,789,543,443,411,460,572,371,314,295,558,474,237,255,244,236,97,228,71,107,177,89,39,78,77,3,3,3,3,520,265,155,182,77,26,19,All
Crystal B Powell,,,,2,500,526,451,447,558,424,216,303,546,474,207,351,200,286,69,170,65,105,185,54,16,67,69,4,3,3,3,519,230,134,178,70,29,23,All
Vincent Furlong,,,,,3,285,261,705,522,218,314,280,469,457,303,144,107,107,211,72,178,93,62,167,48,61,74,0,2,0,1,327,341,195,145,88,11,7,All
Shanese Johnson,,,,,,0,481,211,230,437,334,418,174,194,378,307,211,272,147,170,149,145,171,102,38,79,88,4,1,2,2,486,93,188,211,81,25,19,All
Deborah Canty,,,,,,,4,206,299,469,315,286,255,171,290,337,287,246,119,244,99,147,159,82,132,81,76,4,5,1,0,483,98,150,205,74,13,23,All
John Macoretta,,,,,,,,3,556,208,287,237,467,437,223,145,76,54,169,51,231,100,37,163,108,35,37,0,1,1,1,280,337,163,167,74,6,4,All
Zac Shaffer,,,,,,,,,0,356,177,177,584,506,147,217,115,53,79,91,85,149,52,52,118,45,32,1,1,1,0,345,238,125,161,68,30,6,All
Leon Goodman,,,,,,,,,,2,187,257,287,176,184,312,186,222,110,177,84,120,197,95,136,71,67,1,0,5,2,415,80,123,190,64,33,6,All
Stella Tsai,,,,,,,,,,,6,370,106,119,381,89,245,120,200,219,221,132,83,207,53,56,38,5,1,0,1,304,165,174,122,61,5,18,All
Deborah Cianfrani,,,,,,,,,,,,0,125,135,345,113,230,163,204,184,235,106,100,209,37,47,49,4,3,3,1,312,108,144,128,72,31,18,All
David Conroy,,,,,,,,,,,,,1,397,90,213,58,51,53,39,33,47,42,19,73,37,37,0,2,1,0,243,220,94,139,52,30,5,All
Vincent Melchiorre,,,,,,,,,,,,,,0,121,157,63,96,58,65,63,103,78,21,35,33,28,2,1,0,0,254,225,84,86,57,7,5,All
Rania Major,,,,,,,,,,,,,,,3,133,180,135,223,135,218,95,72,167,47,59,59,2,1,0,1,279,89,140,120,75,6,10,All
Danyl S Patterson,,,,,,,,,,,,,,,,7,63,154,66,66,60,71,115,26,59,55,41,2,1,2,1,308,48,69,137,45,10,4,All
Jennifer Schultz,,,,,,,,,,,,,,,,,2,142,82,250,64,97,96,90,59,39,37,4,1,1,1,257,39,90,66,36,6,15,All
Terri M Booker,,,,,,,,,,,,,,,,,,1,57,134,17,46,159,52,14,56,67,3,1,2,1,234,44,65,83,31,4,12,All
Brian Mclaughlin,,,,,,,,,,,,,,,,,,,1,62,152,61,31,133,27,47,35,0,1,0,0,134,77,105,61,46,5,6,All
Wendi Barish,,,,,,,,,,,,,,,,,,,,0,51,70,94,69,46,37,31,2,2,2,0,209,40,83,59,27,3,11,All
Lawrence J Bozzelli,,,,,,,,,,,,,,,,,,,,,0,78,34,155,37,28,16,0,1,1,1,136,69,88,50,35,5,5,All
Daniel R Sulman,,,,,,,,,,,,,,,,,,,,,,0,45,59,48,38,21,3,2,0,0,141,36,60,70,22,5,7,All
Mark J Moore,,,,,,,,,,,,,,,,,,,,,,,2,56,15,47,44,1,1,1,2,197,26,41,39,18,3,5,All
Henry Mcgregor Sias,,,,,,,,,,,,,,,,,,,,,,,,2,23,11,11,0,1,2,1,126,56,81,43,21,4,2,All
Leonard Deutchman,,,,,,,,,,,,,,,,,,,,,,,,,0,15,12,3,1,0,0,48,24,43,73,14,3,0,All
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,0,42,0,1,0,1,71,17,32,36,15,3,2,All
Bill Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,56,18,37,34,22,5,1,All
