col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,division
,Judge Of The Municipal Court - Democrat,,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Marissa Brumbach,Matt Wolf,George Twardy,Sherman Toppin,Jon Marshall,Bill Rice,Betsy Wahl,Crystal B Powell,Christian Dicicco,Stella Tsai,Vikki Kristiansson,Lucretia C Clemons,Deborah Cianfrani,Zac Shaffer,Deborah Canty,Shanese Johnson,Mark B Cohen,Vincent Furlong,Jennifer Schultz,Daniel R Sulman,Leon Goodman,Wendi Barish,Henry Mcgregor Sias,Rania Major,John Macoretta,David Conroy,Brian Mclaughlin,Crystal B Powell,Vincent Melchiorre,Lawrence J Bozzelli,Danyl S Patterson,Terri M Booker,Leonard Deutchman,Mark J Moore,Jon Marshall,Bill Rice,Dawn M Tancredi,Matthew C Monroe,Christian Dicicco,Betsy Wahl,All
Marissa Brumbach,"1,125","26,733","17,911","7,510","5,724","1,749",22,19,5,"46,707","45,086","32,089","29,229","26,961","25,763","22,004","18,073","21,903","24,039","23,902","17,717","23,120","21,736","19,364","18,736","18,451","14,612","13,671","15,749","15,467","9,025","7,096","7,651","6,071","3,578","2,098",86,77,68,17,All
Matt Wolf,,"1,123","4,287","3,783","3,569","1,417",27,9,10,"28,293","25,920","15,331","18,558","14,360","15,421","13,647","14,664","14,218","13,221","13,202","14,554","12,149","15,295","13,673","15,731","9,532","13,622","6,830","7,063","12,454","5,818","4,597","5,729","4,190","3,143","2,352",65,70,42,21,All
George Twardy,,,310,"2,130","1,283",439,3,3,2,"16,124","16,973","12,871","11,824","13,548","7,172","9,165","8,196","12,886","5,540","11,592","7,553","5,795","7,264","5,735","8,265","11,079","5,771","6,564","9,857","5,364","4,899","2,139","2,341","2,416","1,568","1,086",26,43,34,12,All
Sherman Toppin,,,,430,"1,488",794,15,13,4,"7,208","8,507","9,524","6,838","6,524","8,929","8,330","7,341","4,304","6,914","4,334","8,496","6,015","3,841","6,504","2,911","4,229","2,965","8,175","3,849","2,495","5,032","4,586","2,237","3,646","1,296","1,357",63,54,44,10,All
Jon Marshall,,,,,167,853,28,5,7,"6,193","5,654","4,734","4,453","3,852","6,657","4,171","4,505","4,138","5,834","3,793","5,162","5,256","2,982","3,830","3,387","2,656","4,122","3,029","2,540","3,607","1,629","2,508","2,887","2,586","2,703","1,447",56,51,17,17,All
Bill Rice,,,,,,67,9,4,10,"2,139","1,734","2,064","2,137","1,136","2,421","2,461","2,593","1,862","1,912","1,258","1,925","1,482",836,"1,912","1,088","1,134","1,714","2,216","1,195","1,027","1,176","1,790",674,"1,254","1,016","1,854",16,10,16,10,All
Betsy Wahl,,,,,,,1,0,2,46,35,22,24,37,58,26,29,22,39,58,42,45,17,24,27,9,21,24,29,18,13,13,31,11,10,7,13,11,2,2,All
Crystal B Powell,,,,,,,,1,1,25,22,29,21,13,20,34,19,8,25,12,19,23,14,18,18,8,10,31,5,11,17,15,1,12,9,5,1,1,2,1,All
Christian Dicicco,,,,,,,,,1,20,15,15,16,3,18,22,13,13,9,7,10,7,7,16,6,9,12,14,8,8,5,14,3,8,9,10,1,2,7,4,All
Stella Tsai,,,,,,,,,,613,"39,925","28,003","27,915","21,265","21,009","19,078","12,373","18,529","20,810","22,461","14,693","20,744","21,672","17,775","16,149","13,076","12,846","10,440","11,643","13,589","6,448","5,622","5,032","4,824","2,873","1,716",78,82,58,20,All
Vikki Kristiansson,,,,,,,,,,,622,"27,410","22,780","22,522","22,325","14,975","14,833","20,151","19,832","18,276","18,057","19,525","22,177","17,930","20,133","14,252","12,539","9,655","9,290","14,110","6,307","4,842","6,844","4,233","2,483","1,273",70,71,50,13,All
Lucretia C Clemons,,,,,,,,,,,,411,"13,107","19,652","17,092","13,536","8,601","9,145","16,018","16,831","15,596","16,813","14,107","7,647","8,345","14,095","4,497","12,994","10,176","4,658","7,298","6,492","3,541","6,741","3,078","1,991",36,29,67,19,All
