col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,division
,Judge Of The Municipal Court - Democrat,,,,,,,,,City Controller - Democrat,,,All
,Matt Wolf,Marissa Brumbach,Sherman Toppin,George Twardy,Jon Marshall,Bill Rice,Betsy Wahl,Christian Dicicco,Crystal B Powell,Rebecca Rhynhart,Alan L Butkovitz,Bobbie T Curry,All
Matt Wolf,38,154,120,34,31,8,0,0,0,211,211,18,All
Marissa Brumbach,,19,52,51,19,8,0,0,0,176,136,12,All
Sherman Toppin,,,25,28,24,7,0,0,0,124,146,7,All
George Twardy,,,,14,5,3,0,0,0,45,85,4,All
Jon Marshall,,,,,10,7,0,0,0,50,44,3,All
Bill Rice,,,,,,1,1,0,0,28,10,0,All
Betsy Wahl,,,,,,,0,0,0,0,1,0,All
Christian Dicicco,,,,,,,,0,0,0,0,0,All
Crystal B Powell,,,,,,,,,0,0,0,0,All
Rebecca Rhynhart,,,,,,,,,,56,0,0,All
Alan L Butkovitz,,,,,,,,,,,53,0,All
Bobbie T Curry,,,,,,,,,,,,0,All
Total,505,363,326,159,119,39,1,0,0,449,437,29,All
,Judge Of The Municipal Court - Democrat,,,,,,,,,City Controller - Democrat,,,1
,Matt Wolf,Marissa Brumbach,Sherman Toppin,George Twardy,Jon Marshall,Bill Rice,Betsy Wahl,Christian Dicicco,Crystal B Powell,Rebecca Rhynhart,Alan L Butkovitz,Bobbie T Curry,1
Matt Wolf,0,5,2,0,2,1,0,0,0,11,4,0,1
Marissa Brumbach,,1,0,1,1,1,0,0,0,5,4,1,1
Sherman Toppin,,,0,6,0,0,0,0,0,2,6,0,1
George Twardy,,,,0,0,0,0,0,0,2,5,0,1
Jon Marshall,,,,,1,0,0,0,0,2,2,0,1
Bill Rice,,,,,,0,0,0,0,2,0,0,1
Betsy Wahl,,,,,,,0,0,0,0,0,0,1
Christian Dicicco,,,,,,,,0,0,0,0,0,1
Crystal B Powell,,,,,,,,,0,0,0,0,1
Rebecca Rhynhart,,,,,,,,,,1,0,0,1
Alan L Butkovitz,,,,,,,,,,,2,0,1
Bobbie T Curry,,,,,,,,,,,,0,1
Total,15,11,8,7,5,2,0,0,0,15,14,1,1
,Judge Of The Municipal Court - Democrat,,,,,,,,,City Controller - Democrat,,,2
,Matt Wolf,Marissa Brumbach,Sherman Toppin,Jon Marshall,George Twardy,Bill Rice,Betsy Wahl,Christian Dicicco,Crystal B Powell,Alan L Butkovitz,Rebecca Rhynhart,Bobbie T Curry,2
Matt Wolf,2,9,2,3,1,1,0,0,0,10,9,2,2
Marissa Brumbach,,0,5,2,1,0,0,0,0,10,9,1,2
Sherman Toppin,,,3,0,1,0,0,0,0,7,4,0,2
Jon Marshall,,,,1,1,0,0,0,0,1,6,0,2
George Twardy,,,,,1,1,0,0,0,3,3,0,2
Bill Rice,,,,,,0,0,0,0,0,2,0,2
Betsy Wahl,,,,,,,0,0,0,0,0,0,2
Christian Dicicco,,,,,,,,0,0,0,0,0,2
Crystal B Powell,,,,,,,,,0,0,0,0,2
Alan L Butkovitz,,,,,,,,,,3,0,0,2
Rebecca Rhynhart,,,,,,,,,,,2,0,2
Bobbie T Curry,,,,,,,,,,,,0,2
Total,25,21,15,8,7,2,0,0,0,23,22,2,2
,Judge Of The Municipal Court - Democrat,,,,,,,,,City Controller - Democrat,,,3
,Matt Wolf,Marissa Brumbach,Sherman Toppin,Jon Marshall,George Twardy,Bill Rice,Betsy Wahl,Christian Dicicco,Crystal B Powell,Alan L Butkovitz,Rebecca Rhynhart,Bobbie T Curry,3
Matt Wolf,1,14,9,1,3,0,0,0,0,20,8,2,3
Marissa Brumbach,,4,2,5,1,0,0,0,0,17,10,0,3
Sherman Toppin,,,3,3,0,0,0,0,0,9,7,1,3
Jon Marshall,,,,0,0,0,0,0,0,2,7,0,3
George Twardy,,,,,0,0,0,0,0,2,1,0,3
Bill Rice,,,,,,0,0,0,0,0,2,0,3
Betsy Wahl,,,,,,,0,0,0,0,0,0,3
Christian Dicicco,,,,,,,,0,0,0,0,0,3
Crystal B Powell,,,,,,,,,0,0,0,0,3
Alan L Butkovitz,,,,,,,,,,2,0,0,3
Rebecca Rhynhart,,,,,,,,,,,5,0,3
Bobbie T Curry,,,,,,,,,,,,0,3
Total,33,32,20,10,5,2,0,0,0,30,28,2,3
,Judge Of The Municipal Court - Democrat,,,,,,,,,City Controller - Democrat,,,4
,Matt Wolf,Sherman Toppin,George Twardy,Marissa Brumbach,Jon Marshall,Bill Rice,Betsy Wahl,Christian Dicicco,Crystal B Powell,Alan L Butkovitz,Rebecca Rhynhart,Bobbie T Curry,4
Matt Wolf,4,8,5,7,3,0,0,0,0,18,9,2,4
Sherman Toppin,,2,0,0,1,0,0,0,0,6,2,0,4
George Twardy,,,1,2,1,0,0,0,0,6,3,0,4
Marissa Brumbach,,,,0,0,0,0,0,0,5,5,0,4
Jon Marshall,,,,,0,1,0,0,0,4,2,0,4
Bill Rice,,,,,,0,0,0,0,0,1,0,4
Betsy Wahl,,,,,,,0,0,0,0,0,0,4
Christian Dicicco,,,,,,,,0,0,0,0,0,4
Crystal B Powell,,,,,,,,,0,0,0,0,4
Alan L Butkovitz,,,,,,,,,,2,0,0,4
Rebecca Rhynhart,,,,,,,,,,,2,0,4
Bobbie T Curry,,,,,,,,,,,,0,4
Total,33,11,10,10,7,1,0,0,0,22,16,2,4
,City Controller - Democrat,,,Judge Of The Municipal Court - Democrat,,,,,,,,,5
,Alan L Butkovitz,Rebecca Rhynhart,Bobbie T Curry,Matt Wolf,Marissa Brumbach,Sherman Toppin,George Twardy,Jon Marshall,Bill Rice,Betsy Wahl,Christian Dicicco,Crystal B Powell,5
Alan L Butkovitz,4,0,0,12,11,16,8,3,1,0,0,0,5
Rebecca Rhynhart,,1,0,14,14,5,2,4,3,0,0,0,5
Bobbie T Curry,,,0,3,0,1,1,0,0,0,0,0,5
Matt Wolf,,,,2,7,10,2,2,1,0,0,0,5
Marissa Brumbach,,,,,1,4,5,1,1,0,0,0,5
Sherman Toppin,,,,,,1,2,1,1,0,0,0,5
George Twardy,,,,,,,2,0,1,0,0,0,5
Jon Marshall,,,,,,,,0,0,0,0,0,5
Bill Rice,,,,,,,,,0,0,0,0,5
Betsy Wahl,,,,,,,,,,0,0,0,5
Christian Dicicco,,,,,,,,,,,0,0,5
Crystal B Powell,,,,,,,,,,,,0,5
Total,36,27,3,32,27,23,13,7,4,0,0,0,5
,City Controller - Democrat,,,Judge Of The Municipal Court - Democrat,,,,,,,,,6
,Alan L Butkovitz,Rebecca Rhynhart,Bobbie T Curry,Matt Wolf,Marissa Brumbach,Sherman Toppin,George Twardy,Jon Marshall,Bill Rice,Betsy Wahl,Christian Dicicco,Crystal B Powell,6
Alan L Butkovitz,3,0,0,18,14,11,7,3,1,0,0,0,6
Rebecca Rhynhart,,2,0,9,7,5,2,4,1,0,0,0,6
Bobbie T Curry,,,0,0,1,0,0,1,0,0,0,0,6
Matt Wolf,,,,0,15,3,3,3,0,0,0,0,6
Marissa Brumbach,,,,,0,3,1,1,2,0,0,0,6
Sherman Toppin,,,,,,2,5,1,0,0,0,0,6
George Twardy,,,,,,,1,0,0,0,0,0,6
Jon Marshall,,,,,,,,0,0,0,0,0,6
Bill Rice,,,,,,,,,0,0,0,0,6
Betsy Wahl,,,,,,,,,,0,0,0,6
Christian Dicicco,,,,,,,,,,,0,0,6
Crystal B Powell,,,,,,,,,,,,0,6
Total,34,20,1,29,24,19,11,8,2,0,0,0,6
,Judge Of The Municipal Court - Democrat,,,,,,,,,City Controller - Democrat,,,7
,Matt Wolf,Marissa Brumbach,Sherman Toppin,Jon Marshall,George Twardy,Betsy Wahl,Bill Rice,Christian Dicicco,Crystal B Powell,Rebecca Rhynhart,Alan L Butkovitz,Bobbie T Curry,7
Matt Wolf,3,10,5,2,1,0,0,0,0,11,7,1,7
Marissa Brumbach,,1,0,0,2,0,0,0,0,5,2,2,7
Sherman Toppin,,,1,5,0,0,0,0,0,3,3,0,7
Jon Marshall,,,,0,0,0,0,0,0,2,0,1,7
George Twardy,,,,,0,0,0,0,0,2,1,1,7
Betsy Wahl,,,,,,0,0,0,0,0,0,0,7
Bill Rice,,,,,,,0,0,0,0,0,0,7
Christian Dicicco,,,,,,,,0,0,0,0,0,7
Crystal B Powell,,,,,,,,,0,0,0,0,7
Rebecca Rhynhart,,,,,,,,,,2,0,0,7
Alan L Butkovitz,,,,,,,,,,,1,0,7
Bobbie T Curry,,,,,,,,,,,,0,7
Total,26,13,13,8,4,0,0,0,0,16,9,3,7
,City Controller - Democrat,,,Judge Of The Municipal Court - Democrat,,,,,,,,,8
,Rebecca Rhynhart,Alan L Butkovitz,Bobbie T Curry,Matt Wolf,Sherman Toppin,Marissa Brumbach,George Twardy,Jon Marshall,Bill Rice,Betsy Wahl,Christian Dicicco,Crystal B Powell,8
Rebecca Rhynhart,3,0,0,35,25,20,6,4,5,0,0,0,8
Alan L Butkovitz,,7,0,10,10,12,13,6,2,1,0,0,8
Bobbie T Curry,,,0,0,2,0,1,1,0,0,0,0,8
Matt Wolf,,,,3,12,10,5,1,2,0,0,0,8
Sherman Toppin,,,,,5,7,2,3,1,0,0,0,8
Marissa Brumbach,,,,,,1,9,2,0,0,0,0,8
George Twardy,,,,,,,0,2,0,0,0,0,8
Jon Marshall,,,,,,,,0,2,0,0,0,8
Bill Rice,,,,,,,,,0,1,0,0,8
Betsy Wahl,,,,,,,,,,0,0,0,8
Christian Dicicco,,,,,,,,,,,0,0,8
Crystal B Powell,,,,,,,,,,,,0,8
Total,63,41,3,49,44,33,22,12,7,1,0,0,8
,City Controller - Democrat,,,Judge Of The Municipal Court - Democrat,,,,,,,,,9
,Rebecca Rhynhart,Alan L Butkovitz,Bobbie T Curry,Sherman Toppin,Matt Wolf,Marissa Brumbach,George Twardy,Jon Marshall,Bill Rice,Betsy Wahl,Christian Dicicco,Crystal B Powell,9
Rebecca Rhynhart,10,0,0,15,9,7,5,1,2,0,0,0,9
Alan L Butkovitz,,3,0,15,11,9,3,4,0,0,0,0,9
Bobbie T Curry,,,0,0,0,0,0,0,0,0,0,0,9
Sherman Toppin,,,,1,7,7,4,2,1,0,0,0,9
Matt Wolf,,,,,1,5,0,1,0,0,0,0,9
Marissa Brumbach,,,,,,1,2,1,0,0,0,0,9
George Twardy,,,,,,,1,0,0,0,0,0,9
Jon Marshall,,,,,,,,0,0,0,0,0,9
Bill Rice,,,,,,,,,0,0,0,0,9
Betsy Wahl,,,,,,,,,,0,0,0,9
Christian Dicicco,,,,,,,,,,,0,0,9
Crystal B Powell,,,,,,,,,,,,0,9
Total,35,31,0,33,21,18,9,6,2,0,0,0,9
,City Controller - Democrat,,,Judge Of The Municipal Court - Democrat,,,,,,,,,10
,Rebecca Rhynhart,Alan L Butkovitz,Bobbie T Curry,Sherman Toppin,Matt Wolf,Marissa Brumbach,George Twardy,Jon Marshall,Bill Rice,Betsy Wahl,Christian Dicicco,Crystal B Powell,10
Rebecca Rhynhart,3,0,0,9,10,5,3,3,2,0,0,0,10
Alan L Butkovitz,,4,0,9,6,5,3,2,0,0,0,0,10
Bobbie T Curry,,,0,1,1,1,1,0,0,0,0,0,10
Sherman Toppin,,,,2,9,2,0,1,1,0,0,0,10
Matt Wolf,,,,,0,2,1,1,0,0,0,0,10
Marissa Brumbach,,,,,,1,3,2,1,0,0,0,10
George Twardy,,,,,,,0,0,0,0,0,0,10
Jon Marshall,,,,,,,,2,0,0,0,0,10
Bill Rice,,,,,,,,,0,0,0,0,10
Betsy Wahl,,,,,,,,,,0,0,0,10
Christian Dicicco,,,,,,,,,,,0,0,10
Crystal B Powell,,,,,,,,,,,,0,10
Total,23,20,3,21,18,13,7,7,2,0,0,0,10
,City Controller - Democrat,,,Judge Of The Municipal Court - Democrat,,,,,,,,,11
,Rebecca Rhynhart,Alan L Butkovitz,Bobbie T Curry,Matt Wolf,Marissa Brumbach,Sherman Toppin,George Twardy,Jon Marshall,Bill Rice,Betsy Wahl,Christian Dicicco,Crystal B Powell,11
Rebecca Rhynhart,4,0,0,11,12,8,1,3,0,0,0,0,11
Alan L Butkovitz,,3,0,9,4,4,4,2,1,0,0,0,11
Bobbie T Curry,,,0,0,0,0,0,0,0,0,0,0,11
Matt Wolf,,,,2,4,4,1,3,1,0,0,0,11
Marissa Brumbach,,,,,2,3,1,1,0,0,0,0,11
Sherman Toppin,,,,,,3,2,0,0,0,0,0,11
George Twardy,,,,,,,0,0,0,0,0,0,11
Jon Marshall,,,,,,,,1,0,0,0,0,11
Bill Rice,,,,,,,,,0,0,0,0,11
Betsy Wahl,,,,,,,,,,0,0,0,11
Christian Dicicco,,,,,,,,,,,0,0,11
Crystal B Powell,,,,,,,,,,,,0,11
Total,28,19,0,22,18,16,6,6,1,0,0,0,11
,Judge Of The Municipal Court - Democrat,,,,,,,,,City Controller - Democrat,,,12
,Matt Wolf,Marissa Brumbach,Sherman Toppin,Jon Marshall,George Twardy,Bill Rice,Betsy Wahl,Christian Dicicco,Crystal B Powell,Rebecca Rhynhart,Alan L Butkovitz,Bobbie T Curry,12
Matt Wolf,7,6,5,2,3,1,0,0,0,9,7,1,12
Marissa Brumbach,,0,2,2,0,1,0,0,0,8,4,0,12
Sherman Toppin,,,0,0,1,1,0,0,0,6,6,0,12
Jon Marshall,,,,2,0,0,0,0,0,2,2,0,12
George Twardy,,,,,0,0,0,0,0,0,2,0,12
Bill Rice,,,,,,0,0,0,0,1,2,0,12
Betsy Wahl,,,,,,,0,0,0,0,0,0,12
Christian Dicicco,,,,,,,,0,0,0,0,0,12
Crystal B Powell,,,,,,,,,0,0,0,0,12
Rebecca Rhynhart,,,,,,,,,,2,0,0,12
Alan L Butkovitz,,,,,,,,,,,2,0,12
Bobbie T Curry,,,,,,,,,,,,0,12
Total,28,13,13,6,4,3,0,0,0,18,15,1,12
,City Controller - Democrat,,,Judge Of The Municipal Court - Democrat,,,,,,,,,13
,Rebecca Rhynhart,Alan L Butkovitz,Bobbie T Curry,Matt Wolf,Marissa Brumbach,Sherman Toppin,George Twardy,Jon Marshall,Bill Rice,Betsy Wahl,Christian Dicicco,Crystal B Powell,13
Rebecca Rhynhart,8,0,0,16,21,8,0,2,2,0,0,0,13
Alan L Butkovitz,,3,0,14,3,11,5,1,0,0,0,0,13
Bobbie T Curry,,,0,1,1,0,0,0,0,0,0,0,13
Matt Wolf,,,,2,11,12,2,0,0,0,0,0,13
Marissa Brumbach,,,,,0,5,1,0,1,0,0,0,13
Sherman Toppin,,,,,,2,1,1,0,0,0,0,13
George Twardy,,,,,,,1,0,0,0,0,0,13
Jon Marshall,,,,,,,,1,1,0,0,0,13
Bill Rice,,,,,,,,,0,0,0,0,13
Betsy Wahl,,,,,,,,,,0,0,0,13
Christian Dicicco,,,,,,,,,,,0,0,13
Crystal B Powell,,,,,,,,,,,,0,13
Total,38,24,1,35,25,23,6,4,2,0,0,0,13
,Judge Of The Municipal Court - Democrat,,,,,,,,,City Controller - Democrat,,,14
,Matt Wolf,Marissa Brumbach,Sherman Toppin,George Twardy,Jon Marshall,Bill Rice,Betsy Wahl,Christian Dicicco,Crystal B Powell,Alan L Butkovitz,Rebecca Rhynhart,Bobbie T Curry,14
Matt Wolf,5,7,7,2,2,1,0,0,0,14,7,0,14
Marissa Brumbach,,1,5,2,0,0,0,0,0,9,5,1,14
Sherman Toppin,,,0,1,2,0,0,0,0,9,4,1,14
George Twardy,,,,3,0,0,0,0,0,5,2,0,14
Jon Marshall,,,,,0,0,0,0,0,2,2,0,14
Bill Rice,,,,,,0,0,0,0,0,1,0,14
Betsy Wahl,,,,,,,0,0,0,0,0,0,14
Christian Dicicco,,,,,,,,0,0,0,0,0,14
Crystal B Powell,,,,,,,,,0,0,0,0,14
Alan L Butkovitz,,,,,,,,,,2,0,0,14
Rebecca Rhynhart,,,,,,,,,,,3,0,14
Bobbie T Curry,,,,,,,,,,,,0,14
Total,27,17,17,10,5,1,0,0,0,25,15,1,14
,Judge Of The Municipal Court - Democrat,,,,,,,,,City Controller - Democrat,,,15
,Matt Wolf,Marissa Brumbach,Sherman Toppin,Jon Marshall,Bill Rice,George Twardy,Betsy Wahl,Christian Dicicco,Crystal B Powell,Alan L Butkovitz,Rebecca Rhynhart,Bobbie T Curry,15
Matt Wolf,1,10,5,1,0,1,0,0,0,11,12,3,15
Marissa Brumbach,,0,2,0,1,1,0,0,0,1,11,2,15
Sherman Toppin,,,0,2,0,0,0,0,0,6,4,1,15
Jon Marshall,,,,0,0,0,0,0,0,1,2,0,15
Bill Rice,,,,,1,0,0,0,0,0,1,0,15
George Twardy,,,,,,0,0,0,0,2,0,0,15
Betsy Wahl,,,,,,,0,0,0,0,0,0,15
Christian Dicicco,,,,,,,,0,0,0,0,0,15
Crystal B Powell,,,,,,,,,0,0,0,0,15
Alan L Butkovitz,,,,,,,,,,1,0,0,15
Rebecca Rhynhart,,,,,,,,,,,1,0,15
Bobbie T Curry,,,,,,,,,,,,0,15
Total,27,14,13,5,2,2,0,0,0,18,17,3,15
,Judge Of The Municipal Court - Democrat,,,,,,,,,City Controller - Democrat,,,16
