col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,division
,Judge Of The Superior Court - Democrat,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Carolyn H Nichols,Maria Mclaughlin,Geoff Moulton,Debbie Kunselman,Bill Caye,Stella Tsai,Lucretia C Clemons,Crystal B Powell,Zac Shaffer,Deborah Cianfrani,Shanese Johnson,David Conroy,Vikki Kristiansson,Vincent Furlong,Mark B Cohen,Rania Major,Daniel R Sulman,Brian Mclaughlin,Deborah Canty,Vincent Melchiorre,John Macoretta,Jennifer Schultz,Lawrence J Bozzelli,Leon Goodman,Henry Mcgregor Sias,Wendi Barish,Danyl S Patterson,Terri M Booker,Mark J Moore,Jon Marshall,Leonard Deutchman,Bill Rice,Betsy Wahl,Matthew C Monroe,Christian Dicicco,Dawn M Tancredi,All
Carolyn H Nichols,19,621,479,344,161,428,334,327,304,356,346,257,276,232,215,244,220,192,184,170,157,161,144,139,143,123,91,89,64,54,52,48,3,4,3,2,All
Maria Mclaughlin,,17,472,342,156,394,313,304,294,348,320,253,276,229,217,235,219,199,185,165,158,154,144,134,137,115,81,80,61,50,56,46,4,1,3,1,All
Geoff Moulton,,,3,282,116,310,248,233,227,264,246,198,208,180,148,176,173,156,124,134,128,114,112,105,112,88,58,57,46,32,35,34,3,1,2,1,All
Debbie Kunselman,,,,3,80,241,204,192,181,204,192,151,138,108,93,119,147,93,119,98,72,111,67,73,66,90,38,50,41,27,27,22,4,4,2,1,All
Bill Caye,,,,,0,81,66,66,61,85,79,46,74,62,76,80,58,59,65,41,48,63,43,61,39,41,34,36,27,32,28,31,0,3,0,1,All
Stella Tsai,,,,,,1,213,187,180,286,240,167,190,136,96,166,167,114,103,122,104,87,109,50,108,74,30,37,25,23,24,17,0,3,3,1,All
Lucretia C Clemons,,,,,,,3,344,324,172,185,313,100,67,70,71,146,42,90,121,31,79,31,62,33,60,42,44,40,22,15,21,2,0,1,0,All
Crystal B Powell,,,,,,,,2,302,166,189,304,86,70,83,81,131,48,92,105,23,73,14,67,25,50,54,59,33,27,16,22,3,0,3,1,All
Zac Shaffer,,,,,,,,,2,146,145,312,87,73,80,51,163,49,60,139,33,48,33,64,27,38,43,26,21,18,27,15,1,1,1,1,All
Deborah Cianfrani,,,,,,,,,,2,211,130,154,143,101,157,129,125,86,108,109,89,108,38,104,66,23,39,24,21,15,15,1,2,1,1,All
Shanese Johnson,,,,,,,,,,,0,124,114,92,100,129,133,69,90,97,63,70,50,60,57,52,40,55,27,21,20,23,1,1,3,0,All
David Conroy,,,,,,,,,,,,2,61,63,48,34,142,45,50,117,22,23,24,42,16,20,39,14,15,16,13,17,1,0,2,0,All
Vikki Kristiansson,,,,,,,,,,,,,4,142,99,153,74,107,93,46,117,79,105,62,104,65,31,24,21,21,26,11,0,2,1,0,All
Vincent Furlong,,,,,,,,,,,,,,5,101,125,57,119,68,42,115,57,97,52,102,34,37,22,20,21,22,12,1,2,0,1,All
Mark B Cohen,,,,,,,,,,,,,,,14,101,60,80,84,37,68,57,56,71,51,40,39,41,28,28,23,24,3,1,0,1,All
Rania Major,,,,,,,,,,,,,,,,0,47,122,72,30,105,71,103,60,91,53,35,36,19,19,16,19,2,3,1,0,All
