col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,division
,District Attorney - Democrat,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Lawrence S Krasner,Tariq Karim El Shabazz,Joe Khan,Rich Negrin,Michael W Untermeyer,John O Neill,Teresa Carr Deni,Stella Tsai,Vikki Kristiansson,Deborah Cianfrani,Vincent Furlong,Lucretia C Clemons,Zac Shaffer,Daniel R Sulman,David Conroy,Shanese Johnson,Vincent Melchiorre,Mark B Cohen,Leon Goodman,Deborah Canty,Rania Major,Crystal B Powell,John Macoretta,Brian Mclaughlin,Jennifer Schultz,Danyl S Patterson,Lawrence J Bozzelli,Henry Mcgregor Sias,Wendi Barish,Terri M Booker,Mark J Moore,Leonard Deutchman,Jon Marshall,Bill Rice,Matthew C Monroe,Dawn M Tancredi,Christian Dicicco,Betsy Wahl,All
Lawrence S Krasner,182,0,0,0,0,0,0,"1,058","1,044","1,025",941,795,724,729,717,371,622,295,326,321,263,259,135,132,169,169,100,104,152,141,125,59,65,49,1,2,1,2,All
Tariq Karim El Shabazz,,75,0,0,0,0,0,261,298,253,210,208,180,147,178,235,111,179,216,222,148,148,123,92,85,107,57,49,69,84,64,76,34,22,3,0,0,0,All
Joe Khan,,,67,0,0,0,0,215,197,191,181,105,93,94,78,175,74,140,100,107,130,69,86,91,82,51,89,91,65,59,36,45,29,24,0,2,0,0,All
Rich Negrin,,,,16,0,0,0,148,111,96,91,37,28,34,18,56,20,56,42,45,91,21,76,77,21,14,76,69,22,13,23,9,8,3,1,0,0,0,All
Michael W Untermeyer,,,,,33,0,0,78,61,80,55,29,21,28,17,66,17,84,41,37,59,21,43,42,42,13,32,26,25,20,14,11,11,13,1,1,1,0,All
John O Neill,,,,,,2,0,7,13,13,4,17,9,7,10,17,5,5,13,5,7,14,2,4,6,2,1,4,2,5,4,3,5,3,0,0,0,0,All
Teresa Carr Deni,,,,,,,1,14,8,12,8,5,6,6,2,10,3,4,4,5,6,5,3,4,10,2,4,3,7,4,3,2,3,1,0,0,0,0,All
Stella Tsai,,,,,,,,4,"1,352","1,357","1,161",828,761,841,739,397,688,291,236,303,399,179,268,244,202,87,234,238,179,135,87,74,54,45,3,3,2,1,All
Vikki Kristiansson,,,,,,,,,8,"1,348","1,167",819,889,810,865,381,699,345,336,346,392,197,340,244,180,170,243,231,142,93,81,111,44,30,2,1,3,1,All
Deborah Cianfrani,,,,,,,,,,5,"1,179",850,770,816,756,406,707,294,223,276,385,192,249,237,207,75,230,246,175,122,94,71,49,36,3,1,3,2,All
Vincent Furlong,,,,,,,,,,,1,759,766,756,726,287,706,262,210,208,324,128,237,216,120,91,202,218,84,75,69,40,46,40,2,2,0,1,All
Lucretia C Clemons,,,,,,,,,,,,2,735,684,756,309,674,186,266,232,170,267,49,68,141,121,38,53,144,143,139,39,63,49,2,1,1,1,All
Zac Shaffer,,,,,,,,,,,,,0,716,786,153,723,186,269,225,105,130,98,71,71,142,44,36,70,57,55,91,35,18,1,1,2,1,All
Daniel R Sulman,,,,,,,,,,,,,,0,676,166,652,148,150,179,117,92,78,69,115,48,52,45,93,67,59,53,39,31,2,1,1,1,All
David Conroy,,,,,,,,,,,,,,,0,159,619,183,265,209,80,178,93,65,57,181,22,20,43,50,54,72,31,23,0,1,2,1,All
Shanese Johnson,,,,,,,,,,,,,,,,8,98,300,278,337,384,308,157,158,209,159,150,121,173,185,106,53,66,56,3,3,2,0,All
Vincent Melchiorre,,,,,,,,,,,,,,,,,0,95,109,107,68,59,42,46,59,40,30,24,61,37,41,43,32,22,0,2,1,1,All
Mark B Cohen,,,,,,,,,,,,,,,,,,0,272,324,244,199,180,154,143,161,117,86,102,114,85,99,41,52,2,1,0,0,All
Leon Goodman,,,,,,,,,,,,,,,,,,,5,307,192,250,146,129,141,218,69,102,138,128,124,120,74,50,2,2,1,0,All
Deborah Canty,,,,,,,,,,,,,,,,,,,,6,252,263,133,108,216,194,80,75,163,148,100,125,60,37,3,4,0,0,All
Rania Major,,,,,,,,,,,,,,,,,,,,,3,192,246,265,168,91,258,223,125,115,73,56,60,40,3,0,1,1,All
Crystal B Powell,,,,,,,,,,,,,,,,,,,,,,2,42,83,128,189,26,36,127,172,104,31,68,54,0,0,1,1,All
John Macoretta,,,,,,,,,,,,,,,,,,,,,,,1,195,62,83,206,203,50,31,34,79,25,16,2,1,1,0,All
Brian Mclaughlin,,,,,,,,,,,,,,,,,,,,,,,,2,65,52,213,186,60,42,41,41,33,14,1,0,0,0,All
Jennifer Schultz,,,,,,,,,,,,,,,,,,,,,,,,,0,40,56,79,165,109,61,55,40,30,1,4,0,1,All
Danyl S Patterson,,,,,,,,,,,,,,,,,,,,,,,,,,1,19,17,35,65,49,69,40,24,0,0,0,0,All
