col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,division
,City Controller - Democrat,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Rebecca Rhynhart,Alan L Butkovitz,Bobbie T Curry,Vikki Kristiansson,Stella Tsai,Henry Mcgregor Sias,Wendi Barish,Lucretia C Clemons,Jennifer Schultz,Deborah Canty,Lawrence J Bozzelli,Zac Shaffer,Deborah Cianfrani,Leon Goodman,John Macoretta,Daniel R Sulman,Rania Major,Mark B Cohen,Shanese Johnson,Brian Mclaughlin,Vincent Furlong,David Conroy,Leonard Deutchman,Crystal B Powell,Vincent Melchiorre,Mark J Moore,Terri M Booker,Jon Marshall,Danyl S Patterson,Bill Rice,Dawn M Tancredi,Christian Dicicco,Betsy Wahl,Matthew C Monroe,All
Rebecca Rhynhart,348,0,0,"1,998","1,885","1,386","1,412","1,331","1,354","1,182",900,791,846,856,802,702,654,513,560,533,499,306,414,360,247,292,268,197,170,72,3,2,1,0,All
Alan L Butkovitz,,99,0,387,420,312,259,276,256,218,240,284,247,208,169,253,146,228,141,149,172,172,92,110,151,87,77,47,63,28,0,0,0,0,All
Bobbie T Curry,,,1,5,6,4,2,2,3,4,5,2,3,1,2,0,6,3,3,4,4,2,0,0,1,1,1,0,0,0,0,0,0,0,All
Vikki Kristiansson,,,,4,"1,693","1,251","1,175","1,262","1,135","1,025",708,722,679,748,765,660,567,400,440,413,428,256,305,267,160,206,180,113,120,27,2,1,0,0,All
Stella Tsai,,,,,6,"1,128","1,249","1,148","1,225","1,062",672,727,770,549,539,727,564,365,529,422,424,272,287,312,180,225,208,119,145,36,2,1,1,0,All
Henry Mcgregor Sias,,,,,,13,707,932,671,504,512,590,350,582,598,537,265,299,191,316,320,131,179,96,118,152,88,62,101,26,1,1,0,0,All
Wendi Barish,,,,,,,3,948,"1,109",993,444,555,490,443,285,487,365,246,354,235,204,203,281,266,126,241,199,133,80,27,2,0,1,0,All
Lucretia C Clemons,,,,,,,,4,878,782,323,570,313,580,409,492,206,181,246,150,153,236,209,233,96,236,154,131,99,22,1,0,0,0,All
Jennifer Schultz,,,,,,,,,2,"1,003",409,459,570,389,290,406,403,290,371,239,223,160,253,299,122,232,227,136,49,35,4,0,0,0,All
Deborah Canty,,,,,,,,,,2,411,374,478,372,260,346,350,234,354,232,210,190,260,251,97,213,173,125,70,19,4,0,1,0,All
Lawrence J Bozzelli,,,,,,,,,,,19,283,377,322,471,273,307,256,176,389,364,179,254,83,145,121,63,102,52,19,0,1,1,0,All
Zac Shaffer,,,,,,,,,,,,4,172,366,220,502,149,282,134,159,153,255,178,90,212,126,61,93,116,28,2,0,1,0,All
Deborah Cianfrani,,,,,,,,,,,,,9,175,283,165,512,272,441,272,282,93,85,297,167,55,212,41,81,38,2,1,0,0,All
Leon Goodman,,,,,,,,,,,,,,2,447,336,137,254,128,204,188,151,224,93,112,162,92,88,56,36,2,0,1,0,All
John Macoretta,,,,,,,,,,,,,,,8,234,232,213,125,325,315,106,152,42,102,84,43,72,38,22,0,1,0,0,All
Daniel R Sulman,,,,,,,,,,,,,,,,9,117,212,125,163,163,163,166,72,133,91,52,63,112,16,2,0,0,1,All
Rania Major,,,,,,,,,,,,,,,,,1,223,350,221,224,44,90,186,80,30,118,29,39,28,1,0,0,0,All
Mark B Cohen,,,,,,,,,,,,,,,,,,9,171,190,169,81,119,95,118,55,79,45,72,42,0,0,0,0,All
Shanese Johnson,,,,,,,,,,,,,,,,,,,4,117,130,67,52,222,93,32,131,25,65,22,1,0,0,0,All
Brian Mclaughlin,,,,,,,,,,,,,,,,,,,,3,312,112,108,45,99,94,54,84,34,29,0,0,1,0,All
Vincent Furlong,,,,,,,,,,,,,,,,,,,,,2,125,120,46,124,50,49,45,36,34,0,0,1,0,All
David Conroy,,,,,,,,,,,,,,,,,,,,,,8,139,63,135,84,38,72,73,24,0,1,0,0,All
Leonard Deutchman,,,,,,,,,,,,,,,,,,,,,,,0,23,71,100,32,87,27,8,2,0,0,0,All
Crystal B Powell,,,,,,,,,,,,,,,,,,,,,,,,0,65,60,159,22,72,40,1,2,0,0,All
Vincent Melchiorre,,,,,,,,,,,,,,,,,,,,,,,,,7,34,41,28,51,27,2,0,0,0,All
Mark J Moore,,,,,,,,,,,,,,,,,,,,,,,,,,1,57,85,30,26,0,1,0,0,All
Terri M Booker,,,,,,,,,,,,,,,,,,,,,,,,,,,0,31,38,42,1,1,0,0,All
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20,16,0,0,0,0,All
Danyl S Patterson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,18,0,2,0,0,All
Bill Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,All
Dawn M Tancredi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,All
Christian Dicicco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,All
Betsy Wahl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,All
Matthew C Monroe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"3,508",959,10,"2,453","2,380","1,765","1,704","1,655","1,634","1,431","1,213","1,164","1,136","1,099","1,005",998,819,780,727,706,702,544,525,482,473,387,354,250,241,103,5,3,1,1,All
,City Controller - Democrat,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Rebecca Rhynhart,Alan L Butkovitz,Bobbie T Curry,Vikki Kristiansson,Stella Tsai,Lucretia C Clemons,Jennifer Schultz,Henry Mcgregor Sias,Wendi Barish,Deborah Canty,Deborah Cianfrani,Brian Mclaughlin,Leon Goodman,Daniel R Sulman,Zac Shaffer,Lawrence J Bozzelli,Vincent Furlong,John Macoretta,Mark B Cohen,Vincent Melchiorre,David Conroy,Rania Major,Shanese Johnson,Leonard Deutchman,Jon Marshall,Mark J Moore,Crystal B Powell,Danyl S Patterson,Terri M Booker,Bill Rice,Betsy Wahl,Christian Dicicco,Dawn M Tancredi,Matthew C Monroe,1
Rebecca Rhynhart,25,0,0,71,60,52,50,42,46,39,29,24,31,23,27,27,20,26,17,16,10,17,17,14,11,9,10,10,8,2,0,0,0,0,1
Alan L Butkovitz,,6,0,23,19,13,13,15,7,11,20,14,8,13,10,8,15,7,12,11,14,6,3,7,1,3,0,1,1,1,0,0,0,0,1
Bobbie T Curry,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Vikki Kristiansson,,,,0,60,51,41,43,33,33,32,21,28,21,20,19,22,26,19,16,12,16,18,9,6,4,8,7,9,2,0,0,0,0,1
Stella Tsai,,,,,0,43,41,33,44,37,28,17,17,22,21,20,22,14,11,11,11,12,17,11,7,6,6,7,5,1,0,0,0,0,1
Lucretia C Clemons,,,,,,0,37,35,29,26,18,14,28,18,23,9,12,16,11,7,10,7,9,8,8,7,8,7,7,1,0,0,0,0,1
Jennifer Schultz,,,,,,,0,25,37,41,25,14,15,19,18,13,12,11,14,8,6,13,15,13,10,9,10,5,9,2,0,0,0,0,1
Henry Mcgregor Sias,,,,,,,,1,20,21,8,13,23,22,18,18,10,20,13,6,5,5,4,9,3,7,2,6,0,0,0,0,0,0,1
Wendi Barish,,,,,,,,,0,31,19,8,14,15,18,12,8,7,7,7,4,11,11,10,5,8,7,3,6,1,0,0,0,0,1
Deborah Canty,,,,,,,,,,0,19,12,12,14,11,14,11,8,14,6,4,9,12,10,6,5,8,2,6,1,0,0,0,0,1
Deborah Cianfrani,,,,,,,,,,,0,12,6,6,5,11,15,10,14,12,5,17,10,5,2,1,5,2,8,3,0,0,0,0,1
Brian Mclaughlin,,,,,,,,,,,,0,10,8,8,13,19,12,6,9,12,5,4,5,6,3,1,5,1,0,0,0,0,0,1
Leon Goodman,,,,,,,,,,,,,0,9,12,6,9,16,9,5,4,4,5,8,4,6,1,2,1,1,0,0,0,0,1
Daniel R Sulman,,,,,,,,,,,,,,0,19,11,12,8,9,9,9,1,4,10,5,3,2,5,0,0,0,0,0,0,1
Zac Shaffer,,,,,,,,,,,,,,,0,8,9,2,7,10,8,3,2,3,3,4,1,5,1,0,0,0,0,0,1
Lawrence J Bozzelli,,,,,,,,,,,,,,,,0,12,13,7,7,5,5,3,9,3,2,2,4,1,0,0,0,0,0,1
Vincent Furlong,,,,,,,,,,,,,,,,,0,10,6,13,12,5,5,9,4,2,1,4,2,2,0,0,0,0,1
