col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,division
,City Controller - Democrat,,,Judge Of The Municipal Court - Democrat,,,,,,,,,All
,Rebecca Rhynhart,Alan L Butkovitz,Bobbie T Curry,Marissa Brumbach,Matt Wolf,George Twardy,Sherman Toppin,Jon Marshall,Bill Rice,Betsy Wahl,Crystal B Powell,Christian Dicicco,All
Rebecca Rhynhart,"11,394",0,0,"44,276","29,987","13,543","10,395","9,142","3,507",55,35,22,All
Alan L Butkovitz,,"8,753",0,"28,323","18,019","15,353","8,948","4,604","2,385",20,20,15,All
Bobbie T Curry,,,201,737,862,259,200,173,83,19,1,9,All
Marissa Brumbach,,,,"1,957","26,733","17,911","7,510","5,724","1,749",22,19,5,All
Matt Wolf,,,,,"1,690","4,287","3,783","3,569","1,417",27,9,10,All
George Twardy,,,,,,915,"2,130","1,283",439,3,3,2,All
Sherman Toppin,,,,,,,"1,189","1,488",794,15,13,4,All
Jon Marshall,,,,,,,,571,853,28,5,7,All
Bill Rice,,,,,,,,,252,9,4,10,All
Betsy Wahl,,,,,,,,,,10,0,2,All
Crystal B Powell,,,,,,,,,,,4,1,All
Christian Dicicco,,,,,,,,,,,,5,All
Total,"78,161","54,874","1,693","77,562","51,905","31,338","21,500","15,131","6,414",130,62,55,All
