col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,division
,City Controller - Democrat,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Rebecca Rhynhart,Alan L Butkovitz,Bobbie T Curry,Stella Tsai,Vikki Kristiansson,Lucretia C Clemons,Jennifer Schultz,Henry Mcgregor Sias,Deborah Canty,Wendi Barish,Zac Shaffer,Daniel R Sulman,Leon Goodman,Deborah Cianfrani,Shanese Johnson,Mark B Cohen,Rania Major,Crystal B Powell,John Macoretta,Vincent Furlong,David Conroy,Lawrence J Bozzelli,Terri M Booker,Brian Mclaughlin,Danyl S Patterson,Leonard Deutchman,Mark J Moore,Vincent Melchiorre,Jon Marshall,Bill Rice,Dawn M Tancredi,Christian Dicicco,Matthew C Monroe,Betsy Wahl,All
Rebecca Rhynhart,215,0,0,"1,541","1,555","1,210","1,062",930,"1,001",865,698,690,651,612,553,453,592,386,454,394,312,376,300,319,233,289,227,193,150,64,3,3,0,1,All
Alan L Butkovitz,,84,0,695,650,686,448,516,310,363,452,373,372,360,296,325,201,312,190,218,220,138,202,140,188,106,170,139,60,50,1,2,0,0,All
Bobbie T Curry,,,1,18,12,7,9,6,10,7,5,5,8,10,7,6,6,4,5,8,4,5,4,7,4,6,1,3,0,0,0,0,0,0,All
Stella Tsai,,,,14,"1,759","1,453","1,132","1,140",894,915,830,926,599,678,580,355,530,338,435,389,325,355,223,303,195,200,209,199,102,40,4,2,0,0,All
Vikki Kristiansson,,,,,13,"1,413","1,069","1,081",940,843,896,832,684,552,460,489,564,340,541,393,352,397,192,290,243,299,182,166,95,22,3,0,1,0,All
Lucretia C Clemons,,,,,,9,"1,047","1,021",766,880,821,762,663,409,371,266,272,468,219,193,317,163,317,122,231,160,325,195,104,47,3,1,0,0,All
Jennifer Schultz,,,,,,,2,739,775,914,490,524,500,514,351,268,341,351,211,193,199,201,308,148,100,209,276,133,101,44,3,2,1,1,All
Henry Mcgregor Sias,,,,,,,,11,388,581,665,659,493,339,159,248,230,177,317,269,128,259,143,192,100,123,194,119,43,15,4,1,0,0,All
Deborah Canty,,,,,,,,,10,677,433,319,456,418,436,353,372,334,231,214,251,197,235,183,203,257,208,103,121,53,3,1,2,1,All
Wendi Barish,,,,,,,,,,2,436,391,398,424,297,173,280,323,160,129,135,159,242,120,116,149,223,125,85,27,4,0,0,0,All
Zac Shaffer,,,,,,,,,,,2,628,506,186,175,279,144,176,254,120,329,111,64,83,245,198,108,207,64,29,2,2,1,0,All
Daniel R Sulman,,,,,,,,,,,,1,425,171,170,178,87,112,209,167,240,125,52,99,108,116,78,153,40,13,3,2,1,0,All
Leon Goodman,,,,,,,,,,,,,4,239,176,272,141,239,312,161,276,177,201,150,164,212,226,82,71,40,1,1,1,0,All
Deborah Cianfrani,,,,,,,,,,,,,,3,485,213,479,381,205,242,113,185,292,195,122,62,128,126,40,41,0,4,1,1,All
Shanese Johnson,,,,,,,,,,,,,,,8,256,419,365,119,218,104,107,214,106,170,55,58,131,43,41,0,3,0,0,All
Mark B Cohen,,,,,,,,,,,,,,,,11,270,199,213,224,150,150,136,130,171,167,58,64,49,46,0,1,1,0,All
Rania Major,,,,,,,,,,,,,,,,,5,244,213,244,55,233,157,177,83,101,33,71,34,35,0,3,0,1,All
Crystal B Powell,,,,,,,,,,,,,,,,,,3,52,111,130,39,314,58,178,23,160,141,62,56,0,3,0,1,All
John Macoretta,,,,,,,,,,,,,,,,,,,2,237,166,303,44,202,92,181,58,50,48,21,1,0,2,0,All
Vincent Furlong,,,,,,,,,,,,,,,,,,,,7,94,199,79,205,75,62,46,75,56,39,1,0,0,0,All
David Conroy,,,,,,,,,,,,,,,,,,,,,0,67,65,81,191,160,78,99,80,39,0,2,1,0,All
Lawrence J Bozzelli,,,,,,,,,,,,,,,,,,,,,,3,37,207,22,122,57,37,52,15,1,0,0,0,All
Terri M Booker,,,,,,,,,,,,,,,,,,,,,,,8,52,79,31,151,45,54,46,0,2,0,0,All
Brian Mclaughlin,,,,,,,,,,,,,,,,,,,,,,,,1,45,47,55,48,44,30,1,0,0,0,All
Danyl S Patterson,,,,,,,,,,,,,,,,,,,,,,,,,5,76,42,122,30,33,1,3,1,1,All
Leonard Deutchman,,,,,,,,,,,,,,,,,,,,,,,,,,1,61,42,56,11,1,0,2,0,All
Mark J Moore,,,,,,,,,,,,,,,,,,,,,,,,,,,2,27,68,26,2,2,0,0,All
Vincent Melchiorre,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,23,21,1,2,1,0,All
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,32,0,1,0,1,All
Bill Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,All
Dawn M Tancredi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,All
Christian Dicicco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,All
Matthew C Monroe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,All
Betsy Wahl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
