col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Judge Of The Commonwealth Court - Democrat,,,,,,All
,Stella Tsai,Deborah Cianfrani,Vikki Kristiansson,Vincent Furlong,Zac Shaffer,Daniel R Sulman,Lucretia C Clemons,Vincent Melchiorre,Deborah Canty,David Conroy,Shanese Johnson,Mark B Cohen,Rania Major,Brian Mclaughlin,John Macoretta,Lawrence J Bozzelli,Leon Goodman,Henry Mcgregor Sias,Crystal B Powell,Jennifer Schultz,Wendi Barish,Terri M Booker,Mark J Moore,Danyl S Patterson,Jon Marshall,Leonard Deutchman,Bill Rice,Christian Dicicco,Dawn M Tancredi,Matthew C Monroe,Betsy Wahl,Joe Cosgrove,Ellen Ceisler,Timothy Barry,Todd Eagen,Irene M Clark,Bryan Barbin,All
Stella Tsai,9,434,430,367,236,248,225,215,108,202,125,92,154,118,117,113,59,122,53,72,67,37,25,20,19,23,13,2,1,0,0,389,197,180,39,40,9,All
Deborah Cianfrani,,3,402,372,217,220,224,205,102,186,118,102,145,121,114,116,49,113,56,74,61,42,27,19,18,20,17,2,1,0,0,369,178,146,32,37,8,All
Vikki Kristiansson,,,6,358,237,234,219,204,99,209,102,94,139,111,113,111,61,100,57,67,49,30,17,32,11,13,12,1,0,0,0,367,173,133,44,38,6,All
Vincent Furlong,,,,0,210,215,194,197,72,188,81,88,110,101,95,89,45,97,38,47,30,21,21,24,18,14,10,2,0,0,0,341,147,115,28,21,8,All
Zac Shaffer,,,,,1,231,198,216,52,205,29,65,27,19,13,20,43,20,35,29,32,14,14,28,14,17,11,1,1,1,0,210,125,38,55,16,7,All
Daniel R Sulman,,,,,,3,196,215,63,196,43,53,31,24,25,30,44,30,27,35,37,12,14,16,15,24,5,1,1,2,0,222,117,50,28,16,6,All
Lucretia C Clemons,,,,,,,7,177,69,190,59,56,38,17,10,13,39,20,58,47,39,34,26,27,17,3,11,3,2,0,0,207,134,32,22,33,5,All
Vincent Melchiorre,,,,,,,,1,48,186,32,42,29,19,18,20,42,13,20,24,25,15,14,15,8,18,8,1,1,1,0,201,101,36,34,13,4,All
Deborah Canty,,,,,,,,,17,38,92,78,63,38,32,39,74,31,74,82,73,38,27,32,21,22,14,0,2,2,0,77,172,67,38,39,8,All
David Conroy,,,,,,,,,,1,19,41,13,11,7,6,34,14,37,12,12,13,8,27,10,4,7,0,1,0,0,200,76,19,39,15,6,All
Shanese Johnson,,,,,,,,,,,5,82,97,63,53,55,56,45,74,67,55,50,27,25,23,8,21,1,1,0,0,100,139,83,26,38,8,All
Mark B Cohen,,,,,,,,,,,,17,62,65,43,46,61,42,57,59,35,21,20,31,24,17,14,1,1,0,0,83,131,73,36,22,5,All
Rania Major,,,,,,,,,,,,,6,112,104,111,45,98,43,44,44,24,19,16,13,13,14,1,0,0,0,114,109,128,21,29,7,All
Brian Mclaughlin,,,,,,,,,,,,,,5,102,104,39,88,21,28,18,12,12,13,17,18,10,1,0,0,0,110,71,115,18,11,5,All
John Macoretta,,,,,,,,,,,,,,,2,107,23,98,9,17,9,7,7,9,6,16,8,1,0,0,0,103,64,107,10,6,4,All
Lawrence J Bozzelli,,,,,,,,,,,,,,,,3,31,99,10,26,16,6,7,8,14,14,10,0,1,0,0,98,68,106,10,6,4,All
Leon Goodman,,,,,,,,,,,,,,,,,2,31,52,44,41,25,30,34,20,23,17,0,2,2,0,54,110,45,36,19,3,All
Henry Mcgregor Sias,,,,,,,,,,,,,,,,,,0,12,20,19,11,7,7,10,11,4,0,1,0,0,96,56,90,17,8,2,All
Crystal B Powell,,,,,,,,,,,,,,,,,,,0,48,41,55,31,37,23,4,16,1,1,0,0,31,110,28,33,39,9,All
Jennifer Schultz,,,,,,,,,,,,,,,,,,,,1,64,31,16,14,18,18,11,0,1,1,0,34,111,41,20,36,6,All
Wendi Barish,,,,,,,,,,,,,,,,,,,,,1,29,19,8,13,14,10,0,1,1,0,36,96,35,15,25,5,All
Terri M Booker,,,,,,,,,,,,,,,,,,,,,,0,21,12,17,4,13,2,0,0,0,21,65,23,7,29,6,All
Mark J Moore,,,,,,,,,,,,,,,,,,,,,,,6,12,13,6,15,1,0,0,0,25,44,21,6,9,6,All
Danyl S Patterson,,,,,,,,,,,,,,,,,,,,,,,,1,10,6,5,1,0,0,0,22,45,11,26,9,7,All
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,,,,0,3,8,0,0,0,0,20,36,22,4,12,6,All
Leonard Deutchman,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,0,0,1,0,22,28,15,12,3,2,All
Bill Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,14,29,16,4,10,1,All
Christian Dicicco,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,2,1,1,0,0,All
Dawn M Tancredi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,2,0,1,0,0,All
