col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,division
,Judge Of The Municipal Court - Democrat,,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Marissa Brumbach,Matt Wolf,George Twardy,Jon Marshall,Sherman Toppin,Bill Rice,Betsy Wahl,Christian Dicicco,Crystal B Powell,Deborah Cianfrani,Vincent Furlong,Brian Mclaughlin,Stella Tsai,Rania Major,Mark B Cohen,Vikki Kristiansson,Lawrence J Bozzelli,Vincent Melchiorre,John Macoretta,Jennifer Schultz,Deborah Canty,Shanese Johnson,Daniel R Sulman,Henry Mcgregor Sias,Leon Goodman,Wendi Barish,Zac Shaffer,David Conroy,Lucretia C Clemons,Crystal B Powell,Terri M Booker,Leonard Deutchman,Bill Rice,Danyl S Patterson,Mark J Moore,Jon Marshall,Dawn M Tancredi,Matthew C Monroe,Betsy Wahl,Christian Dicicco,All
Marissa Brumbach,4,118,71,31,29,14,1,0,0,205,170,144,179,164,107,137,136,120,98,101,93,94,69,73,58,78,45,40,60,42,37,38,16,23,23,14,1,1,0,0,All
Matt Wolf,,6,51,35,19,16,1,0,0,157,148,163,163,125,121,135,110,69,113,82,74,86,61,87,61,59,45,34,39,34,36,33,24,19,11,18,1,1,0,0,All
George Twardy,,,0,12,8,2,0,0,0,94,108,68,62,74,57,64,71,67,60,42,33,34,55,43,45,25,37,35,20,15,15,18,14,13,11,8,1,0,0,0,All
Jon Marshall,,,,1,10,6,1,0,0,37,38,51,34,24,46,31,28,36,32,43,45,14,36,16,32,36,32,15,14,17,20,24,15,14,15,17,1,2,0,0,All
Sherman Toppin,,,,,1,4,0,0,0,29,22,28,26,29,35,21,17,20,16,36,36,25,16,17,28,19,17,18,16,23,13,17,5,16,12,6,1,1,0,0,All
Bill Rice,,,,,,0,0,0,0,17,24,22,13,16,20,15,10,13,10,18,12,16,10,6,10,10,12,10,15,10,8,7,16,7,10,7,0,0,0,0,All
Betsy Wahl,,,,,,,0,0,0,0,1,1,2,1,0,1,1,1,1,1,2,1,2,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,All
Christian Dicicco,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All
Crystal B Powell,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All
Deborah Cianfrani,,,,,,,,,,3,166,164,176,179,111,138,148,108,98,98,81,85,69,82,39,74,32,30,39,44,43,26,15,23,14,9,0,1,0,0,All
Vincent Furlong,,,,,,,,,,,8,160,119,146,106,121,140,120,125,52,55,67,73,86,52,35,43,40,26,31,22,33,28,19,15,14,0,1,0,0,All
Brian Mclaughlin,,,,,,,,,,,,7,133,120,114,106,126,87,115,68,58,55,50,86,49,45,38,35,26,21,24,36,29,20,16,13,0,0,0,0,All
Stella Tsai,,,,,,,,,,,,,1,139,97,151,106,63,104,89,86,81,41,84,59,73,40,25,48,37,30,21,18,24,16,11,0,0,0,0,All
Rania Major,,,,,,,,,,,,,,3,91,120,137,68,87,65,55,84,54,75,39,54,22,15,23,29,27,16,11,13,14,8,2,1,0,0,All
Mark B Cohen,,,,,,,,,,,,,,,8,79,78,71,72,79,67,49,47,50,54,40,45,30,26,29,27,31,24,25,14,18,1,0,0,0,All
Vikki Kristiansson,,,,,,,,,,,,,,,,3,100,37,114,79,66,72,45,89,47,62,42,32,38,27,31,24,11,13,15,12,2,0,0,0,All
