col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,division
,Judge Of The Superior Court - Democrat,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Maria Mclaughlin,Carolyn H Nichols,Geoff Moulton,Debbie Kunselman,Bill Caye,Vincent Furlong,Brian Mclaughlin,Stella Tsai,Deborah Cianfrani,Vikki Kristiansson,David Conroy,Zac Shaffer,Mark B Cohen,Vincent Melchiorre,Jennifer Schultz,Daniel R Sulman,Deborah Canty,Shanese Johnson,John Macoretta,Wendi Barish,Rania Major,Lawrence J Bozzelli,Lucretia C Clemons,Henry Mcgregor Sias,Leon Goodman,Crystal B Powell,Leonard Deutchman,Terri M Booker,Bill Rice,Mark J Moore,Jon Marshall,Danyl S Patterson,Christian Dicicco,Dawn M Tancredi,Betsy Wahl,Matthew C Monroe,All
Maria Mclaughlin,46,"1,159",793,636,343,"1,066",817,674,653,590,582,555,458,441,369,362,373,352,328,322,310,295,267,254,218,227,130,124,122,115,95,84,2,0,0,0,All
Carolyn H Nichols,,18,755,596,314,751,653,635,582,529,378,374,398,364,342,300,336,344,280,289,295,253,237,237,195,213,110,130,104,109,85,82,2,0,0,0,All
Geoff Moulton,,,7,459,233,515,440,432,452,346,251,286,313,257,241,245,239,223,241,191,226,210,119,217,149,156,102,79,83,89,68,58,2,0,0,0,All
Debbie Kunselman,,,,1,185,385,323,356,361,295,211,245,242,231,252,217,255,199,164,231,171,138,123,128,113,172,75,85,67,72,57,42,1,1,0,0,All
Bill Caye,,,,,5,216,230,138,173,144,124,132,155,122,121,102,134,96,108,100,98,86,63,85,94,65,65,62,72,54,53,47,1,1,0,0,All
Vincent Furlong,,,,,,45,571,443,420,378,463,425,283,359,177,247,178,239,226,164,189,191,167,173,123,130,77,49,80,53,47,41,1,0,0,0,All
Brian Mclaughlin,,,,,,,27,323,350,328,247,183,314,244,192,146,172,158,245,138,178,213,116,182,130,67,80,60,90,72,63,57,1,0,0,0,All
Stella Tsai,,,,,,,,3,401,404,226,220,150,234,197,192,199,259,177,197,216,170,172,171,92,136,47,61,40,44,26,29,2,0,0,0,All
