col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,division
,Judge Of The Municipal Court - Democrat,,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Marissa Brumbach,Matt Wolf,George Twardy,Jon Marshall,Bill Rice,Sherman Toppin,Betsy Wahl,Christian Dicicco,Crystal B Powell,Stella Tsai,Brian Mclaughlin,Vikki Kristiansson,Mark B Cohen,Vincent Furlong,David Conroy,Deborah Cianfrani,Wendi Barish,Jennifer Schultz,Deborah Canty,Vincent Melchiorre,Zac Shaffer,Daniel R Sulman,Lawrence J Bozzelli,Lucretia C Clemons,Rania Major,John Macoretta,Leon Goodman,Henry Mcgregor Sias,Shanese Johnson,Leonard Deutchman,Crystal B Powell,Terri M Booker,Bill Rice,Mark J Moore,Jon Marshall,Danyl S Patterson,Christian Dicicco,Dawn M Tancredi,Matthew C Monroe,Betsy Wahl,All
Marissa Brumbach,11,279,223,86,45,47,0,0,0,465,348,452,290,342,288,316,314,296,290,240,248,229,199,248,228,176,141,143,112,85,99,81,45,60,45,40,0,0,1,0,All
Matt Wolf,,12,51,65,28,23,1,0,0,259,280,226,247,221,125,227,166,182,147,107,122,118,170,85,140,172,123,118,80,71,45,51,54,48,46,30,0,0,1,0,All
George Twardy,,,2,16,11,6,0,0,0,190,130,165,120,173,159,94,118,68,62,144,125,111,62,117,64,59,42,54,45,31,24,18,23,12,4,11,0,0,0,0,All
Jon Marshall,,,,2,17,10,0,0,0,84,97,70,81,79,59,81,76,84,80,59,38,62,67,36,46,60,67,41,30,43,26,30,35,32,34,13,0,1,0,0,All
Bill Rice,,,,,0,3,0,0,0,41,66,37,54,53,40,51,27,42,40,46,25,27,22,22,26,33,19,16,16,14,23,21,50,15,20,15,1,0,0,0,All
Sherman Toppin,,,,,,1,0,0,0,43,32,37,50,28,29,36,34,42,50,25,35,26,14,28,34,17,36,18,26,11,28,20,8,13,4,22,0,0,0,0,All
Betsy Wahl,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All
Christian Dicicco,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All
Crystal B Powell,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All
Stella Tsai,,,,,,,,,,9,245,381,182,240,182,275,242,223,217,172,171,179,157,192,187,140,86,141,99,58,73,51,28,31,33,38,0,0,1,0,All
Brian Mclaughlin,,,,,,,,,,,11,226,250,271,180,250,126,159,138,164,112,105,209,79,142,188,98,121,73,68,43,48,69,50,36,38,0,1,1,0,All
Vikki Kristiansson,,,,,,,,,,,,2,189,266,181,226,241,203,195,148,190,167,160,174,201,164,96,130,94,62,66,49,21,28,25,23,0,0,1,0,All
Mark B Cohen,,,,,,,,,,,,,32,217,145,208,141,176,147,125,138,113,134,61,147,129,137,79,60,81,52,52,55,36,30,26,0,1,0,0,All
Vincent Furlong,,,,,,,,,,,,,,10,205,181,139,110,110,206,164,150,155,109,120,167,82,114,55,47,31,34,48,38,28,25,0,0,0,0,All
David Conroy,,,,,,,,,,,,,,,49,83,133,89,92,182,168,141,70,144,43,61,64,32,30,47,31,32,39,49,25,33,1,1,0,0,All
