col_1,col_2,col_3,division
,City Controller - Republican,Justice Of The Supreme Court - Republican,All
,Michael Tomlinson,Sallie Mundy,All
Michael Tomlinson,3,52,All
Sallie Mundy,,3,All
Total,55,55,All
,City Controller - Republican,Justice Of The Supreme Court - Republican,1
,Michael Tomlinson,Sallie Mundy,1
Michael Tomlinson,0,6,1
Sallie Mundy,,0,1
Total,6,6,1
,Justice Of The Supreme Court - Republican,City Controller - Republican,2
,Sallie Mundy,Michael Tomlinson,2
Sallie Mundy,1,8,2
Michael Tomlinson,,0,2
Total,9,8,2
,City Controller - Republican,Justice Of The Supreme Court - Republican,3
,Michael Tomlinson,Sallie Mundy,3
Michael Tomlinson,0,1,3
Sallie Mundy,,0,3
Total,1,1,3
,City Controller - Republican,Justice Of The Supreme Court - Republican,5
,Michael Tomlinson,Sallie Mundy,5
Michael Tomlinson,0,2,5
Sallie Mundy,,0,5
Total,2,2,5
,City Controller - Republican,Justice Of The Supreme Court - Republican,6
,Michael Tomlinson,Sallie Mundy,6
Michael Tomlinson,0,2,6
Sallie Mundy,,0,6
Total,2,2,6
,City Controller - Republican,Justice Of The Supreme Court - Republican,7
,Michael Tomlinson,Sallie Mundy,7
Michael Tomlinson,1,9,7
Sallie Mundy,,0,7
Total,10,9,7
,City Controller - Republican,Justice Of The Supreme Court - Republican,8
,Michael Tomlinson,Sallie Mundy,8
Michael Tomlinson,0,1,8
Sallie Mundy,,0,8
Total,1,1,8
,City Controller - Republican,Justice Of The Supreme Court - Republican,9
,Michael Tomlinson,Sallie Mundy,9
Michael Tomlinson,0,1,9
Sallie Mundy,,0,9
Total,1,1,9
,City Controller - Republican,Justice Of The Supreme Court - Republican,10
,Michael Tomlinson,Sallie Mundy,10
Michael Tomlinson,0,2,10
Sallie Mundy,,0,10
Total,2,2,10
,Justice Of The Supreme Court - Republican,City Controller - Republican,11
,Sallie Mundy,Michael Tomlinson,11
Sallie Mundy,1,4,11
Michael Tomlinson,,0,11
Total,5,4,11
,City Controller - Republican,Justice Of The Supreme Court - Republican,12
,Michael Tomlinson,Sallie Mundy,12
Michael Tomlinson,0,1,12
Sallie Mundy,,0,12
Total,1,1,12
,City Controller - Republican,Justice Of The Supreme Court - Republican,13
,Michael Tomlinson,Sallie Mundy,13
Michael Tomlinson,0,2,13
Sallie Mundy,,0,13
Total,2,2,13
,City Controller - Republican,Justice Of The Supreme Court - Republican,15
,Michael Tomlinson,Sallie Mundy,15
Michael Tomlinson,1,5,15
Sallie Mundy,,1,15
Total,6,6,15
,City Controller - Republican,Justice Of The Supreme Court - Republican,20
,Michael Tomlinson,Sallie Mundy,20
Michael Tomlinson,0,2,20
Sallie Mundy,,0,20
Total,2,2,20
,City Controller - Republican,Justice Of The Supreme Court - Republican,23
,Michael Tomlinson,Sallie Mundy,23
Michael Tomlinson,1,6,23
Sallie Mundy,,0,23
Total,7,6,23
