col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,division
,Judge Of The Superior Court - Democrat,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Maria Mclaughlin,Carolyn H Nichols,Geoff Moulton,Debbie Kunselman,Bill Caye,Vikki Kristiansson,Stella Tsai,Lucretia C Clemons,Wendi Barish,Jennifer Schultz,Henry Mcgregor Sias,Deborah Canty,Leon Goodman,Zac Shaffer,Deborah Cianfrani,Daniel R Sulman,John Macoretta,Lawrence J Bozzelli,Mark B Cohen,Shanese Johnson,Vincent Furlong,Rania Major,Brian Mclaughlin,David Conroy,Leonard Deutchman,Vincent Melchiorre,Crystal B Powell,Mark J Moore,Terri M Booker,Danyl S Patterson,Jon Marshall,Bill Rice,Christian Dicicco,Dawn M Tancredi,Betsy Wahl,Matthew C Monroe,All
Maria Mclaughlin,26,"2,233","1,944","1,513",378,"2,049","1,643","1,200",965,954,892,833,777,783,781,712,689,590,515,548,513,530,516,416,329,322,330,237,214,207,165,81,3,2,1,0,All
Carolyn H Nichols,,28,"1,779","1,476",361,"1,837","1,564","1,055",917,909,776,784,619,750,774,683,544,546,493,542,477,510,469,390,298,316,323,236,209,208,156,76,3,2,1,0,All
Geoff Moulton,,,10,"1,348",290,"1,659","1,353","1,017",759,732,810,639,665,676,608,603,617,489,405,424,419,405,396,365,280,269,230,205,149,195,138,60,2,2,0,1,All
Debbie Kunselman,,,,8,185,"1,280","1,139",805,753,761,540,661,456,549,557,504,355,361,286,397,294,348,278,295,227,230,257,183,166,159,123,41,2,1,1,1,All
Bill Caye,,,,,1,266,228,121,157,170,133,155,118,111,189,114,140,149,148,113,113,155,133,67,66,91,78,49,67,30,44,51,0,0,1,0,All
Vikki Kristiansson,,,,,,78,"1,497","1,094",851,806,847,701,706,687,673,614,654,495,393,461,426,456,390,351,273,255,259,183,169,178,120,51,2,3,2,1,All
Stella Tsai,,,,,,,12,903,776,769,663,641,463,607,647,596,412,432,283,445,335,418,334,295,214,229,245,164,155,164,93,31,1,1,1,1,All
Lucretia C Clemons,,,,,,,,3,615,557,598,502,494,469,259,398,358,214,160,223,147,176,118,240,176,121,223,168,114,113,84,27,2,1,1,1,All
Wendi Barish,,,,,,,,,2,673,358,608,315,329,312,281,196,253,180,228,149,249,149,158,182,81,181,141,135,44,81,26,1,1,1,1,All
Jennifer Schultz,,,,,,,,,,2,325,588,265,281,357,249,185,209,205,241,129,268,164,117,160,76,193,153,138,41,81,30,2,2,1,1,All
Henry Mcgregor Sias,,,,,,,,,,,2,260,421,321,213,322,454,283,181,104,244,168,234,94,90,76,51,96,33,55,48,19,1,1,0,0,All
Deborah Canty,,,,,,,,,,,,1,254,208,301,192,169,227,156,237,151,233,149,140,154,65,179,136,123,48,86,24,2,0,1,1,All
Leon Goodman,,,,,,,,,,,,,5,304,122,239,369,197,189,89,192,101,149,152,157,77,64,116,45,40,65,24,0,0,0,0,All
Zac Shaffer,,,,,,,,,,,,,,3,202,421,163,157,203,166,110,120,124,251,114,210,87,108,42,127,70,23,0,1,0,1,All
