col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,division
,District Attorney - Democrat,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Lawrence S Krasner,Joe Khan,Tariq Karim El Shabazz,Rich Negrin,Michael W Untermeyer,Teresa Carr Deni,John O Neill,Stella Tsai,Vikki Kristiansson,Lucretia C Clemons,Jennifer Schultz,Henry Mcgregor Sias,Deborah Canty,Wendi Barish,Zac Shaffer,Daniel R Sulman,Leon Goodman,Deborah Cianfrani,Shanese Johnson,Mark B Cohen,Rania Major,Crystal B Powell,John Macoretta,Vincent Furlong,David Conroy,Lawrence J Bozzelli,Terri M Booker,Brian Mclaughlin,Danyl S Patterson,Leonard Deutchman,Mark J Moore,Vincent Melchiorre,Jon Marshall,Bill Rice,Dawn M Tancredi,Christian Dicicco,Matthew C Monroe,Betsy Wahl,All
Lawrence S Krasner,367,0,0,0,0,0,0,"1,748","1,699","1,605","1,219","1,243",970,"1,021",905,846,751,674,541,488,527,505,400,365,340,314,372,275,281,240,322,222,140,62,5,2,1,1,All
Joe Khan,,72,0,0,0,0,0,264,273,183,153,131,149,119,132,106,122,96,88,134,109,66,111,95,66,99,52,72,31,77,41,34,41,21,0,0,1,0,All
Tariq Karim El Shabazz,,,49,0,0,0,0,100,136,90,55,35,141,37,101,60,107,116,141,115,82,122,69,88,80,31,64,43,101,53,20,76,15,20,1,3,0,0,All
Rich Negrin,,,,25,0,0,0,132,126,66,79,67,59,53,35,55,62,59,44,44,51,17,67,57,40,63,11,51,14,34,21,16,9,6,0,0,0,0,All
Michael W Untermeyer,,,,,18,0,0,40,35,23,25,21,31,14,21,14,24,39,47,41,28,23,22,28,16,22,20,23,17,12,5,18,7,7,0,0,0,0,All
Teresa Carr Deni,,,,,,1,0,19,20,13,15,2,17,15,5,4,8,12,15,6,14,11,4,5,6,3,7,3,6,2,4,3,6,6,0,0,0,0,All
John O Neill,,,,,,,3,11,11,6,8,5,6,2,6,5,6,10,8,10,7,3,4,6,6,5,2,6,1,3,1,4,2,2,0,0,0,0,All
Stella Tsai,,,,,,,,4,"1,759","1,453","1,132","1,140",894,915,830,926,599,678,580,355,530,338,435,389,325,355,223,303,195,200,209,199,102,40,4,2,0,0,All
Vikki Kristiansson,,,,,,,,,2,"1,413","1,069","1,081",940,843,896,832,684,552,460,489,564,340,541,393,352,397,192,290,243,299,182,166,95,22,3,0,1,0,All
