col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,division
,Judge Of The Superior Court - Democrat,,,,,Judge Of The Commonwealth Court - Democrat,,,,,,All
,Carolyn H Nichols,Maria Mclaughlin,Geoff Moulton,Debbie Kunselman,Bill Caye,Ellen Ceisler,Joe Cosgrove,Timothy Barry,Todd Eagen,Irene M Clark,Bryan Barbin,All
Carolyn H Nichols,147,"1,974","1,482","1,207",432,"1,716",805,738,475,276,38,All
Maria Mclaughlin,,74,"1,476","1,221",440,"1,641",796,628,466,261,41,All
Geoff Moulton,,,18,"1,006",299,"1,130",686,525,431,175,39,All
Debbie Kunselman,,,,18,240,"1,084",504,318,350,205,32,All
Bill Caye,,,,,7,372,141,199,111,102,29,All
Ellen Ceisler,,,,,,28,435,279,431,238,22,All
Joe Cosgrove,,,,,,,19,282,42,14,3,All
Timothy Barry,,,,,,,,11,31,18,13,All
Todd Eagen,,,,,,,,,3,6,3,All
Irene M Clark,,,,,,,,,,11,6,All
Bryan Barbin,,,,,,,,,,,1,All
Total,"2,646","2,365","1,667","1,389",529,"1,992",979,889,550,315,53,All
,Judge Of The Superior Court - Democrat,,,,,Judge Of The Commonwealth Court - Democrat,,,,,,1
,Carolyn H Nichols,Maria Mclaughlin,Geoff Moulton,Debbie Kunselman,Bill Caye,Ellen Ceisler,Joe Cosgrove,Timothy Barry,Todd Eagen,Irene M Clark,Bryan Barbin,1
Carolyn H Nichols,5,63,47,38,12,56,40,13,9,11,1,1
Maria Mclaughlin,,4,48,40,15,55,40,11,10,10,1,1
Geoff Moulton,,,0,35,12,42,33,12,11,6,1,1
Debbie Kunselman,,,,0,7,39,23,6,5,7,1,1
Bill Caye,,,,,0,14,5,3,4,5,0,1
Ellen Ceisler,,,,,,1,24,5,9,10,1,1
Joe Cosgrove,,,,,,,2,8,3,0,0,1
Timothy Barry,,,,,,,,0,1,0,0,1
Todd Eagen,,,,,,,,,0,0,0,1
Irene M Clark,,,,,,,,,,0,0,1
Bryan Barbin,,,,,,,,,,,0,1
Total,81,77,56,43,16,64,50,17,13,12,1,1
,Judge Of The Superior Court - Democrat,,,,,Judge Of The Commonwealth Court - Democrat,,,,,,2
,Carolyn H Nichols,Maria Mclaughlin,Geoff Moulton,Debbie Kunselman,Bill Caye,Ellen Ceisler,Joe Cosgrove,Timothy Barry,Todd Eagen,Irene M Clark,Bryan Barbin,2
