col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,division
,Judge Of The Municipal Court - Democrat,,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Marissa Brumbach,Matt Wolf,Sherman Toppin,George Twardy,Jon Marshall,Bill Rice,Betsy Wahl,Christian Dicicco,Crystal B Powell,Vikki Kristiansson,Stella Tsai,Lucretia C Clemons,Shanese Johnson,Zac Shaffer,Deborah Canty,Leon Goodman,Mark B Cohen,Crystal B Powell,Deborah Cianfrani,Danyl S Patterson,Jennifer Schultz,Rania Major,David Conroy,Henry Mcgregor Sias,Wendi Barish,John Macoretta,Vincent Melchiorre,Vincent Furlong,Terri M Booker,Brian Mclaughlin,Lawrence J Bozzelli,Daniel R Sulman,Mark J Moore,Leonard Deutchman,Bill Rice,Jon Marshall,Dawn M Tancredi,Matthew C Monroe,Christian Dicicco,Betsy Wahl,All
Marissa Brumbach,14,332,118,221,57,31,1,0,0,644,580,418,412,392,372,239,289,272,273,305,254,251,278,274,231,256,194,168,108,154,165,160,80,134,33,35,1,1,1,0,All
Matt Wolf,,20,69,53,56,25,0,0,0,383,322,170,237,226,237,231,262,119,271,154,115,216,182,161,105,257,82,172,70,150,144,96,53,114,32,31,2,2,0,0,All
Sherman Toppin,,,12,40,17,21,1,0,0,178,112,235,154,153,185,210,116,223,142,142,135,93,99,101,133,42,98,83,110,64,31,57,112,34,21,21,3,3,0,0,All
George Twardy,,,,4,15,10,0,0,0,249,226,168,202,190,120,74,98,168,79,152,61,79,149,80,48,72,129,90,33,54,61,62,35,29,10,21,1,2,0,0,All
Jon Marshall,,,,,2,25,0,0,0,61,72,60,74,51,87,74,55,50,48,31,66,52,34,34,63,41,30,45,44,40,34,44,41,32,20,21,0,1,0,0,All
Bill Rice,,,,,,2,0,2,0,36,43,43,63,21,61,53,61,60,45,31,38,52,24,21,31,22,20,36,50,24,13,24,22,11,45,23,0,0,1,0,All
Betsy Wahl,,,,,,,0,0,0,1,2,0,0,0,1,1,1,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,All
Christian Dicicco,,,,,,,,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,1,0,1,1,0,0,1,0,All
Crystal B Powell,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All
Vikki Kristiansson,,,,,,,,,,14,559,391,341,418,355,264,280,273,267,306,217,268,305,261,213,285,181,206,85,164,165,116,65,136,22,25,4,2,1,0,All
Stella Tsai,,,,,,,,,,,8,373,364,275,255,150,173,223,289,192,223,244,185,283,218,198,192,190,73,144,174,151,68,44,31,26,3,3,0,0,All
Lucretia C Clemons,,,,,,,,,,,,10,315,324,251,229,106,368,186,280,235,114,254,185,233,58,211,69,137,57,42,136,147,28,37,35,0,0,1,0,All
Shanese Johnson,,,,,,,,,,,,,12,238,241,162,171,308,238,223,140,202,194,86,129,95,189,118,114,75,89,93,61,30,51,36,1,1,0,0,All
