col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Judge Of The Commonwealth Court - Democrat,,,,,,All
,Stella Tsai,Vikki Kristiansson,Deborah Cianfrani,Vincent Furlong,Lucretia C Clemons,Daniel R Sulman,Zac Shaffer,Shanese Johnson,David Conroy,Vincent Melchiorre,Mark B Cohen,Deborah Canty,Leon Goodman,Rania Major,Crystal B Powell,Jennifer Schultz,John Macoretta,Brian Mclaughlin,Terri M Booker,Henry Mcgregor Sias,Danyl S Patterson,Mark J Moore,Wendi Barish,Lawrence J Bozzelli,Leonard Deutchman,Bill Rice,Jon Marshall,Matthew C Monroe,Christian Dicicco,Dawn M Tancredi,Betsy Wahl,Joe Cosgrove,Ellen Ceisler,Timothy Barry,Irene M Clark,Todd Eagen,Bryan Barbin,All
Stella Tsai,32,"1,994","2,012","1,856","1,504","1,554","1,239",637,"1,150","1,132",425,428,328,456,258,296,318,258,165,252,128,177,234,258,70,61,73,5,1,1,0,"1,930","1,491",382,126,84,18,All
Vikki Kristiansson,,10,"1,927","1,795","1,422","1,482","1,273",554,"1,197","1,081",479,459,367,473,259,283,350,213,129,289,195,145,178,277,142,38,61,5,1,2,0,"1,851","1,399",318,99,122,12,All
Deborah Cianfrani,,,10,"1,868","1,418","1,531","1,174",581,"1,117","1,110",411,348,282,450,250,261,288,227,181,268,110,147,187,237,56,52,62,4,1,2,0,"1,862","1,349",339,108,66,18,All
Vincent Furlong,,,,5,"1,322","1,522","1,149",463,"1,122","1,105",345,274,249,324,153,144,262,227,103,203,100,109,89,201,43,68,57,5,1,1,0,"1,777","1,234",271,73,70,10,All
Lucretia C Clemons,,,,,27,"1,197","1,185",606,"1,195","1,118",387,416,417,267,403,254,115,107,254,121,230,267,204,75,49,79,89,4,1,0,0,"1,424","1,454",192,132,86,17,All
Daniel R Sulman,,,,,,2,"1,104",296,"1,021","1,056",217,260,208,159,115,153,108,70,75,73,79,92,120,71,66,32,56,3,1,1,0,"1,492","1,100",142,48,73,13,All
Zac Shaffer,,,,,,,4,253,"1,108","1,083",262,257,304,148,147,122,126,72,54,56,143,80,112,57,96,28,41,0,2,1,0,"1,185","1,076",130,41,112,6,All
Shanese Johnson,,,,,,,,81,213,206,539,495,436,462,409,309,215,174,279,170,227,195,223,181,74,111,89,5,1,0,0,590,889,346,158,99,20,All
David Conroy,,,,,,,,,2,982,218,234,251,86,169,65,93,52,57,26,172,88,45,26,64,35,35,1,0,1,0,"1,158",967,87,33,106,8,All
Vincent Melchiorre,,,,,,,,,,3,158,151,153,96,79,67,61,58,45,39,68,88,88,36,50,26,40,2,2,0,0,"1,107",930,100,34,51,3,All
Mark B Cohen,,,,,,,,,,,44,454,375,407,283,272,241,198,200,161,207,133,152,193,147,77,76,4,1,1,0,410,678,283,118,116,19,All
Deborah Canty,,,,,,,,,,,,16,367,330,333,318,149,124,208,119,225,161,221,132,154,71,58,5,2,2,0,364,688,200,128,145,11,All
Leon Goodman,,,,,,,,,,,,,18,215,291,200,169,138,180,127,242,204,192,101,138,75,67,3,1,1,0,322,604,186,97,155,23,All
Rania Major,,,,,,,,,,,,,,8,226,250,261,232,154,262,100,97,158,280,102,55,58,1,0,1,0,366,492,335,112,73,14,All
Crystal B Powell,,,,,,,,,,,,,,,1,196,48,79,254,75,222,175,158,34,26,77,65,4,0,1,0,212,496,126,114,115,11,All
Jennifer Schultz,,,,,,,,,,,,,,,,3,80,89,156,139,64,109,213,102,106,53,49,2,0,1,0,209,447,147,91,64,12,All
John Macoretta,,,,,,,,,,,,,,,,,4,193,44,219,69,31,60,236,73,33,22,1,1,1,0,290,255,232,34,45,6,All
Brian Mclaughlin,,,,,,,,,,,,,,,,,,5,60,168,41,70,64,188,33,49,40,3,2,0,0,209,244,201,59,42,7,All
Terri M Booker,,,,,,,,,,,,,,,,,,,4,68,106,143,116,34,24,71,54,3,0,0,0,142,343,108,93,32,7,All
Henry Mcgregor Sias,,,,,,,,,,,,,,,,,,,,1,27,65,85,238,67,20,26,1,0,0,0,243,230,189,30,41,8,All
Danyl S Patterson,,,,,,,,,,,,,,,,,,,,,8,110,65,14,48,46,39,2,0,1,0,147,292,87,52,101,6,All
Mark J Moore,,,,,,,,,,,,,,,,,,,,,,16,84,32,29,44,57,1,1,0,0,166,298,87,66,36,9,All
Wendi Barish,,,,,,,,,,,,,,,,,,,,,,,3,56,55,24,35,4,0,0,0,151,341,98,76,44,10,All
Lawrence J Bozzelli,,,,,,,,,,,,,,,,,,,,,,,,1,90,20,22,1,1,0,0,214,199,196,29,36,5,All
Leonard Deutchman,,,,,,,,,,,,,,,,,,,,,,,,,1,19,20,1,0,0,0,80,144,60,27,43,9,All
Bill Rice,,,,,,,,,,,,,,,,,,,,,,,,,,1,36,0,2,0,0,62,128,54,42,25,5,All
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0,0,0,78,113,55,41,18,2,All
Matthew C Monroe,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,5,8,2,4,1,0,All
Christian Dicicco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,2,1,0,0,0,All
Dawn M Tancredi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,All
Betsy Wahl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,All
Joe Cosgrove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,"1,256",218,36,36,10,All
Ellen Ceisler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,287,174,154,22,All
Timothy Barry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,30,29,8,All
Irene M Clark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,10,2,All
Todd Eagen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,All
Bryan Barbin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
