col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Judge Of The Commonwealth Court - Democrat,,,,,,All
,Vikki Kristiansson,Stella Tsai,Lucretia C Clemons,Wendi Barish,Jennifer Schultz,Henry Mcgregor Sias,Deborah Canty,Leon Goodman,Zac Shaffer,Deborah Cianfrani,Daniel R Sulman,John Macoretta,Lawrence J Bozzelli,Mark B Cohen,Shanese Johnson,Vincent Furlong,Rania Major,Brian Mclaughlin,David Conroy,Leonard Deutchman,Vincent Melchiorre,Crystal B Powell,Mark J Moore,Terri M Booker,Danyl S Patterson,Jon Marshall,Bill Rice,Christian Dicicco,Dawn M Tancredi,Betsy Wahl,Matthew C Monroe,Ellen Ceisler,Joe Cosgrove,Todd Eagen,Timothy Barry,Irene M Clark,Bryan Barbin,All
Vikki Kristiansson,108,"1,497","1,094",851,806,847,701,706,687,673,614,654,495,393,461,426,456,390,351,273,255,259,183,169,178,120,51,2,3,2,1,"1,814",688,593,366,239,29,All
Stella Tsai,,23,903,776,769,663,641,463,607,647,596,412,432,283,445,335,418,334,295,214,229,245,164,155,164,93,31,1,1,1,1,"1,449",604,511,324,209,25,All
Lucretia C Clemons,,,6,615,557,598,502,494,469,259,398,358,214,160,223,147,176,118,240,176,121,223,168,114,113,84,27,2,1,1,1,"1,137",396,379,96,158,25,All
Wendi Barish,,,,3,673,358,608,315,329,312,281,196,253,180,228,149,249,149,158,182,81,181,141,135,44,81,26,1,1,1,1,918,388,199,153,182,20,All
Jennifer Schultz,,,,,2,325,588,265,281,357,249,185,209,205,241,129,268,164,117,160,76,193,153,138,41,81,30,2,2,1,1,879,374,195,164,197,20,All
Henry Mcgregor Sias,,,,,,4,260,421,321,213,322,454,283,181,104,244,168,234,94,90,76,51,96,33,55,48,19,1,1,0,0,782,394,250,182,66,15,All
Deborah Canty,,,,,,,2,254,208,301,192,169,227,156,237,151,233,149,140,154,65,179,136,123,48,86,24,2,0,1,1,755,348,135,146,169,18,All
Leon Goodman,,,,,,,,4,304,122,239,369,197,189,89,192,101,149,152,157,77,64,116,45,40,65,24,0,0,0,0,705,284,169,128,55,16,All
Zac Shaffer,,,,,,,,,4,202,421,163,157,203,166,110,120,124,251,114,210,87,108,42,127,70,23,0,1,0,1,711,259,350,112,53,15,All
