col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,division
,District Attorney - Democrat,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Rich Negrin,Lawrence S Krasner,Joe Khan,Michael W Untermeyer,Tariq Karim El Shabazz,John O Neill,Teresa Carr Deni,Deborah Cianfrani,Daniel R Sulman,Zac Shaffer,Stella Tsai,Vikki Kristiansson,Rania Major,Mark B Cohen,Henry Mcgregor Sias,Vincent Furlong,Shanese Johnson,Jennifer Schultz,John Macoretta,Brian Mclaughlin,Lucretia C Clemons,Terri M Booker,Wendi Barish,Deborah Canty,Lawrence J Bozzelli,Leon Goodman,Leonard Deutchman,Vincent Melchiorre,Mark J Moore,Crystal B Powell,Danyl S Patterson,David Conroy,Jon Marshall,Bill Rice,Christian Dicicco,Matthew C Monroe,Betsy Wahl,Dawn M Tancredi,All
Rich Negrin,28,0,0,0,0,0,0,195,163,155,32,23,22,20,14,16,19,11,19,19,10,22,6,5,14,4,4,8,5,9,6,6,1,3,0,0,0,0,All
Lawrence S Krasner,,41,0,0,0,0,0,36,25,31,48,40,29,20,33,28,23,24,16,13,27,15,24,22,13,24,15,14,13,7,8,5,5,3,0,0,0,0,All
Joe Khan,,,12,0,0,0,0,21,8,9,23,22,23,15,10,14,11,12,12,11,7,6,10,13,11,7,6,4,5,4,4,3,3,3,1,0,0,0,All
Michael W Untermeyer,,,,4,0,0,0,13,7,3,8,8,5,9,3,5,7,5,7,11,1,1,1,3,4,4,1,0,1,3,0,0,1,0,0,0,0,0,All
Tariq Karim El Shabazz,,,,,11,0,0,8,5,4,8,4,8,3,4,2,6,4,3,2,6,3,4,2,1,2,2,3,1,4,2,1,2,0,0,0,0,0,All
John O Neill,,,,,,2,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,2,1,1,0,3,0,1,2,0,1,1,1,1,0,0,0,0,All
Teresa Carr Deni,,,,,,,1,1,0,0,2,0,2,2,0,0,1,3,0,0,0,2,2,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,All
Deborah Cianfrani,,,,,,,,1,174,163,70,52,46,30,34,34,33,29,37,35,19,15,21,19,30,12,8,10,10,17,8,8,6,4,0,0,0,0,All
Daniel R Sulman,,,,,,,,,2,167,25,17,16,12,9,11,13,14,8,4,16,5,14,7,4,12,5,16,4,5,5,8,3,2,0,0,0,0,All
Zac Shaffer,,,,,,,,,,0,35,28,24,13,19,16,12,13,8,4,16,6,16,12,5,15,14,13,7,5,8,6,3,3,0,0,0,0,All
Stella Tsai,,,,,,,,,,,2,73,61,30,53,50,36,37,39,32,32,16,38,29,31,23,22,15,13,15,12,11,6,3,0,0,0,0,All
Vikki Kristiansson,,,,,,,,,,,,1,60,19,52,49,30,25,43,26,22,6,28,22,31,13,18,8,7,7,4,4,1,0,0,0,0,0,All
Rania Major,,,,,,,,,,,,,5,28,40,47,32,22,30,31,16,12,20,19,31,8,17,7,5,8,7,2,3,2,0,0,0,0,All
Mark B Cohen,,,,,,,,,,,,,,2,12,23,26,18,16,22,8,10,11,17,15,15,7,9,10,11,8,5,5,5,0,0,0,0,All
Henry Mcgregor Sias,,,,,,,,,,,,,,,1,41,13,11,28,23,15,5,12,6,23,8,15,6,7,2,4,3,4,1,0,0,0,0,All
Vincent Furlong,,,,,,,,,,,,,,,,0,23,7,35,25,5,9,9,10,26,9,15,9,6,3,0,4,3,1,0,0,0,0,All
Shanese Johnson,,,,,,,,,,,,,,,,,0,19,18,13,19,12,18,24,14,15,1,14,11,13,13,7,3,4,0,0,0,0,All
Jennifer Schultz,,,,,,,,,,,,,,,,,,1,5,10,27,13,32,25,7,18,8,8,17,17,6,4,4,4,0,0,0,0,All
John Macoretta,,,,,,,,,,,,,,,,,,,3,25,5,3,10,10,31,10,8,4,4,1,3,4,2,2,0,0,0,0,All
Brian Mclaughlin,,,,,,,,,,,,,,,,,,,,1,8,6,5,5,25,8,5,3,5,7,4,2,4,3,0,0,0,0,All
Lucretia C Clemons,,,,,,,,,,,,,,,,,,,,,0,11,23,19,5,15,7,13,13,14,12,9,5,2,0,0,0,0,All
Terri M Booker,,,,,,,,,,,,,,,,,,,,,,1,15,13,4,8,4,10,10,9,7,4,3,3,0,0,0,0,All
Wendi Barish,,,,,,,,,,,,,,,,,,,,,,,0,25,6,15,8,14,10,9,4,3,3,3,0,0,0,0,All
Deborah Canty,,,,,,,,,,,,,,,,,,,,,,,,1,7,14,8,8,11,12,9,4,4,5,0,0,0,0,All
Lawrence J Bozzelli,,,,,,,,,,,,,,,,,,,,,,,,,0,7,6,3,1,2,2,2,4,1,0,0,0,0,All
Leon Goodman,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,12,15,9,11,3,6,3,0,0,0,0,All
Leonard Deutchman,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,4,1,3,1,5,0,0,0,0,0,All
Vincent Melchiorre,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,6,11,6,5,2,0,0,0,0,All
Mark J Moore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,10,5,3,5,0,0,0,0,All
Crystal B Powell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,4,3,3,0,0,0,0,All
