col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,division
,Judge Of The Municipal Court - Democrat,,,,,,,,,District Attorney - Democrat,,,,,,,All
,Marissa Brumbach,Matt Wolf,George Twardy,Sherman Toppin,Jon Marshall,Bill Rice,Betsy Wahl,Crystal B Powell,Christian Dicicco,Lawrence S Krasner,Joe Khan,Rich Negrin,Tariq Karim El Shabazz,Michael W Untermeyer,John O Neill,Teresa Carr Deni,All
Marissa Brumbach,766,"26,733","17,911","7,510","5,724","1,749",22,19,5,"31,761","15,721","10,772","6,758","5,022","4,130","1,399",All
Matt Wolf,,623,"4,287","3,783","3,569","1,417",27,9,10,"16,676","11,624","9,299","5,797","4,338","2,353",587,All
George Twardy,,,288,"2,130","1,283",439,3,3,2,"11,295","6,287","4,065","2,564","3,153","2,525",399,All
Sherman Toppin,,,,247,"1,488",794,15,13,4,"10,448","2,785","1,670","3,924","1,164",707,316,All
Jon Marshall,,,,,71,853,28,5,7,"5,776","2,989","1,828","2,288","1,056",754,282,All
Bill Rice,,,,,,52,9,4,10,"2,022","1,210",692,972,583,566,277,All
Betsy Wahl,,,,,,,1,0,2,42,13,17,38,11,2,4,All
Crystal B Powell,,,,,,,,1,1,23,16,3,6,6,1,6,All
Christian Dicicco,,,,,,,,,4,11,12,10,10,4,1,2,All
Lawrence S Krasner,,,,,,,,,,"12,323",0,0,0,0,0,0,All
Joe Khan,,,,,,,,,,,"6,189",0,0,0,0,0,All
Rich Negrin,,,,,,,,,,,,"4,602",0,0,0,0,All
Tariq Karim El Shabazz,,,,,,,,,,,,,"4,035",0,0,0,All
Michael W Untermeyer,,,,,,,,,,,,,,"2,641",0,0,All
John O Neill,,,,,,,,,,,,,,,"2,377",0,All
Teresa Carr Deni,,,,,,,,,,,,,,,,282,All
Total,"77,562","51,905","31,338","21,500","15,131","6,414",130,62,55,"58,632","31,114","21,798","17,793","12,472","9,090","2,240",All
