col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,division
,City Controller - Democrat,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Rebecca Rhynhart,Alan L Butkovitz,Bobbie T Curry,Vikki Kristiansson,Stella Tsai,Vincent Furlong,Mark B Cohen,Lucretia C Clemons,Zac Shaffer,Deborah Cianfrani,Daniel R Sulman,Crystal B Powell,Deborah Canty,Shanese Johnson,Brian Mclaughlin,Rania Major,Vincent Melchiorre,David Conroy,Jennifer Schultz,Leon Goodman,Lawrence J Bozzelli,John Macoretta,Wendi Barish,Henry Mcgregor Sias,Terri M Booker,Mark J Moore,Danyl S Patterson,Jon Marshall,Leonard Deutchman,Bill Rice,Dawn M Tancredi,Betsy Wahl,Matthew C Monroe,Christian Dicicco,All
Rebecca Rhynhart,68,0,0,305,334,227,257,179,120,244,123,142,228,237,190,222,90,88,199,134,156,129,147,118,123,89,59,65,50,50,1,0,0,0,All
Alan L Butkovitz,,41,0,334,303,333,264,231,255,134,227,224,118,120,137,106,215,225,84,124,88,108,64,87,68,50,58,40,36,36,0,0,0,0,All
Bobbie T Curry,,,1,4,10,3,3,1,1,3,2,0,3,1,4,2,1,1,3,3,3,2,4,1,3,2,2,0,3,1,0,0,0,0,All
Vikki Kristiansson,,,,3,442,408,191,276,294,217,255,239,175,144,153,195,212,243,149,110,149,144,109,140,65,40,60,34,40,16,0,1,0,0,All
Stella Tsai,,,,,6,346,186,274,242,233,242,226,180,164,177,198,194,197,154,103,150,139,127,136,81,53,36,39,39,25,1,0,0,0,All
Vincent Furlong,,,,,,1,184,228,276,171,234,206,100,120,170,147,224,234,86,109,129,138,54,115,47,47,49,38,28,24,0,0,0,0,All
Mark B Cohen,,,,,,,26,100,116,162,91,113,173,147,156,141,72,78,133,129,104,99,79,86,98,53,57,50,36,46,0,0,0,0,All
Lucretia C Clemons,,,,,,,,0,226,71,219,244,119,122,47,77,198,214,90,84,33,38,87,38,82,71,51,40,17,26,2,0,0,0,All
Zac Shaffer,,,,,,,,,2,53,253,195,95,51,37,57,226,234,64,108,31,52,54,20,37,38,47,34,32,17,2,0,1,0,All
