col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,division
,Judge Of The Commonwealth Court - Democrat,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Ellen Ceisler,Todd Eagen,Joe Cosgrove,Timothy Barry,Irene M Clark,Bryan Barbin,Vikki Kristiansson,Stella Tsai,Lucretia C Clemons,Jennifer Schultz,Henry Mcgregor Sias,Deborah Canty,Leon Goodman,John Macoretta,Daniel R Sulman,Zac Shaffer,Wendi Barish,Deborah Cianfrani,Rania Major,Lawrence J Bozzelli,Shanese Johnson,Mark B Cohen,Brian Mclaughlin,Vincent Furlong,David Conroy,Crystal B Powell,Leonard Deutchman,Mark J Moore,Terri M Booker,Vincent Melchiorre,Jon Marshall,Danyl S Patterson,Bill Rice,Dawn M Tancredi,Christian Dicicco,Matthew C Monroe,Betsy Wahl,All
Ellen Ceisler,34,"1,081",482,180,187,11,"1,814","1,738","1,497","1,436","1,367","1,319","1,257","1,119","1,093",822,637,397,382,311,331,312,256,238,185,203,171,152,165,146,103,95,52,4,2,2,0,All
Todd Eagen,,2,44,15,7,2,"1,025","1,002",883,846,898,796,850,787,834,331,161,98,98,74,90,122,77,67,78,44,44,35,32,46,28,50,21,1,1,1,0,All
Joe Cosgrove,,,9,129,12,5,520,525,394,369,346,333,264,258,211,336,287,195,146,230,131,115,170,150,102,60,110,122,40,76,72,29,21,0,1,1,0,All
Timothy Barry,,,,5,12,6,225,236,95,137,165,121,111,165,85,133,99,163,152,145,100,120,129,120,22,39,50,30,35,39,25,22,22,1,0,0,0,All
Irene M Clark,,,,,0,2,152,145,104,138,50,119,43,33,36,91,119,113,98,22,106,41,32,36,23,67,17,12,66,12,16,21,14,1,1,0,0,All
Bryan Barbin,,,,,,0,13,14,11,6,7,11,10,9,7,12,7,11,9,5,10,10,13,5,4,4,6,6,9,5,7,6,7,1,0,0,0,All
Vikki Kristiansson,,,,,,,24,"1,712","1,425","1,362","1,365","1,262","1,195","1,175","1,068",673,549,376,337,296,285,231,237,226,155,148,146,109,109,89,72,75,27,2,3,1,0,All
Stella Tsai,,,,,,,,13,"1,352","1,375","1,320","1,239","1,102","1,082","1,089",652,552,390,330,305,275,218,240,220,122,115,126,110,115,106,71,62,27,2,2,0,0,All
Lucretia C Clemons,,,,,,,,,3,"1,163","1,156","1,066","1,088",926,935,542,454,189,135,150,181,138,102,99,156,152,104,140,91,83,76,78,33,0,1,0,0,All
Jennifer Schultz,,,,,,,,,,0,"1,055","1,182",975,917,908,434,519,265,216,160,217,153,116,95,79,115,129,123,110,66,79,27,21,1,2,2,0,All
Henry Mcgregor Sias,,,,,,,,,,,2,923,"1,041","1,058",971,441,279,165,143,193,97,159,153,156,60,39,69,79,33,76,38,39,16,3,0,1,0,All
Deborah Canty,,,,,,,,,,,,5,927,862,849,394,449,243,201,175,208,124,114,111,97,126,131,106,110,44,75,48,31,3,2,2,0,All
Leon Goodman,,,,,,,,,,,,,4,966,911,415,238,144,104,140,127,139,133,126,125,82,117,109,54,72,44,33,29,1,1,2,0,All
John Macoretta,,,,,,,,,,,,,,5,836,258,149,156,139,211,88,120,163,161,45,23,68,47,24,39,34,12,12,4,0,1,0,All
Daniel R Sulman,,,,,,,,,,,,,,,0,368,210,81,73,97,80,124,79,72,73,36,74,40,28,65,30,39,22,2,0,1,0,All
Zac Shaffer,,,,,,,,,,,,,,,,26,328,177,183,170,167,224,169,130,148,105,95,96,68,111,71,77,35,0,1,1,0,All
Wendi Barish,,,,,,,,,,,,,,,,,1,235,167,151,168,111,103,94,86,110,117,104,97,51,64,28,12,1,1,1,0,All
Deborah Cianfrani,,,,,,,,,,,,,,,,,,1,286,152,236,141,146,128,43,128,35,39,100,40,19,21,16,1,1,0,0,All
Rania Major,,,,,,,,,,,,,,,,,,,5,154,214,141,138,128,30,82,38,14,73,51,21,33,19,0,1,0,0,All
Lawrence J Bozzelli,,,,,,,,,,,,,,,,,,,,4,77,97,180,154,67,21,104,48,22,49,42,11,19,0,0,0,0,All
Shanese Johnson,,,,,,,,,,,,,,,,,,,,,6,114,76,88,32,121,24,22,90,38,20,43,20,0,2,1,0,All
Mark B Cohen,,,,,,,,,,,,,,,,,,,,,,9,105,92,34,47,43,20,46,44,16,45,23,1,0,0,0,All
Brian Mclaughlin,,,,,,,,,,,,,,,,,,,,,,,2,166,59,24,52,52,32,57,36,20,29,1,0,0,0,All
Vincent Furlong,,,,,,,,,,,,,,,,,,,,,,,,2,56,30,45,28,24,47,19,22,19,0,1,0,0,All
David Conroy,,,,,,,,,,,,,,,,,,,,,,,,,5,42,57,50,23,41,27,24,22,2,1,0,0,All
Crystal B Powell,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,36,86,25,20,43,22,0,0,0,0,All
Leonard Deutchman,,,,,,,,,,,,,,,,,,,,,,,,,,,1,51,10,22,40,4,6,1,0,1,0,All
Mark J Moore,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,37,20,54,15,20,0,0,0,0,All
Terri M Booker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,17,20,22,30,1,0,0,0,All
Vincent Melchiorre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,16,20,14,0,1,1,0,All
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,18,0,0,0,0,All
Danyl S Patterson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,1,2,0,0,All
Bill Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,All
Dawn M Tancredi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,All
Christian Dicicco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,All
Matthew C Monroe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,All
Betsy Wahl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"2,442","1,180",785,414,232,33,"2,140","2,044","1,679","1,604","1,573","1,474","1,432","1,316","1,211","1,060",745,558,515,459,456,440,403,362,256,248,238,211,202,195,144,130,79,5,3,2,0,All
