col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,District Attorney - Democrat,,,,,,,All
,Stella Tsai,Shanese Johnson,Deborah Cianfrani,Vikki Kristiansson,Rania Major,Leon Goodman,Lucretia C Clemons,Zac Shaffer,Mark B Cohen,Daniel R Sulman,John Macoretta,Deborah Canty,Crystal B Powell,Vincent Furlong,Brian Mclaughlin,Danyl S Patterson,Vincent Melchiorre,David Conroy,Henry Mcgregor Sias,Jennifer Schultz,Wendi Barish,Lawrence J Bozzelli,Terri M Booker,Mark J Moore,Jon Marshall,Leonard Deutchman,Bill Rice,Dawn M Tancredi,Matthew C Monroe,Betsy Wahl,Christian Dicicco,Lawrence S Krasner,Tariq Karim El Shabazz,Rich Negrin,Joe Khan,Michael W Untermeyer,John O Neill,Teresa Carr Deni,All
Stella Tsai,5,312,377,251,232,125,213,194,90,217,171,110,101,159,159,164,166,158,174,110,135,160,55,36,32,24,15,1,3,2,0,161,172,127,74,52,8,9,All
Shanese Johnson,,3,333,189,210,137,240,193,149,168,105,126,164,129,87,155,144,149,85,104,84,85,91,70,48,22,37,1,3,1,0,174,185,59,62,70,16,11,All
Deborah Cianfrani,,,1,241,250,119,189,168,111,157,183,94,134,173,169,123,135,141,172,111,87,160,67,50,39,21,13,2,2,0,0,139,132,93,83,62,17,7,All
Vikki Kristiansson,,,,1,236,173,106,110,124,66,176,121,100,174,152,70,42,76,146,101,99,145,43,24,33,24,10,1,1,0,2,135,69,106,66,54,13,10,All
Rania Major,,,,,1,89,83,70,133,56,177,89,90,189,166,51,34,23,153,81,70,166,50,46,29,16,21,0,1,1,0,105,68,86,70,59,6,5,All
Leon Goodman,,,,,,3,149,143,113,112,60,115,112,72,56,107,96,108,54,95,114,44,57,57,43,48,24,4,3,0,2,130,106,59,42,34,16,7,All
Lucretia C Clemons,,,,,,,0,199,72,170,33,82,169,26,29,199,159,187,40,75,104,15,63,66,36,17,27,2,2,1,0,139,131,27,36,23,16,5,All
Zac Shaffer,,,,,,,,2,82,196,34,82,104,42,26,184,189,189,26,58,90,25,21,19,27,30,10,3,3,1,1,112,139,25,27,26,14,3,All
