col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,division
,City Controller - Democrat,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Rebecca Rhynhart,Alan L Butkovitz,Bobbie T Curry,Vikki Kristiansson,Stella Tsai,Lucretia C Clemons,Shanese Johnson,Zac Shaffer,Deborah Canty,Leon Goodman,Mark B Cohen,Crystal B Powell,Deborah Cianfrani,Danyl S Patterson,Jennifer Schultz,Rania Major,David Conroy,Henry Mcgregor Sias,Wendi Barish,John Macoretta,Vincent Melchiorre,Vincent Furlong,Terri M Booker,Brian Mclaughlin,Lawrence J Bozzelli,Daniel R Sulman,Mark J Moore,Leonard Deutchman,Bill Rice,Jon Marshall,Dawn M Tancredi,Matthew C Monroe,Christian Dicicco,Betsy Wahl,All
Rebecca Rhynhart,85,0,0,471,407,294,297,301,343,274,281,196,260,186,270,267,169,227,224,233,123,193,157,176,141,125,87,123,54,54,2,0,0,0,All
Alan L Butkovitz,,52,0,374,357,362,340,289,218,238,220,318,218,242,159,135,220,175,139,106,187,119,123,94,95,104,118,36,36,28,0,2,0,0,All
Bobbie T Curry,,,2,15,20,7,9,5,5,9,11,2,8,3,5,7,1,7,7,7,3,7,5,6,9,3,2,5,0,1,1,1,0,0,All
Vikki Kristiansson,,,,8,559,391,341,418,355,264,280,273,267,306,217,268,305,261,213,285,181,206,85,164,165,116,65,136,22,25,4,2,1,0,All
Stella Tsai,,,,,4,373,364,275,255,150,173,223,289,192,223,244,185,283,218,198,192,190,73,144,174,151,68,44,31,26,3,3,0,0,All
Lucretia C Clemons,,,,,,5,315,324,251,229,106,368,186,280,235,114,254,185,233,58,211,69,137,57,42,136,147,28,37,35,0,0,1,0,All
Shanese Johnson,,,,,,,12,238,241,162,171,308,238,223,140,202,194,86,129,95,189,118,114,75,89,93,61,30,51,36,1,1,0,0,All
Zac Shaffer,,,,,,,,4,248,288,211,235,90,319,145,88,334,114,120,143,236,92,81,58,48,137,54,123,15,31,0,3,0,0,All
Deborah Canty,,,,,,,,,13,275,256,217,150,226,221,136,180,102,200,155,98,93,111,70,57,102,97,152,40,35,2,4,0,0,All
Leon Goodman,,,,,,,,,,3,228,202,149,203,175,87,181,124,142,160,89,89,152,60,47,86,130,136,34,32,1,3,0,0,All
Mark B Cohen,,,,,,,,,,,11,126,156,177,113,160,157,96,66,183,53,142,88,100,78,62,55,121,46,25,0,1,0,0,All
Crystal B Powell,,,,,,,,,,,,2,172,250,157,100,215,71,142,36,161,64,162,37,26,54,120,18,40,34,1,1,0,0,All
Deborah Cianfrani,,,,,,,,,,,,,6,64,186,239,67,202,162,149,50,168,120,144,129,73,80,19,22,17,3,1,0,0,All
Danyl S Patterson,,,,,,,,,,,,,,12,44,70,304,30,40,114,187,59,59,44,14,59,64,93,24,21,0,2,0,0,All
Jennifer Schultz,,,,,,,,,,,,,,,3,116,36,158,254,44,63,58,152,47,47,69,90,52,27,27,2,1,0,0,All
Rania Major,,,,,,,,,,,,,,,,5,61,155,103,147,62,183,67,165,142,48,37,34,33,19,1,0,1,0,All
