col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,division
,City Controller - Democrat,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Rebecca Rhynhart,Alan L Butkovitz,Bobbie T Curry,Stella Tsai,Vikki Kristiansson,Shanese Johnson,Deborah Canty,Mark B Cohen,Lucretia C Clemons,Deborah Cianfrani,Jennifer Schultz,Zac Shaffer,Leon Goodman,Rania Major,Wendi Barish,Crystal B Powell,John Macoretta,Vincent Furlong,Henry Mcgregor Sias,Daniel R Sulman,Danyl S Patterson,David Conroy,Brian Mclaughlin,Lawrence J Bozzelli,Terri M Booker,Vincent Melchiorre,Leonard Deutchman,Mark J Moore,Jon Marshall,Bill Rice,Dawn M Tancredi,Christian Dicicco,Matthew C Monroe,Betsy Wahl,All
Rebecca Rhynhart,110,0,0,712,729,505,615,474,509,453,473,340,407,440,418,275,384,325,315,234,235,223,273,266,210,135,212,158,107,66,2,1,1,0,All
Alan L Butkovitz,,64,0,449,347,385,254,307,322,332,249,322,232,219,215,318,148,179,198,257,237,208,123,100,133,173,67,111,54,68,1,2,1,1,All
Bobbie T Curry,,,5,14,6,9,6,10,3,5,5,4,8,10,6,5,6,9,4,8,1,0,5,3,2,3,2,2,5,2,0,1,0,1,All
Stella Tsai,,,,6,674,512,434,271,486,587,444,372,223,400,440,311,297,286,383,374,190,202,237,255,165,184,91,107,66,44,1,2,2,0,All
Vikki Kristiansson,,,,,2,367,551,408,468,398,433,415,357,400,420,211,411,317,361,242,245,243,206,227,123,101,207,76,45,32,0,1,1,0,All
Shanese Johnson,,,,,,12,401,319,352,476,285,239,229,391,269,396,149,197,124,209,251,159,130,107,191,168,56,98,60,62,1,3,2,0,All
Deborah Canty,,,,,,,3,371,394,303,393,311,377,278,369,289,243,199,118,163,244,231,118,101,184,95,214,139,82,64,3,1,0,1,All
Mark B Cohen,,,,,,,,21,233,240,213,294,320,249,155,204,265,218,123,135,235,192,165,102,119,89,167,94,48,80,2,2,0,0,All
Lucretia C Clemons,,,,,,,,,4,233,416,271,258,243,411,297,111,120,225,210,162,133,88,80,189,78,76,182,84,57,1,2,0,0,All
Deborah Cianfrani,,,,,,,,,,4,285,187,119,370,260,297,216,247,224,205,165,144,203,190,161,160,49,76,43,33,2,2,1,0,All
Jennifer Schultz,,,,,,,,,,,7,188,198,218,431,206,106,136,201,187,72,89,104,83,158,88,97,131,55,43,1,0,0,0,All
Zac Shaffer,,,,,,,,,,,,1,315,127,212,227,190,95,164,300,314,295,57,63,50,189,190,57,50,28,1,1,2,0,All
