col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,division
,Judge Of The Municipal Court - Democrat,,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Marissa Brumbach,Matt Wolf,Sherman Toppin,George Twardy,Jon Marshall,Bill Rice,Betsy Wahl,Christian Dicicco,Crystal B Powell,Shanese Johnson,Stella Tsai,Deborah Cianfrani,Crystal B Powell,Vikki Kristiansson,Deborah Canty,Zac Shaffer,Danyl S Patterson,Mark B Cohen,Leon Goodman,Rania Major,Lucretia C Clemons,Daniel R Sulman,John Macoretta,David Conroy,Vincent Furlong,Brian Mclaughlin,Vincent Melchiorre,Lawrence J Bozzelli,Jennifer Schultz,Terri M Booker,Henry Mcgregor Sias,Wendi Barish,Mark J Moore,Leonard Deutchman,Bill Rice,Jon Marshall,Dawn M Tancredi,Matthew C Monroe,Betsy Wahl,Christian Dicicco,All
Marissa Brumbach,20,318,103,185,47,31,1,0,0,429,455,438,318,329,258,308,284,232,189,272,189,245,240,212,175,177,203,194,135,111,162,94,72,85,40,23,4,2,0,1,All
Matt Wolf,,18,68,58,62,25,0,0,0,293,337,296,192,318,210,211,193,216,187,227,158,140,211,151,174,173,104,158,80,82,146,84,50,81,42,36,2,0,0,0,All
Sherman Toppin,,,7,36,27,20,0,0,0,147,98,115,176,136,176,128,128,118,178,99,156,58,27,96,70,39,55,30,89,96,36,66,66,31,29,21,0,0,1,1,All
George Twardy,,,,2,14,5,0,0,0,199,179,197,156,100,77,161,147,90,66,67,49,127,94,119,78,61,117,86,25,36,52,21,23,19,15,11,2,1,0,0,All
Jon Marshall,,,,,2,26,0,0,0,81,65,59,77,46,98,48,58,67,82,54,53,57,34,20,50,51,30,32,64,51,27,53,46,26,35,42,1,0,0,0,All
Bill Rice,,,,,,0,0,0,1,65,37,33,71,17,67,19,38,49,55,45,40,29,14,14,28,25,15,17,33,35,12,24,30,8,40,31,0,0,1,1,All
Betsy Wahl,,,,,,,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,All
Christian Dicicco,,,,,,,,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,All
Crystal B Powell,,,,,,,,,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,All
Shanese Johnson,,,,,,,,,,20,369,380,379,200,243,269,279,187,163,211,227,240,120,182,121,104,199,127,122,123,85,98,66,40,50,37,2,1,1,0,All
Stella Tsai,,,,,,,,,,,5,403,247,267,176,226,198,136,119,253,163,224,191,169,166,175,173,174,109,78,170,98,44,30,36,26,2,2,0,1,All
Deborah Cianfrani,,,,,,,,,,,,3,270,272,171,214,175,162,131,272,147,172,200,132,179,171,145,195,114,96,171,96,55,28,31,28,4,1,0,0,All
Crystal B Powell,,,,,,,,,,,,,12,137,232,291,322,151,184,114,251,203,50,208,83,50,186,48,112,138,37,86,95,16,54,52,0,0,1,1,All
Vikki Kristiansson,,,,,,,,,,,,,,10,228,199,151,196,194,252,125,59,241,150,181,161,57,174,90,56,166,77,44,81,17,14,3,1,0,1,All
Deborah Canty,,,,,,,,,,,,,,,18,190,202,238,240,166,161,100,102,122,103,65,64,63,138,118,60,104,86,100,45,40,1,2,0,1,All
Zac Shaffer,,,,,,,,,,,,,,,,4,284,160,204,80,161,211,105,260,70,53,223,55,58,43,26,61,32,77,23,13,2,2,1,1,All
Danyl S Patterson,,,,,,,,,,,,,,,,,21,165,166,77,168,197,94,250,68,44,183,41,44,69,21,43,55,64,42,38,1,0,0,1,All
Mark B Cohen,,,,,,,,,,,,,,,,,,22,198,133,86,65,123,109,140,102,50,81,98,72,67,42,49,76,41,36,0,1,0,1,All
Leon Goodman,,,,,,,,,,,,,,,,,,,8,96,150,79,104,152,82,57,59,48,93,105,54,91,77,97,55,33,1,0,0,0,All
Rania Major,,,,,,,,,,,,,,,,,,,,2,95,58,162,40,190,190,50,176,101,86,158,70,47,25,36,29,3,0,0,1,All
Lucretia C Clemons,,,,,,,,,,,,,,,,,,,,,5,119,26,127,46,46,103,23,95,103,33,94,82,9,41,33,0,0,2,1,All
Daniel R Sulman,,,,,,,,,,,,,,,,,,,,,,3,58,159,36,37,188,50,51,38,36,51,38,34,27,20,1,1,1,1,All
John Macoretta,,,,,,,,,,,,,,,,,,,,,,,6,67,149,143,45,184,33,16,157,36,24,69,11,14,5,2,0,0,All
David Conroy,,,,,,,,,,,,,,,,,,,,,,,,2,48,27,148,13,18,24,8,16,24,53,22,14,0,3,1,0,All
Vincent Furlong,,,,,,,,,,,,,,,,,,,,,,,,,3,151,29,137,49,52,146,30,31,28,31,25,3,1,0,0,All
Brian Mclaughlin,,,,,,,,,,,,,,,,,,,,,,,,,,7,38,150,46,31,129,31,34,18,25,25,2,1,0,0,All
Vincent Melchiorre,,,,,,,,,,,,,,,,,,,,,,,,,,,4,38,28,18,15,39,23,32,15,19,2,2,1,0,All
Lawrence J Bozzelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,35,34,153,35,20,25,13,10,1,0,0,0,All
Jennifer Schultz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,70,40,102,54,37,24,23,1,0,0,1,All
