col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,District Attorney - Democrat,,,,,,,All
,Vincent Furlong,Brian Mclaughlin,Stella Tsai,Deborah Cianfrani,Vikki Kristiansson,David Conroy,Zac Shaffer,Mark B Cohen,Vincent Melchiorre,Jennifer Schultz,Daniel R Sulman,Deborah Canty,Shanese Johnson,John Macoretta,Wendi Barish,Rania Major,Lawrence J Bozzelli,Lucretia C Clemons,Henry Mcgregor Sias,Leon Goodman,Crystal B Powell,Leonard Deutchman,Terri M Booker,Bill Rice,Mark J Moore,Jon Marshall,Danyl S Patterson,Christian Dicicco,Dawn M Tancredi,Betsy Wahl,Matthew C Monroe,Rich Negrin,John O Neill,Joe Khan,Michael W Untermeyer,Lawrence S Krasner,Teresa Carr Deni,Tariq Karim El Shabazz,All
Vincent Furlong,14,571,443,420,378,463,425,283,359,177,247,178,239,226,164,189,191,167,173,123,130,77,49,80,53,47,41,1,0,0,0,339,354,175,198,94,30,14,All
Brian Mclaughlin,,5,323,350,328,247,183,314,244,192,146,172,158,245,138,178,213,116,182,130,67,80,60,90,72,63,57,1,0,0,0,339,242,141,118,66,25,16,All
Stella Tsai,,,1,401,404,226,220,150,234,197,192,199,259,177,197,216,170,172,171,92,136,47,61,40,44,26,29,2,0,0,0,198,135,124,136,81,28,22,All
Deborah Cianfrani,,,,3,282,169,211,227,228,204,165,206,212,203,166,230,188,74,168,77,163,50,77,57,32,28,44,0,0,0,0,162,148,116,162,81,31,16,All
Vikki Kristiansson,,,,,0,196,186,163,170,202,134,198,164,188,195,216,175,175,171,88,87,66,56,33,42,32,22,0,0,0,0,188,139,103,66,100,32,8,All
David Conroy,,,,,,0,359,129,260,79,163,83,135,63,83,43,53,143,41,73,125,42,38,61,40,35,41,2,0,0,0,150,253,62,87,58,18,5,All
Zac Shaffer,,,,,,,1,145,237,105,215,112,121,85,112,68,70,85,59,90,116,48,25,41,25,26,32,1,1,0,0,81,230,65,106,79,11,16,All
Mark B Cohen,,,,,,,,0,134,161,104,156,91,145,104,127,120,66,110,107,65,65,52,66,52,42,40,0,0,0,0,129,115,93,81,74,12,11,All
Vincent Melchiorre,,,,,,,,,1,81,168,94,150,93,88,49,77,119,51,63,93,60,33,48,28,21,31,1,1,0,0,150,133,51,105,33,22,11,All
Jennifer Schultz,,,,,,,,,,0,101,225,88,83,183,117,80,84,67,82,88,57,69,35,53,37,23,0,1,0,0,95,84,68,49,76,28,11,All
Daniel R Sulman,,,,,,,,,,,1,88,103,77,103,47,57,70,64,77,87,44,29,32,35,25,19,1,0,0,0,83,103,57,102,40,8,12,All
Deborah Canty,,,,,,,,,,,,0,106,69,189,122,77,93,61,80,99,60,75,35,44,37,29,1,1,0,0,85,86,64,50,74,29,20,All
Shanese Johnson,,,,,,,,,,,,,0,66,84,120,61,88,63,51,108,27,42,19,19,16,22,1,0,0,0,110,43,47,82,61,13,21,All
John Macoretta,,,,,,,,,,,,,,1,56,143,197,20,172,69,17,51,15,28,32,27,12,0,0,0,0,93,78,74,70,37,5,10,All
Wendi Barish,,,,,,,,,,,,,,,1,94,62,108,50,87,63,40,56,26,40,34,19,0,0,0,0,70,94,52,34,72,22,10,All
Rania Major,,,,,,,,,,,,,,,,1,142,42,138,61,46,32,41,27,20,17,18,1,0,0,0,84,56,69,45,60,15,15,All
Lawrence J Bozzelli,,,,,,,,,,,,,,,,,0,38,151,60,17,55,13,27,19,22,12,0,0,0,0,101,63,62,55,37,8,8,All
Lucretia C Clemons,,,,,,,,,,,,,,,,,,0,38,44,56,31,46,23,46,27,27,0,0,0,0,85,75,38,16,51,11,8,All
Henry Mcgregor Sias,,,,,,,,,,,,,,,,,,,0,53,19,39,21,21,27,18,12,0,0,0,0,72,54,63,34,46,5,11,All
Leon Goodman,,,,,,,,,,,,,,,,,,,,0,32,57,25,28,47,28,27,1,0,0,0,70,41,36,29,57,2,13,All
Crystal B Powell,,,,,,,,,,,,,,,,,,,,,0,10,59,27,24,20,34,0,0,0,0,39,47,37,64,36,12,7,All
Leonard Deutchman,,,,,,,,,,,,,,,,,,,,,,0,21,22,27,16,11,0,1,0,0,57,35,16,20,23,4,7,All
Terri M Booker,,,,,,,,,,,,,,,,,,,,,,,0,23,31,23,20,1,0,0,0,23,28,27,18,28,9,12,All
Bill Rice,,,,,,,,,,,,,,,,,,,,,,,,0,41,24,19,1,0,0,0,43,48,14,16,13,6,3,All
Mark J Moore,,,,,,,,,,,,,,,,,,,,,,,,,1,38,20,1,0,0,0,32,31,26,17,18,4,5,All
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,0,19,0,1,0,0,25,30,15,12,9,7,6,All
Danyl S Patterson,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,16,29,15,7,20,4,5,All
Christian Dicicco,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,1,All
Dawn M Tancredi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,All
Betsy Wahl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,All
Matthew C Monroe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,All
Rich Negrin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,0,0,0,0,0,0,All
John O Neill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,0,0,0,0,0,All
Joe Khan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,0,0,0,0,All
Michael W Untermeyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,0,0,0,All
Lawrence S Krasner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,0,0,All
Teresa Carr Deni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,All
Tariq Karim El Shabazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"1,244",965,741,728,649,644,599,520,517,415,414,412,386,370,359,351,336,289,287,251,246,162,145,144,134,105,97,2,1,0,0,691,617,365,359,280,76,51,All
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,District Attorney - Democrat,,,,,,,1
