col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,division
,City Controller - Democrat,,,District Attorney - Democrat,,,,,,,All
,Rebecca Rhynhart,Alan L Butkovitz,Bobbie T Curry,Lawrence S Krasner,Joe Khan,Rich Negrin,John O Neill,Tariq Karim El Shabazz,Michael W Untermeyer,Teresa Carr Deni,All
Rebecca Rhynhart,11,0,0,939,"1,045",385,104,52,57,19,All
Alan L Butkovitz,,11,0,628,352,94,50,39,43,2,All
Bobbie T Curry,,,0,13,8,7,1,0,2,1,All
Lawrence S Krasner,,,,138,0,0,0,0,0,0,All
Joe Khan,,,,,157,0,0,0,0,0,All
Rich Negrin,,,,,,27,0,0,0,0,All
John O Neill,,,,,,,15,0,0,0,All
Tariq Karim El Shabazz,,,,,,,,25,0,0,All
Michael W Untermeyer,,,,,,,,,9,0,All
Teresa Carr Deni,,,,,,,,,,0,All
Total,"2,612","1,219",32,"1,718","1,562",513,170,116,111,22,All
,City Controller - Democrat,,,District Attorney - Democrat,,,,,,,1
,Rebecca Rhynhart,Alan L Butkovitz,Bobbie T Curry,Lawrence S Krasner,Joe Khan,Tariq Karim El Shabazz,Rich Negrin,Michael W Untermeyer,John O Neill,Teresa Carr Deni,1
Rebecca Rhynhart,0,0,0,65,57,10,10,2,2,2,1
Alan L Butkovitz,,0,0,42,20,11,4,4,1,1,1
Bobbie T Curry,,,0,0,0,0,0,0,0,0,1
Lawrence S Krasner,,,,4,0,0,0,0,0,0,1
Joe Khan,,,,,9,0,0,0,0,0,1
Tariq Karim El Shabazz,,,,,,1,0,0,0,0,1
Rich Negrin,,,,,,,1,0,0,0,1
Michael W Untermeyer,,,,,,,,1,0,0,1
John O Neill,,,,,,,,,0,0,1
Teresa Carr Deni,,,,,,,,,,0,1
Total,148,83,0,111,86,22,15,7,3,3,1
,City Controller - Democrat,,,District Attorney - Democrat,,,,,,,2
