col_1,col_2,division
,City Controller - Republican,All
,Michael Tomlinson,All
Michael Tomlinson,393,All
Total,393,All
,City Controller - Republican,1
,Michael Tomlinson,1
Michael Tomlinson,19,1
Total,19,1
,City Controller - Republican,2
,Michael Tomlinson,2
Michael Tomlinson,19,2
Total,19,2
,City Controller - Republican,3
,Michael Tomlinson,3
Michael Tomlinson,17,3
Total,17,3
,City Controller - Republican,4
,Michael Tomlinson,4
Michael Tomlinson,15,4
Total,15,4
,City Controller - Republican,5
,Michael Tomlinson,5
Michael Tomlinson,9,5
Total,9,5
,City Controller - Republican,6
,Michael Tomlinson,6
Michael Tomlinson,9,6
Total,9,6
,City Controller - Republican,7
,Michael Tomlinson,7
Michael Tomlinson,4,7
Total,4,7
,City Controller - Republican,8
,Michael Tomlinson,8
Michael Tomlinson,12,8
Total,12,8
,City Controller - Republican,9
,Michael Tomlinson,9
Michael Tomlinson,11,9
Total,11,9
,City Controller - Republican,10
,Michael Tomlinson,10
Michael Tomlinson,5,10
Total,5,10
,City Controller - Republican,11
,Michael Tomlinson,11
Michael Tomlinson,17,11
Total,17,11
,City Controller - Republican,12
,Michael Tomlinson,12
Michael Tomlinson,25,12
Total,25,12
,City Controller - Republican,13
,Michael Tomlinson,13
Michael Tomlinson,39,13
Total,39,13
,City Controller - Republican,14
,Michael Tomlinson,14
Michael Tomlinson,21,14
Total,21,14
,City Controller - Republican,15
,Michael Tomlinson,15
Michael Tomlinson,3,15
Total,3,15
,City Controller - Republican,16
,Michael Tomlinson,16
Michael Tomlinson,18,16
Total,18,16
,City Controller - Republican,17
,Michael Tomlinson,17
Michael Tomlinson,25,17
Total,25,17
,City Controller - Republican,18
,Michael Tomlinson,18
Michael Tomlinson,33,18
Total,33,18
,City Controller - Republican,19
,Michael Tomlinson,19
Michael Tomlinson,12,19
Total,12,19
,City Controller - Republican,20
,Michael Tomlinson,20
Michael Tomlinson,3,20
Total,3,20
,City Controller - Republican,21
,Michael Tomlinson,21
Michael Tomlinson,13,21
Total,13,21
,City Controller - Republican,22
,Michael Tomlinson,22
Michael Tomlinson,14,22
Total,14,22
,City Controller - Republican,23
,Michael Tomlinson,23
Michael Tomlinson,9,23
Total,9,23
,City Controller - Republican,24
,Michael Tomlinson,24
Michael Tomlinson,12,24
Total,12,24
,City Controller - Republican,25
,Michael Tomlinson,25
Michael Tomlinson,5,25
Total,5,25
,City Controller - Republican,26
,Michael Tomlinson,26
Michael Tomlinson,6,26
Total,6,26
,City Controller - Republican,27
,Michael Tomlinson,27
Michael Tomlinson,4,27
Total,4,27
,City Controller - Republican,28
,Michael Tomlinson,28
Michael Tomlinson,14,28
Total,14,28
