col_1,col_2,division
,Justice Of The Supreme Court - Republican,All
,Sallie Mundy,All
Sallie Mundy,17,All
Total,17,All
,Justice Of The Supreme Court - Republican,2
,Sallie Mundy,2
Sallie Mundy,2,2
Total,2,2
,Justice Of The Supreme Court - Republican,4
,Sallie Mundy,4
Sallie Mundy,1,4
Total,1,4
,Justice Of The Supreme Court - Republican,5
,Sallie Mundy,5
Sallie Mundy,1,5
Total,1,5
,Justice Of The Supreme Court - Republican,8
,Sallie Mundy,8
Sallie Mundy,1,8
Total,1,8
,Justice Of The Supreme Court - Republican,9
,Sallie Mundy,9
Sallie Mundy,1,9
Total,1,9
,Justice Of The Supreme Court - Republican,12
,Sallie Mundy,12
Sallie Mundy,1,12
Total,1,12
,Justice Of The Supreme Court - Republican,13
,Sallie Mundy,13
Sallie Mundy,1,13
Total,1,13
,Justice Of The Supreme Court - Republican,17
,Sallie Mundy,17
Sallie Mundy,1,17
Total,1,17
,Justice Of The Supreme Court - Republican,18
,Sallie Mundy,18
Sallie Mundy,2,18
Total,2,18
,Justice Of The Supreme Court - Republican,19
,Sallie Mundy,19
Sallie Mundy,1,19
Total,1,19
,Justice Of The Supreme Court - Republican,21
,Sallie Mundy,21
Sallie Mundy,1,21
Total,1,21
,Justice Of The Supreme Court - Republican,22
,Sallie Mundy,22
Sallie Mundy,1,22
Total,1,22
,Justice Of The Supreme Court - Republican,24
,Sallie Mundy,24
Sallie Mundy,1,24
Total,1,24
,Justice Of The Supreme Court - Republican,25
,Sallie Mundy,25
Sallie Mundy,2,25
Total,2,25
