col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,division
,Judge Of The Municipal Court - Democrat,,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Marissa Brumbach,Matt Wolf,Sherman Toppin,George Twardy,Jon Marshall,Bill Rice,Betsy Wahl,Christian Dicicco,Crystal B Powell,Stella Tsai,Vikki Kristiansson,Shanese Johnson,Deborah Canty,Mark B Cohen,Lucretia C Clemons,Deborah Cianfrani,Jennifer Schultz,Zac Shaffer,Leon Goodman,Rania Major,Wendi Barish,Crystal B Powell,John Macoretta,Vincent Furlong,Henry Mcgregor Sias,Daniel R Sulman,Danyl S Patterson,David Conroy,Brian Mclaughlin,Lawrence J Bozzelli,Terri M Booker,Vincent Melchiorre,Leonard Deutchman,Mark J Moore,Jon Marshall,Bill Rice,Dawn M Tancredi,Christian Dicicco,Matthew C Monroe,Betsy Wahl,All
Marissa Brumbach,16,491,235,282,121,39,0,0,0,887,871,593,608,462,580,576,544,513,366,425,502,363,383,338,368,370,321,320,233,235,170,231,211,124,78,44,2,2,2,0,All
Matt Wolf,,21,95,59,55,37,1,0,0,459,498,279,360,387,237,300,236,263,299,276,180,145,353,247,233,164,186,195,225,210,114,85,187,96,64,55,2,1,0,0,All
Sherman Toppin,,,18,54,42,31,0,0,0,195,236,297,292,252,297,200,204,158,234,224,181,263,94,112,82,107,183,101,86,50,155,85,59,122,34,39,2,0,0,1,All
George Twardy,,,,4,25,10,0,1,1,272,216,219,151,133,124,208,115,202,116,106,96,148,94,145,108,156,149,156,79,73,36,153,42,47,34,18,1,1,1,0,All
Jon Marshall,,,,,4,32,1,0,0,135,116,106,153,98,120,87,132,86,125,87,117,88,60,85,57,70,48,55,63,64,68,47,63,70,69,44,1,1,0,1,All
Bill Rice,,,,,,1,0,0,0,69,45,88,82,72,69,55,55,27,56,70,44,71,28,51,24,33,35,16,33,26,58,24,18,39,40,53,3,1,1,0,All
Betsy Wahl,,,,,,,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,All
Christian Dicicco,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,All
Crystal B Powell,,,,,,,,,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,All
Stella Tsai,,,,,,,,,,15,674,512,434,271,486,587,444,372,223,400,440,311,297,286,383,374,190,202,237,255,165,184,91,107,66,44,1,2,2,0,All
Vikki Kristiansson,,,,,,,,,,,5,367,551,408,468,398,433,415,357,400,420,211,411,317,361,242,245,243,206,227,123,101,207,76,45,32,0,1,1,0,All
Shanese Johnson,,,,,,,,,,,,14,401,319,352,476,285,239,229,391,269,396,149,197,124,209,251,159,130,107,191,168,56,98,60,62,1,3,2,0,All
Deborah Canty,,,,,,,,,,,,,7,371,394,303,393,311,377,278,369,289,243,199,118,163,244,231,118,101,184,95,214,139,82,64,3,1,0,1,All
Mark B Cohen,,,,,,,,,,,,,,36,233,240,213,294,320,249,155,204,265,218,123,135,235,192,165,102,119,89,167,94,48,80,2,2,0,0,All
Lucretia C Clemons,,,,,,,,,,,,,,,9,233,416,271,258,243,411,297,111,120,225,210,162,133,88,80,189,78,76,182,84,57,1,2,0,0,All
Deborah Cianfrani,,,,,,,,,,,,,,,,4,285,187,119,370,260,297,216,247,224,205,165,144,203,190,161,160,49,76,43,33,2,2,1,0,All
Jennifer Schultz,,,,,,,,,,,,,,,,,8,188,198,218,431,206,106,136,201,187,72,89,104,83,158,88,97,131,55,43,1,0,0,0,All
