col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,District Attorney - Democrat,,,,,,,All
,Lucretia C Clemons,Shanese Johnson,Stella Tsai,Deborah Cianfrani,Mark B Cohen,Deborah Canty,Zac Shaffer,Rania Major,Vikki Kristiansson,Crystal B Powell,Daniel R Sulman,Vincent Melchiorre,Danyl S Patterson,Vincent Furlong,Leon Goodman,Jennifer Schultz,John Macoretta,Brian Mclaughlin,David Conroy,Lawrence J Bozzelli,Wendi Barish,Henry Mcgregor Sias,Terri M Booker,Mark J Moore,Leonard Deutchman,Jon Marshall,Bill Rice,Matthew C Monroe,Christian Dicicco,Dawn M Tancredi,Betsy Wahl,Lawrence S Krasner,Tariq Karim El Shabazz,Joe Khan,Rich Negrin,Michael W Untermeyer,John O Neill,Teresa Carr Deni,All
Lucretia C Clemons,6,498,426,364,267,332,396,174,188,359,347,352,340,139,210,176,102,93,266,58,159,67,173,156,46,60,64,2,5,3,0,351,294,165,68,35,22,11,All
Shanese Johnson,,3,507,505,310,312,294,290,234,347,271,273,313,205,185,174,158,139,231,111,141,112,169,115,42,53,57,2,3,2,1,294,271,193,89,52,20,15,All
Stella Tsai,,,7,588,269,263,299,325,295,235,315,273,247,218,150,204,204,192,226,176,193,204,111,91,54,43,35,6,3,2,1,264,236,213,126,47,13,11,All
Deborah Cianfrani,,,,0,255,218,254,307,240,230,274,259,232,205,112,173,189,184,200,187,134,180,122,66,41,39,33,4,2,3,1,228,201,188,96,52,12,11,All
Mark B Cohen,,,,,7,292,150,273,235,212,121,108,133,194,196,187,161,187,108,152,100,143,132,86,88,49,56,1,1,3,0,256,146,186,106,56,13,3,All
Deborah Canty,,,,,,3,130,230,227,250,133,105,152,125,197,246,75,102,97,92,190,78,164,114,88,57,46,3,3,5,0,249,156,134,56,39,8,12,All
Zac Shaffer,,,,,,,2,82,140,179,353,355,255,92,129,80,89,53,260,43,67,40,39,52,39,23,17,2,3,0,1,195,214,92,36,23,19,3,All
Rania Major,,,,,,,,0,273,142,90,56,68,204,130,164,188,191,41,213,111,196,94,56,64,38,31,6,2,3,0,168,110,152,96,35,8,8,All
