col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,division
,Judge Of The Superior Court - Democrat,,,,,City Controller - Democrat,,,All
,Carolyn H Nichols,Maria Mclaughlin,Geoff Moulton,Debbie Kunselman,Bill Caye,Rebecca Rhynhart,Alan L Butkovitz,Bobbie T Curry,All
Carolyn H Nichols,97,"1,974","1,482","1,207",432,"1,507",879,43,All
Maria Mclaughlin,,40,"1,476","1,221",440,"1,395",776,37,All
Geoff Moulton,,,7,"1,006",299,997,562,20,All
Debbie Kunselman,,,,32,240,900,391,20,All
Bill Caye,,,,,16,310,172,8,All
Rebecca Rhynhart,,,,,,183,0,0,All
Alan L Butkovitz,,,,,,,135,0,All
Bobbie T Curry,,,,,,,,5,All
Total,"2,646","2,365","1,667","1,389",529,"2,006","1,184",62,All
,Judge Of The Superior Court - Democrat,,,,,City Controller - Democrat,,,1
,Carolyn H Nichols,Maria Mclaughlin,Geoff Moulton,Debbie Kunselman,Bill Caye,Rebecca Rhynhart,Alan L Butkovitz,Bobbie T Curry,1
Carolyn H Nichols,4,63,47,38,12,44,29,1,1
Maria Mclaughlin,,1,48,40,15,44,28,0,1
Geoff Moulton,,,0,35,12,38,16,0,1
Debbie Kunselman,,,,0,7,28,13,1,1
Bill Caye,,,,,0,7,8,0,1
Rebecca Rhynhart,,,,,,4,0,0,1
Alan L Butkovitz,,,,,,,5,0,1
Bobbie T Curry,,,,,,,,1,1
Total,81,77,56,43,16,61,38,2,1
,Judge Of The Superior Court - Democrat,,,,,City Controller - Democrat,,,2
,Carolyn H Nichols,Maria Mclaughlin,Geoff Moulton,Debbie Kunselman,Bill Caye,Rebecca Rhynhart,Alan L Butkovitz,Bobbie T Curry,2
Carolyn H Nichols,1,50,39,35,11,42,21,0,2
Maria Mclaughlin,,2,40,34,10,42,13,0,2
Geoff Moulton,,,0,30,6,32,13,0,2
Debbie Kunselman,,,,1,7,31,7,0,2
Bill Caye,,,,,0,6,5,0,2
Rebecca Rhynhart,,,,,,7,0,0,2
Alan L Butkovitz,,,,,,,6,0,2
Bobbie T Curry,,,,,,,,0,2
Total,67,61,48,41,12,59,33,0,2
,Judge Of The Superior Court - Democrat,,,,,City Controller - Democrat,,,3
,Carolyn H Nichols,Maria Mclaughlin,Geoff Moulton,Debbie Kunselman,Bill Caye,Rebecca Rhynhart,Alan L Butkovitz,Bobbie T Curry,3
Carolyn H Nichols,1,79,59,52,19,58,26,3,3
Maria Mclaughlin,,0,60,54,20,59,25,3,3
Geoff Moulton,,,0,38,11,39,20,3,3
Debbie Kunselman,,,,3,11,41,14,1,3
Bill Caye,,,,,0,14,7,0,3
Rebecca Rhynhart,,,,,,3,0,0,3
Alan L Butkovitz,,,,,,,7,0,3
Bobbie T Curry,,,,,,,,0,3
Total,91,90,64,62,21,74,37,3,3
,Judge Of The Superior Court - Democrat,,,,,City Controller - Democrat,,,4
,Carolyn H Nichols,Maria Mclaughlin,Debbie Kunselman,Geoff Moulton,Bill Caye,Rebecca Rhynhart,Alan L Butkovitz,Bobbie T Curry,4
Carolyn H Nichols,5,25,17,18,7,22,10,0,4
Maria Mclaughlin,,1,17,18,7,24,8,1,4
Debbie Kunselman,,,1,10,6,13,7,0,4
Geoff Moulton,,,,0,2,13,7,0,4
Bill Caye,,,,,1,5,3,0,4
Rebecca Rhynhart,,,,,,4,0,0,4
Alan L Butkovitz,,,,,,,1,0,4
Bobbie T Curry,,,,,,,,0,4
Total,39,36,22,21,10,35,17,1,4
,Judge Of The Superior Court - Democrat,,,,,City Controller - Democrat,,,5
,Carolyn H Nichols,Maria Mclaughlin,Geoff Moulton,Debbie Kunselman,Bill Caye,Rebecca Rhynhart,Alan L Butkovitz,Bobbie T Curry,5
Carolyn H Nichols,6,84,52,39,24,69,27,2,5
Maria Mclaughlin,,4,53,39,23,57,23,2,5
Geoff Moulton,,,1,27,13,37,12,2,5
Debbie Kunselman,,,,2,12,31,7,1,5
Bill Caye,,,,,1,18,5,1,5
Rebecca Rhynhart,,,,,,4,0,0,5
Alan L Butkovitz,,,,,,,3,0,5
Bobbie T Curry,,,,,,,,0,5
Total,112,94,56,42,26,77,33,2,5
,Judge Of The Superior Court - Democrat,,,,,City Controller - Democrat,,,6
,Carolyn H Nichols,Maria Mclaughlin,Geoff Moulton,Debbie Kunselman,Bill Caye,Rebecca Rhynhart,Alan L Butkovitz,Bobbie T Curry,6
Carolyn H Nichols,3,78,54,44,15,50,37,0,6
Maria Mclaughlin,,0,54,44,15,49,35,0,6
Geoff Moulton,,,0,34,8,32,23,0,6
Debbie Kunselman,,,,1,8,27,16,0,6
Bill Caye,,,,,1,10,5,0,6
Rebecca Rhynhart,,,,,,5,0,0,6
Alan L Butkovitz,,,,,,,2,0,6
Bobbie T Curry,,,,,,,,0,6
Total,93,87,57,48,19,65,40,0,6
,Judge Of The Superior Court - Democrat,,,,,City Controller - Democrat,,,7
,Carolyn H Nichols,Maria Mclaughlin,Debbie Kunselman,Geoff Moulton,Bill Caye,Rebecca Rhynhart,Alan L Butkovitz,Bobbie T Curry,7
Carolyn H Nichols,3,62,41,42,15,56,26,2,7
Maria Mclaughlin,,0,45,44,16,55,20,0,7
Debbie Kunselman,,,1,34,11,33,14,1,7
Geoff Moulton,,,,0,10,30,15,1,7
Bill Caye,,,,,0,15,2,1,7
Rebecca Rhynhart,,,,,,8,0,0,7
Alan L Butkovitz,,,,,,,1,0,7
Bobbie T Curry,,,,,,,,1,7
Total,88,76,50,47,18,77,31,3,7
,Judge Of The Superior Court - Democrat,,,,,City Controller - Democrat,,,8
,Carolyn H Nichols,Maria Mclaughlin,Geoff Moulton,Debbie Kunselman,Bill Caye,Rebecca Rhynhart,Alan L Butkovitz,Bobbie T Curry,8
Carolyn H Nichols,0,49,41,40,7,54,16,4,8
Maria Mclaughlin,,2,40,40,8,47,8,1,8
Geoff Moulton,,,1,34,5,34,7,2,8
Debbie Kunselman,,,,0,6,40,2,1,8
Bill Caye,,,,,1,7,2,0,8
Rebecca Rhynhart,,,,,,6,0,0,8
Alan L Butkovitz,,,,,,,3,0,8
Bobbie T Curry,,,,,,,,0,8
Total,75,59,46,45,11,68,21,4,8
,Judge Of The Superior Court - Democrat,,,,,City Controller - Democrat,,,9
,Carolyn H Nichols,Maria Mclaughlin,Geoff Moulton,Debbie Kunselman,Bill Caye,Rebecca Rhynhart,Alan L Butkovitz,Bobbie T Curry,9
Carolyn H Nichols,1,60,44,36,11,50,24,0,9
Maria Mclaughlin,,1,43,37,11,46,21,0,9
Geoff Moulton,,,0,28,8,28,15,0,9
Debbie Kunselman,,,,4,6,27,12,0,9
Bill Caye,,,,,1,10,2,0,9
Rebecca Rhynhart,,,,,,9,0,0,9
Alan L Butkovitz,,,,,,,4,0,9
Bobbie T Curry,,,,,,,,0,9
Total,77,70,45,43,13,66,30,0,9
,Judge Of The Superior Court - Democrat,,,,,City Controller - Democrat,,,10
,Carolyn H Nichols,Maria Mclaughlin,Geoff Moulton,Debbie Kunselman,Bill Caye,Rebecca Rhynhart,Alan L Butkovitz,Bobbie T Curry,10
Carolyn H Nichols,4,55,44,38,14,45,28,1,10
Maria Mclaughlin,,0,44,37,14,39,20,1,10
Geoff Moulton,,,0,34,9,30,18,0,10
Debbie Kunselman,,,,0,7,30,10,0,10
Bill Caye,,,,,0,8,8,0,10
Rebecca Rhynhart,,,,,,6,0,0,10
Alan L Butkovitz,,,,,,,3,0,10
Bobbie T Curry,,,,,,,,0,10
Total,78,60,48,40,16,58,33,1,10
,Judge Of The Superior Court - Democrat,,,,,City Controller - Democrat,,,11
,Carolyn H Nichols,Maria Mclaughlin,Geoff Moulton,Debbie Kunselman,Bill Caye,Rebecca Rhynhart,Alan L Butkovitz,Bobbie T Curry,11
Carolyn H Nichols,2,33,27,21,11,35,15,2,11
Maria Mclaughlin,,0,27,19,10,25,12,1,11
Geoff Moulton,,,0,17,7,18,12,1,11
Debbie Kunselman,,,,1,7,18,6,1,11
Bill Caye,,,,,0,8,3,0,11
Rebecca Rhynhart,,,,,,5,0,0,11
Alan L Butkovitz,,,,,,,4,0,11
Bobbie T Curry,,,,,,,,0,11
Total,57,40,32,27,13,47,25,2,11
,Judge Of The Superior Court - Democrat,,,,,City Controller - Democrat,,,12
,Carolyn H Nichols,Maria Mclaughlin,Debbie Kunselman,Geoff Moulton,Bill Caye,Rebecca Rhynhart,Alan L Butkovitz,Bobbie T Curry,12
Carolyn H Nichols,3,24,20,19,6,26,8,1,12
Maria Mclaughlin,,1,18,17,4,21,7,0,12
Debbie Kunselman,,,0,16,6,14,6,0,12
Geoff Moulton,,,,0,2,14,5,0,12
Bill Caye,,,,,1,3,3,0,12
Rebecca Rhynhart,,,,,,1,0,0,12
Alan L Butkovitz,,,,,,,5,0,12
Bobbie T Curry,,,,,,,,0,12
Total,40,31,21,20,7,30,16,1,12
,Judge Of The Superior Court - Democrat,,,,,City Controller - Democrat,,,13
,Carolyn H Nichols,Maria Mclaughlin,Geoff Moulton,Debbie Kunselman,Bill Caye,Rebecca Rhynhart,Alan L Butkovitz,Bobbie T Curry,13
Carolyn H Nichols,4,37,22,19,10,33,18,0,13
Maria Mclaughlin,,0,22,18,10,32,10,0,13
Geoff Moulton,,,0,12,5,21,5,0,13
Debbie Kunselman,,,,0,5,16,3,0,13
Bill Caye,,,,,1,9,2,0,13
Rebecca Rhynhart,,,,,,3,0,0,13
Alan L Butkovitz,,,,,,,0,0,13
Bobbie T Curry,,,,,,,,1,13
Total,55,42,26,19,12,44,19,1,13
,Judge Of The Superior Court - Democrat,,,,,City Controller - Democrat,,,14
,Carolyn H Nichols,Maria Mclaughlin,Geoff Moulton,Debbie Kunselman,Bill Caye,Rebecca Rhynhart,Alan L Butkovitz,Bobbie T Curry,14
Carolyn H Nichols,0,16,14,12,1,13,9,2,14
Maria Mclaughlin,,2,13,12,1,13,7,1,14
Geoff Moulton,,,0,11,0,6,6,1,14
Debbie Kunselman,,,,1,1,6,5,1,14
Bill Caye,,,,,2,2,0,0,14
Rebecca Rhynhart,,,,,,2,0,0,14
Alan L Butkovitz,,,,,,,0,0,14
Bobbie T Curry,,,,,,,,0,14
Total,25,24,14,13,4,21,10,2,14
,Judge Of The Superior Court - Democrat,,,,,City Controller - Democrat,,,15
,Carolyn H Nichols,Maria Mclaughlin,Geoff Moulton,Debbie Kunselman,Bill Caye,Rebecca Rhynhart,Alan L Butkovitz,Bobbie T Curry,15
Carolyn H Nichols,4,27,24,17,4,18,17,1,15
Maria Mclaughlin,,0,22,16,3,18,17,0,15
Geoff Moulton,,,0,14,4,10,12,0,15
Debbie Kunselman,,,,2,1,7,11,0,15
Bill Caye,,,,,1,2,2,0,15
Rebecca Rhynhart,,,,,,5,0,0,15
Alan L Butkovitz,,,,,,,2,0,15
Bobbie T Curry,,,,,,,,0,15
Total,42,36,24,21,6,29,24,1,15
,Judge Of The Superior Court - Democrat,,,,,City Controller - Democrat,,,16
,Carolyn H Nichols,Maria Mclaughlin,Geoff Moulton,Debbie Kunselman,Bill Caye,Alan L Butkovitz,Rebecca Rhynhart,Bobbie T Curry,16
Carolyn H Nichols,1,54,49,28,7,46,25,1,16
Maria Mclaughlin,,0,40,25,5,37,16,0,16
Geoff Moulton,,,0,22,3,34,14,1,16
Debbie Kunselman,,,,3,4,17,11,0,16
Bill Caye,,,,,0,3,4,0,16
Alan L Butkovitz,,,,,,0,0,0,16
Rebecca Rhynhart,,,,,,,4,0,16
Bobbie T Curry,,,,,,,,1,16
Total,78,57,52,32,7,50,32,2,16
,Judge Of The Superior Court - Democrat,,,,,City Controller - Democrat,,,17
,Carolyn H Nichols,Maria Mclaughlin,Geoff Moulton,Debbie Kunselman,Bill Caye,Rebecca Rhynhart,Alan L Butkovitz,Bobbie T Curry,17
Carolyn H Nichols,3,26,16,15,5,20,11,1,17
Maria Mclaughlin,,0,17,16,4,19,9,0,17
Geoff Moulton,,,1,15,4,14,6,0,17
Debbie Kunselman,,,,1,3,11,5,0,17
Bill Caye,,,,,1,4,1,0,17
Rebecca Rhynhart,,,,,,4,0,0,17
Alan L Butkovitz,,,,,,,2,0,17
Bobbie T Curry,,,,,,,,0,17
Total,41,34,23,20,7,31,17,1,17
,Judge Of The Superior Court - Democrat,,,,,City Controller - Democrat,,,18
,Carolyn H Nichols,Maria Mclaughlin,Geoff Moulton,Bill Caye,Debbie Kunselman,Alan L Butkovitz,Rebecca Rhynhart,Bobbie T Curry,18
Carolyn H Nichols,2,32,23,15,15,22,19,1,18
Maria Mclaughlin,,1,19,11,12,17,13,1,18
Geoff Moulton,,,0,10,9,14,8,0,18
Bill Caye,,,,1,7,7,8,0,18
Debbie Kunselman,,,,,1,4,9,0,18
Alan L Butkovitz,,,,,,6,0,0,18
Rebecca Rhynhart,,,,,,,6,0,18
Bobbie T Curry,,,,,,,,0,18
Total,49,37,24,16,16,30,27,2,18
,Judge Of The Superior Court - Democrat,,,,,City Controller - Democrat,,,19
,Carolyn H Nichols,Maria Mclaughlin,Geoff Moulton,Debbie Kunselman,Bill Caye,Alan L Butkovitz,Rebecca Rhynhart,Bobbie T Curry,19
Carolyn H Nichols,3,28,23,13,7,19,22,2,19
Maria Mclaughlin,,3,21,12,6,19,16,1,19
Geoff Moulton,,,0,11,6,13,15,0,19
Debbie Kunselman,,,,0,3,4,11,1,19
Bill Caye,,,,,1,4,2,1,19
Alan L Butkovitz,,,,,,12,0,0,19
Rebecca Rhynhart,,,,,,,4,0,19
Bobbie T Curry,,,,,,,,0,19
Total,48,41,29,17,9,41,32,2,19
,Judge Of The Superior Court - Democrat,,,,,City Controller - Democrat,,,20
,Carolyn H Nichols,Maria Mclaughlin,Geoff Moulton,Debbie Kunselman,Bill Caye,Alan L Butkovitz,Rebecca Rhynhart,Bobbie T Curry,20
Carolyn H Nichols,3,48,39,33,8,32,22,0,20
Maria Mclaughlin,,0,39,31,8,29,21,0,20
Geoff Moulton,,,0,30,8,22,19,0,20
Debbie Kunselman,,,,0,2,18,16,0,20
Bill Caye,,,,,0,5,4,0,20
Alan L Butkovitz,,,,,,5,0,0,20
Rebecca Rhynhart,,,,,,,4,0,20
Bobbie T Curry,,,,,,,,0,20
Total,59,52,42,34,9,40,29,0,20
,Judge Of The Superior Court - Democrat,,,,,City Controller - Democrat,,,21
,Carolyn H Nichols,Maria Mclaughlin,Geoff Moulton,Debbie Kunselman,Bill Caye,Rebecca Rhynhart,Alan L Butkovitz,Bobbie T Curry,21
Carolyn H Nichols,3,19,14,12,5,14,14,1,21
Maria Mclaughlin,,2,14,12,5,14,12,1,21
Geoff Moulton,,,1,10,3,9,6,1,21
Debbie Kunselman,,,,0,5,7,5,1,21
Bill Caye,,,,,0,6,1,0,21
Rebecca Rhynhart,,,,,,2,0,0,21
Alan L Butkovitz,,,,,,,3,0,21
Bobbie T Curry,,,,,,,,0,21
Total,33,29,18,14,8,22,21,1,21
,Judge Of The Superior Court - Democrat,,,,,City Controller - Democrat,,,22
,Carolyn H Nichols,Maria Mclaughlin,Geoff Moulton,Debbie Kunselman,Bill Caye,Rebecca Rhynhart,Alan L Butkovitz,Bobbie T Curry,22
Carolyn H Nichols,2,24,17,13,4,19,9,2,22
Maria Mclaughlin,,2,16,13,4,14,10,2,22
Geoff Moulton,,,0,10,2,11,4,1,22
Debbie Kunselman,,,,0,2,8,7,0,22
Bill Caye,,,,,0,1,2,1,22
Rebecca Rhynhart,,,,,,3,0,0,22
Alan L Butkovitz,,,,,,,2,0,22
Bobbie T Curry,,,,,,,,0,22
Total,34,30,17,15,4,22,16,2,22
,Judge Of The Superior Court - Democrat,,,,,City Controller - Democrat,,,23
,Carolyn H Nichols,Maria Mclaughlin,Geoff Moulton,Debbie Kunselman,Bill Caye,Rebecca Rhynhart,Alan L Butkovitz,Bobbie T Curry,23
Carolyn H Nichols,4,30,24,16,8,22,15,2,23
Maria Mclaughlin,,1,22,16,8,21,14,3,23
Geoff Moulton,,,0,12,5,14,10,0,23
Debbie Kunselman,,,,0,4,11,4,2,23
Bill Caye,,,,,0,4,4,0,23
Rebecca Rhynhart,,,,,,1,0,0,23
Alan L Butkovitz,,,,,,,1,0,23
Bobbie T Curry,,,,,,,,0,23
Total,45,41,26,19,9,30,18,4,23
,Judge Of The Superior Court - Democrat,,,,,City Controller - Democrat,,,24
,Maria Mclaughlin,Carolyn H Nichols,Geoff Moulton,Debbie Kunselman,Bill Caye,Rebecca Rhynhart,Alan L Butkovitz,Bobbie T Curry,24
Maria Mclaughlin,2,20,17,11,6,13,11,1,24
Carolyn H Nichols,,2,16,9,4,13,10,1,24
Geoff Moulton,,,0,9,5,11,7,1,24
Debbie Kunselman,,,,1,5,8,6,0,24
Bill Caye,,,,,0,5,2,0,24
Rebecca Rhynhart,,,,,,0,0,0,24
Alan L Butkovitz,,,,,,,3,0,24
Bobbie T Curry,,,,,,,,0,24
Total,28,27,19,15,7,18,16,2,24
,Judge Of The Superior Court - Democrat,,,,,City Controller - Democrat,,,25
,Maria Mclaughlin,Carolyn H Nichols,Geoff Moulton,Debbie Kunselman,Bill Caye,Rebecca Rhynhart,Alan L Butkovitz,Bobbie T Curry,25
Maria Mclaughlin,2,27,23,14,4,16,17,0,25
Carolyn H Nichols,,1,22,13,3,19,13,0,25
Geoff Moulton,,,0,13,3,11,10,0,25
Debbie Kunselman,,,,0,2,9,5,0,25
Bill Caye,,,,,0,1,3,0,25
Rebecca Rhynhart,,,,,,3,0,0,25
Alan L Butkovitz,,,,,,,2,0,25
Bobbie T Curry,,,,,,,,0,25
Total,40,38,26,16,4,28,25,0,25
,Judge Of The Superior Court - Democrat,,,,,City Controller - Democrat,,,26
,Maria Mclaughlin,Carolyn H Nichols,Geoff Moulton,Debbie Kunselman,Bill Caye,Rebecca Rhynhart,Alan L Butkovitz,Bobbie T Curry,26
Maria Mclaughlin,0,35,26,18,15,24,18,1,26
Carolyn H Nichols,,0,25,16,12,25,12,0,26
Geoff Moulton,,,0,12,10,16,11,0,26
Debbie Kunselman,,,,0,7,13,7,0,26
Bill Caye,,,,,0,8,8,0,26
Rebecca Rhynhart,,,,,,1,0,0,26
Alan L Butkovitz,,,,,,,3,0,26
Bobbie T Curry,,,,,,,,0,26
Total,45,40,30,20,16,30,24,1,26
