col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,division
,Judge Of The Commonwealth Court - Democrat,,,,,,City Controller - Democrat,,,All
,Ellen Ceisler,Joe Cosgrove,Todd Eagen,Timothy Barry,Irene M Clark,Bryan Barbin,Rebecca Rhynhart,Alan L Butkovitz,Bobbie T Curry,All
Ellen Ceisler,41,512,451,203,211,14,"1,249",505,11,All
Joe Cosgrove,,8,42,137,16,7,633,173,7,All
Todd Eagen,,,3,12,3,1,253,243,1,All
Timothy Barry,,,,16,3,6,299,106,6,All
Irene M Clark,,,,,0,8,207,33,0,All
Bryan Barbin,,,,,,0,25,10,0,All
Rebecca Rhynhart,,,,,,,241,0,0,All
Alan L Butkovitz,,,,,,,,207,0,All
Bobbie T Curry,,,,,,,,,3,All
Total,"1,847",834,529,439,248,38,"1,787",833,19,All
,Judge Of The Commonwealth Court - Democrat,,,,,,City Controller - Democrat,,,1
,Ellen Ceisler,Joe Cosgrove,Todd Eagen,Timothy Barry,Irene M Clark,Bryan Barbin,Rebecca Rhynhart,Alan L Butkovitz,Bobbie T Curry,1
Ellen Ceisler,1,22,20,11,8,2,60,19,0,1
Joe Cosgrove,,0,2,4,1,0,27,4,0,1
Todd Eagen,,,0,0,0,0,12,9,0,1
Timothy Barry,,,,1,0,0,12,5,0,1
Irene M Clark,,,,,0,1,9,1,0,1
Bryan Barbin,,,,,,0,3,0,0,1
Rebecca Rhynhart,,,,,,,11,0,0,1
Alan L Butkovitz,,,,,,,,9,0,1
Bobbie T Curry,,,,,,,,,0,1
Total,82,31,22,19,10,3,81,31,0,1
,Judge Of The Commonwealth Court - Democrat,,,,,,City Controller - Democrat,,,2
,Ellen Ceisler,Joe Cosgrove,Todd Eagen,Timothy Barry,Irene M Clark,Bryan Barbin,Rebecca Rhynhart,Alan L Butkovitz,Bobbie T Curry,2
Ellen Ceisler,1,34,30,12,15,0,77,29,1,2
Joe Cosgrove,,0,2,7,0,0,44,9,0,2
Todd Eagen,,,2,0,0,0,19,15,0,2
Timothy Barry,,,,0,0,2,14,7,1,2
Irene M Clark,,,,,0,2,12,2,0,2
Bryan Barbin,,,,,,0,0,2,0,2
Rebecca Rhynhart,,,,,,,9,0,0,2
Alan L Butkovitz,,,,,,,,9,0,2
Bobbie T Curry,,,,,,,,,0,2
Total,110,53,37,22,17,4,102,47,1,2
,Judge Of The Commonwealth Court - Democrat,,,,,,City Controller - Democrat,,,3
,Ellen Ceisler,Todd Eagen,Joe Cosgrove,Timothy Barry,Irene M Clark,Bryan Barbin,Rebecca Rhynhart,Alan L Butkovitz,Bobbie T Curry,3
Ellen Ceisler,2,46,33,13,11,0,93,41,0,3
Todd Eagen,,0,0,0,0,0,19,26,0,3
Joe Cosgrove,,,0,1,2,1,39,2,0,3
Timothy Barry,,,,1,0,0,16,6,0,3
Irene M Clark,,,,,0,0,13,1,0,3
Bryan Barbin,,,,,,0,1,0,0,3
Rebecca Rhynhart,,,,,,,12,0,0,3
Alan L Butkovitz,,,,,,,,17,0,3
Bobbie T Curry,,,,,,,,,0,3
Total,138,47,41,23,14,1,120,61,0,3
,City Controller - Democrat,,,Judge Of The Commonwealth Court - Democrat,,,,,,4
,Rebecca Rhynhart,Alan L Butkovitz,Bobbie T Curry,Ellen Ceisler,Joe Cosgrove,Timothy Barry,Todd Eagen,Irene M Clark,Bryan Barbin,4
Rebecca Rhynhart,7,0,0,66,41,13,11,12,0,4
Alan L Butkovitz,,7,0,16,11,6,4,1,2,4
Bobbie T Curry,,,0,2,1,0,1,0,0,4
Ellen Ceisler,,,,4,33,8,11,11,0,4
Joe Cosgrove,,,,,1,8,2,1,2,4
Timothy Barry,,,,,,1,0,0,0,4
Todd Eagen,,,,,,,1,1,0,4
Irene M Clark,,,,,,,,0,0,4
Bryan Barbin,,,,,,,,,0,4
Total,89,33,2,88,54,20,17,13,2,4
,City Controller - Democrat,,,Judge Of The Commonwealth Court - Democrat,,,,,,5
